Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.055180215542613,26.87837095665416,29.60193826643774,24.012823141078563,26.819945894860034,29.531385824831688
6,2,18.298212082790492,20.3767932401077,22.479809927663233,19.31720908994546,21.34415059297278,23.5802580946487
9,2,15.307773436600757,16.85269085850476,18.56642245427308,15.731191602368842,17.472331995280875,19.294954244282994
12,2,13.082653270163997,14.338921743497215,15.734071136758015,12.870560968038232,14.182231142714404,15.578493352779898
18,2,10.071965318842313,11.097750096997641,12.176615504778459,9.187320148007249,10.084307540470578,11.110028960599362
24,2,8.229894193303057,9.077232657331406,10.10804527549973,7.693101857202868,8.444358737667226,9.387980793477091
48,2,4.731120150620269,5.24672857275038,5.786414120906038,4.503207712294294,4.954952684657431,5.462511827821566
72,2,3.5544775635359755,3.8744433222288546,4.341225633533979,3.272160225610689,3.6202321288202386,4.0188505078895425
96,2,3.0353478393525304,3.34056292789131,3.654927430023182,2.7276296077366715,3.0650287739073647,3.419171305609008
120,2,2.693914472225055,2.9411606875116667,3.207792714010985,2.369858202346319,2.619445737936226,2.882546435557142
144,2,2.4137641293172063,2.6818580149774496,2.9825362892657132,2.1961464042754892,2.4412655268968355,2.7224708489289604
168,2,2.203288140738227,2.4550233944189115,2.702771408892578,2.0491618630532864,2.269573260732919,2.5514195776813633
3,5,31.199771368402736,35.31231296274193,39.049951444655626,31.61213331014666,35.41007185679388,39.62479111046014
6,5,23.640190910801646,26.418990861122367,29.188119595582034,25.082326876734918,27.63893641924888,30.24518763418076
9,5,19.568799448943437,21.757330162508705,24.251022923217512,21.132186892387086,23.334382890508643,25.85974335774352
12,5,16.62332370955894,18.431704898938538,20.285648795960345,16.47145654728261,18.2686197114321,20.122783693042322
18,5,12.77923187890462,14.234832004479944,15.613331035475525,11.83864339066501,13.28255135966231,14.986655551558488
24,5,10.558383911935913,11.643691369427318,12.811146410662456,10.18094914346438,11.269441679975726,12.580049212963548
48,5,6.06653138647496,6.87099546172751,7.66702159748096,6.369831018017058,7.3836973696333,8.589108658543033
72,5,4.531647154752715,5.004374436686836,5.5827815762351625,4.457649271234578,4.991702456930916,5.6160180245903
96,5,3.8210015751619544,4.224995509407649,4.606037292508772,3.8183220865834917,4.340933366592159,4.927680032020166
120,5,3.4145384340840534,3.745059833634066,4.116281594113895,3.448487182648189,3.8836863683928002,4.335375946061504
144,5,3.1100445791011957,3.453197471498556,3.819281636449297,3.0824664900337004,3.5153678677036604,3.9903702541551844
168,5,2.836436954218723,3.194527137967622,3.538437045205945,2.7068982755455826,3.0245292543696474,3.42167069984962
3,10,35.71514009693871,40.86424237010374,45.89749739415173,35.764365069966786,41.18824330227517,46.721840280600624
6,10,26.72870434176788,30.28273116079606,34.28456607318263,28.26754797153057,31.39875226154331,34.48371223128123
9,10,22.03164223569621,24.922064739572733,28.17358470937415,24.27733652489421,27.180233445034457,30.234657358300005
12,10,18.616898535326975,20.995343689712563,23.417273585300542,18.7863317966482,20.85155778671533,23.292689022559983
18,10,14.203565435870797,16.134213350396863,17.950358408244757,13.520224256991892,15.48896130017925,17.867972785905636
24,10,11.823273403484139,13.160071634421225,14.471129902650002,11.607651573850518,13.057088636323208,14.738320135111643
48,10,6.958175981961597,7.963156718897171,9.064057259615867,8.084874706283912,9.786555370531051,11.665556627967103
72,10,5.083918518149301,5.75121633488384,6.541499043367887,5.150497898461811,6.025266424893459,6.936090926532435
96,10,4.281720393255377,4.757543372370813,5.257048121566242,4.602430617550574,5.348239508703914,6.137461706497483
120,10,3.7694041722220675,4.227220140394863,4.660281203334726,4.446043193714654,5.0372841796835175,5.645641759473914
144,10,3.4796506521230555,3.9198769390537906,4.377291799395583,3.9084393990167525,4.464034230993046,5.1157575079956
168,10,3.194446151574353,3.6521676045388034,4.066487395168574,3.065963780526326,3.55863850874609,4.07102569215016
3,25,40.03745510764984,47.842789891597285,56.39113439784589,40.29997885969733,48.68194133766628,58.44828887963479
6,25,29.61181777554189,35.014150508231594,41.85123133867049,31.335994590315806,35.77784878697031,40.40407318623838
9,25,24.42787912811673,28.8290506850798,34.03116934464915,27.59504234520051,32.04174674138263,37.17012049227334
12,25,20.489830295435077,24.077008344068368,27.830405929659577,20.787950577990415,24.012854751046795,27.58455930953147
18,25,15.62703725197548,18.349030418285206,21.00711328624751,15.025145587165628,18.42169762157494,22.63235208108073
24,25,13.072130515217221,14.890142349300788,17.10828216355111,12.935107059464421,15.246830140563976,17.871020243048264
48,25,7.773385968110411,9.36249189824144,11.078860599575478,10.993671507551362,14.19970196149131,17.535817300509095
72,25,5.685817564229049,6.693407740102236,7.890141268524422,6.06247620817093,7.506806600703404,9.1017041755742
96,25,4.683540850658094,5.375484991472277,6.139106800003921,5.619294176120357,6.8523223969647855,7.996027216215335
120,25,4.100002341896588,4.784738208200667,5.414584762793352,6.059627782030619,6.999684163463902,7.948148962184861
144,25,3.8177769611142813,4.463708740435865,5.156124982613655,5.17456010142498,6.030172585061747,6.956317332857473
168,25,3.5573926463093835,4.1963510650052935,4.834456017782186,3.4249649115988685,4.284007396354077,5.216883620053547
3,50,42.15776972059555,52.99379752373687,65.09383110720077,43.15171211905276,54.43744832189077,68.75796261447081
6,50,31.15129490196415,38.41883897794522,48.53550117012786,32.744812109587436,38.80518584503491,45.4227294136105
9,50,25.8841156592217,31.662787212667048,38.887733684172446,29.555504663996373,35.67528877036905,42.75773206244518
12,50,21.48179022631217,26.254776665858913,31.692461032589353,21.806022070930876,26.304646941755117,31.325668110811947
18,50,16.500795212984162,19.868367127681076,23.55153442731707,15.968965266482686,20.731570522019453,27.324153276408357
24,50,13.687544090198429,16.051855679250174,19.02442415608843,13.691533612036523,16.83527453985648,20.414556971194667
48,50,8.288781727638883,10.414767637859207,12.9760666890353,13.48086199417703,18.897324563631976,23.805607122138454
72,50,6.025992774634076,7.391338120247712,9.149762204942647,6.655849536867097,8.75715736045727,11.232969569082918
96,50,4.906534295303008,5.797347458884203,6.862063836637031,6.355621849842471,8.17041534159777,9.872616567024131
120,50,4.282106724527294,5.164046185362827,6.055220643816192,7.5308188463792565,8.941591737752542,10.299415390347509
144,50,3.990394203647414,4.836535276871396,5.7741369824631406,6.383280371447735,7.536984678204349,8.77485808235543
168,50,3.746073101724275,4.576866519377834,5.447762213351567,3.659135863323652,4.8667528878915665,6.363733795912827
3,100,44.24928700235776,58.08490842866992,75.77016712038565,45.53312081661735,60.365783367721434,80.35703924382005
6,100,32.47816254145472,41.712171571940345,55.84369916115514,34.060681097915605,41.656305536034175,50.670432664739096
