Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,46.69421894787929,55.201164258833685,64.70532044558276,55.13265657433722,66.59641283650606,79.55208653468156
6,2,36.92513603905299,43.361273547616534,50.57438875826607,42.26520592331289,49.34114718302067,57.914699376385386
9,2,30.774493305486143,35.51159177027415,42.03496464838473,38.80061819332696,47.746424232731165,59.07373168870549
12,2,26.678699018182662,30.914860211251032,36.56597472314192,29.663388702804085,35.28322021462774,41.18497018979788
18,2,20.82579731630437,25.00381232640626,28.918570566379778,22.204184609997505,25.833051621055315,29.819036337337984
24,2,18.24123867039703,21.32397171157059,24.91815470611739,20.57457911063547,23.888257717789973,28.155445100015214
48,2,10.943575776234852,12.704729159968455,14.884199269108233,10.860347034432841,12.44767251579973,13.970600183911039
72,2,8.094389845020615,9.324986949415013,10.979360760685566,7.622069532019723,8.58110273786727,9.714607115623732
96,2,6.578121462310989,7.547776158055189,8.693675031684498,6.702729689315181,7.460562166991359,8.379642932144339
120,2,5.822316718765313,6.495863225817741,7.337632630591436,5.024851022844475,5.53237603999298,6.164158212390552
144,2,5.154983264147525,5.801919560402311,6.667013173363479,4.165793436149909,4.774611157695191,5.5087449161455675
168,2,4.595750734809096,5.288346159772658,5.970467674144104,3.966508289448729,4.503436387507654,5.226096423889928
3,5,69.79394329425804,85.63572798716935,103.3541233979727,84.60581745811731,105.89097383196844,130.65932407757742
6,5,54.93519929724856,66.1620212395884,77.51091942461858,63.170861741907004,74.9089491856936,89.57294190124028
9,5,44.135455454485914,53.85264925205276,64.959600129491,65.16131598538034,82.39515137362821,103.11336296953269
12,5,38.91296549465161,47.782927350451686,57.515017027044465,44.36349697902346,54.40509924501151,65.03837796663578
18,5,30.77643596665043,38.021903826500896,45.95916442819746,32.9882936227915,39.899285703547804,47.80783415198163
24,5,27.18761029759939,32.204330507754634,38.303128726453295,30.484127671160444,36.716975253847494,43.85397738292299
48,5,15.650146586029832,18.948179607850786,22.915141054398,15.666322197458648,18.66811862607139,22.530841407012176
72,5,11.375473396327294,13.926807283059802,16.97503493896258,10.532513548018413,12.326093032397214,14.65705256672327
96,5,9.096443418014793,11.016121540683208,13.015847588489898,9.433236550817277,11.090929792385596,13.254818880889246
120,5,7.971245282366911,9.265276383297524,10.868192418652303,6.756640564334427,7.897379387302014,9.313165684163417
144,5,6.9946493012517,8.290720621605976,9.723398920252922,6.165303148397641,7.674738994110285,9.935742906431624
168,5,6.331930679771011,7.5581743685863145,8.83633904509671,5.710175377358743,6.849287771999922,8.316773439760784
3,10,86.27568861594091,110.63475683084263,139.10518836277672,108.71126801927028,137.72255552795187,173.42496512528203
6,10,66.12236242471404,84.46177978412956,103.04565348048123,77.36296742547208,95.07585422747057,118.99418213475226
9,10,53.35682862199551,68.52612508076122,85.9222665046141,85.94592415956163,114.48719642151465,146.5966476722564
12,10,47.958083342549756,61.81724803265027,76.38840363009055,54.637287361276094,70.36522308307084,89.11993633735118
18,10,37.81101141867338,48.49445150134643,61.259716226502675,40.17634593352001,51.627490603332404,63.49337933945631
24,10,32.84960477261467,40.50158528268294,49.716354532237176,36.60208884173889,46.48739953030975,57.571626077594956
48,10,18.740314336953112,24.18667813096897,30.71561518553773,19.354864487320327,24.30575003476072,31.122250912588157
