Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,55.2921094911124,64.58149755423757,77.38256045721621,74.1436192089042,85.66500856249414,99.3083851794616
6,2,44.03010270350569,51.82865314322609,61.581673791618535,59.84381660722872,70.75664061191817,83.0656833299062
9,2,38.29920564969455,44.773391811803855,52.56391808649677,46.563788666921866,55.38971291095574,64.90238245986068
12,2,33.26979060107841,39.32224893891145,45.35458659503888,41.03468425850553,49.321112068771185,57.896475976159564
18,2,27.26777466494213,32.436646148243106,37.81959064309307,35.817022874764056,41.78218132769506,47.660718324372695
24,2,23.550112026505097,27.47350842217446,32.14093765967329,30.13426120706136,35.49469125626587,41.29913331518705
48,2,14.712512907705616,16.987057322556662,19.707421744926492,17.326583332363853,22.068801072690654,27.898460924218647
72,2,11.044171981205055,12.592479704042677,14.547887870868092,15.301611088904192,19.426204695528543,24.933018956709
96,2,9.092528257400053,10.357843790036492,12.004062962273505,13.355344063451696,17.84909196142232,23.563622238130705
120,2,7.761893563264735,8.889921730099857,10.31150665922283,17.327235064062222,25.80042998600718,34.42764247266578
144,2,7.0212724046457335,8.027782850684046,9.322000936684208,7.409569554208693,9.821696494575601,13.013600885685062
168,2,6.392044030606854,7.258593733388076,8.501653635159482,8.535952602127297,11.424639017869012,14.913223960343544
3,5,81.09584955526917,97.6011640057892,116.55543059479095,108.35123529256786,127.83295876869406,149.3158591127111
6,5,66.12221399489736,77.35323603817135,91.93183320472158,93.16014691580118,108.76685552078835,125.18282627968014
9,5,55.01837818892028,66.25328352330611,78.40051250637116,73.60311177732075,88.29328764104791,102.31715848832528
12,5,49.162035089158806,58.06113833169026,67.15164164443443,65.20638712829857,78.08851005472184,92.34120594310446
18,5,40.408776558489926,47.901569082185176,55.68461279316942,54.42017355052186,62.52943160130031,71.27677538549108
24,5,34.48759678459534,41.15246713942579,48.98048171830288,45.41413739346005,54.08257889234984,63.25793594065091
48,5,21.361760963176245,25.42034984358787,30.58045547667409,32.47413773526947,42.447177345743924,54.33548588071155
72,5,15.772482385023835,18.800624938118258,22.47022761836786,34.050473635767716,46.50685259454789,64.45251403858738
96,5,12.66944500049312,15.376938788851891,18.8372830666728,30.73453304054799,45.686593077769245,64.6423484797613
120,5,10.854888668261403,13.21796806640307,15.945419416437653,49.6731180299577,75.96407002377998,101.76719968636414
144,5,9.96624618926148,11.981102879907597,14.439928942453726,15.560040384736613,24.02113823802062,35.96307750599665
168,5,9.08530681101745,10.80936887383411,13.17541520413675,19.674319703557202,29.29518538394034,40.16966227623615
3,10,99.14520554107813,122.7825200148288,151.267942300469,131.9900590495083,160.27587824086686,190.77828908781936
6,10,79.0824578934548,95.63046736426688,115.58069462160671,112.48573375243171,135.96511004315985,157.88957364437397
9,10,65.42312202488652,81.00528468439164,96.74487080259235,92.72742835502758,112.54787743891306,133.1816063171162
12,10,58.240029328619514,70.66519906517732,83.8171598895056,80.6926557854533,99.69368724685853,120.07959112833666
18,10,48.18593137946347,58.12844334764864,69.25884474235434,65.78291873561369,76.45160521775037,88.48889074594706
24,10,41.37205893616158,50.69968018583434,61.1775959485155,55.30513579605878,66.89128362922446,79.35590162200869
48,10,25.678060180018576,32.27503750051636,40.820317834649686,45.682821580279935,61.98290704064834,81.0717206933615
72,10,18.727022354868264,24.258978440633115,30.46363954343073,55.76389836285507,78.70193403344507,109.87746569842189
96,10,15.186670254296537,19.89816509246001,25.661133662916455,52.09031508061375,79.35320078273827,112.37443735117452
120,10,13.158956366120595,17.15023510735917,21.93056224849751,88.75647105510856,133.3035967688588,174.8653011485541
144,10,12.11908147717585,15.450515912726036,19.79240154596737,25.430923689985697,41.557306750539716,63.724170696254234
168,10,11.05207304199234,13.888775770868275,17.986742810663177,32.857601328328414,50.89763708650871,70.54251409196155
3,25,117.90093613967844,158.9580694622996,210.05100793273283,159.60225920048532,207.7788933369573,262.85881663831367
6,25,92.58104812670031,120.42182293776673,159.5653642239071,138.87531860960775,173.17899078671914,209.7729806694581
9,25,76.08726302813778,100.27138997053117,130.72605966160594,113.12551066051594,146.69572073612898,180.7025570592378
12,25,68.4375142858762,86.8188032662893,107.21408030036002,101.06802691773728,130.58566009345458,164.84465988190613
18,25,55.87512389358284,71.03618661767294,91.02408124178983,77.01863035340693,94.45462309025196,115.05224992841116
24,25,49.30136374252859,63.351838298729916,81.88526007322162,63.92194756477865,83.82288340204921,102.83618163889778
48,25,30.979282482098334,42.71592059948473,59.04757627271524,65.83646229827318,96.98850765732232,131.42810998580654
72,25,23.172763933518194,33.19937413998711,47.137050074779204,103.90336696186607,148.91850919635164,205.47680515475722
96,25,18.333095001127678,27.47248117135844,39.90799102559393,101.53709417828125,153.97781255945804,216.47038957491208
120,25,16.014676411037527,23.79065246666707,33.99890935329209,175.76827515261607,253.71074073672492,319.33724049405845
144,25,14.69947013698335,21.123386743170208,30.471857997039443,45.94856297623705,81.26495795027763,125.39320699459518
168,25,13.213036500733189,18.868843110201155,27.396946016096507,63.4014344525193,98.74132906114664,136.0732711294609
3,50,130.3250925352772,189.3424924664094,280.1817470180966,177.7497647307934,248.77158354423193,331.8191127304186
