Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,49.938852213618844,56.02486410417835,65.9629519219727,48.18215098607088,54.327782847391745,61.69420523697615
6,2,39.94693139581632,44.631742036608586,51.898784446582226,37.12903136889223,41.666387188661346,47.67630594434344
9,2,32.93517268015063,37.59283180516755,44.60478946334707,30.809735171266826,35.717141265325836,41.63477011221107
12,2,28.708034064954877,33.030730311161435,38.533168838977446,27.48932730285079,32.04250800001265,37.512097503833466
18,2,24.015272492389556,27.378064548846645,31.264067854128086,22.36311326975517,26.613956491423522,32.04843758415803
24,2,20.098724351708565,23.31930834077739,27.057396108701752,19.33675377964964,22.56699825873749,26.222386099458596
48,2,13.232761487294635,15.123049385372141,17.145864140309776,11.873944259786622,14.133957879851929,16.602236012137887
72,2,10.11418105994218,11.428803562959084,12.879707731491276,8.766938074482423,10.109645615310571,11.776150652759833
96,2,8.003307574027257,9.158386002263036,10.358011239307675,7.135893597415489,8.175505516071606,9.25419753977985
120,2,6.786858187155684,7.660422417118939,8.603374855786399,6.2540005239932,6.972499652726178,7.836953507622617
144,2,5.973991754079672,6.649297187322544,7.386012562760984,5.380339990603193,6.205568569282384,7.011356207570194
168,2,5.335399149764249,5.963512899182659,6.742348732430592,5.391760147296918,6.1115490504483265,6.867776932182889
3,5,68.00667090412901,86.12540119747686,109.0294466995393,69.24640107470036,86.46346061571738,108.58527998449088
6,5,53.565449951513074,66.71008840394055,82.84966583185516,52.21686864066152,63.33524759109554,79.01488824990061
9,5,46.233043030934866,56.37900062885156,69.23283049853632,45.67014269631395,55.696472633243474,69.50196886969542
12,5,40.5065749609372,49.124494571198866,60.01323521171862,41.34834445018301,51.01071409971894,63.41399695048419
18,5,33.176287373274526,40.01931314130134,45.888929894289525,35.38907876192033,44.23659074691569,55.444015157623724
24,5,28.740057328460153,34.163723104634386,40.53198799083391,29.03388939216616,35.181124047522,42.09922571171504
48,5,18.416371386751546,21.599493165985187,24.75413110211766,18.669996881450015,22.494280330270616,26.865017991698334
72,5,13.817233628566587,15.875532587021386,18.046374636385597,13.22720994916551,15.464453084951124,18.22782174088904
96,5,10.757038781015378,12.527166486281281,14.199960576793707,10.18109233133278,11.790640552468291,13.45686151982487
120,5,9.064225115946792,10.349916521786874,11.685338923240662,8.521239148462138,9.604136285964406,10.806134588924408
144,5,7.837939480282062,8.947031374273855,10.023261022897792,7.782216472672005,8.835510355299716,10.140281986943807
168,5,6.982378119674722,7.934791859933906,8.964564999155165,7.235385620782638,8.25067193473894,9.325967693449018
3,10,84.05113815218422,119.58052653359977,162.60421229861203,87.02933016388266,122.09323938148032,173.41001047641748
6,10,65.03401358442632,89.12718154860198,121.38079063008257,63.949799075748885,86.33658686770502,115.0365689235465
9,10,55.5727263702218,74.26363402291284,94.2072226173298,55.551003532725716,75.49593951778641,102.10662533329082
12,10,49.15035147638477,63.427068131699556,82.0883414315522,51.48232106748671,68.86774384401483,93.88779149924369
18,10,39.48597078964571,50.20155966229781,60.57034788003524,46.092274357223744,61.07151466984483,81.23503417726155
24,10,33.64436294822763,42.79037713934305,52.95697215952255,36.32222915372202,46.15272702615269,58.27631935691329
48,10,21.677744939209532,26.223997264740536,31.283082677544932,23.131060953264242,29.024819146683804,36.428723591137626
72,10,16.11985783644764,18.888925555441606,22.30628402658118,15.875295725507911,19.55645490975461,23.91689523246284
96,10,12.494614521077356,14.816256663771231,17.153852104316123,12.382555595699781,14.502928224216724,16.826156106835114
120,10,10.356850369925152,12.134428395410794,14.090827701102485,9.922067764461023,11.4231206113917,12.928665549331635
144,10,9.058511302638395,10.447840530309282,11.960458408671302,9.198101413086452,10.660155480880686,12.252813986657687
168,10,7.8781063767496615,9.20964388623742,10.478025637743935,8.317207505043575,9.648580351230208,10.962063869197543
3,25,110.06880926968987,187.8865948515587,283.3643893670295,114.57536693418135,196.67699674005786,342.634846765721
6,25,81.3985742010691,131.1387200335418,197.73696542059417,80.67277534351368,132.58812069364342,218.66151710520137
9,25,69.32569098028605,105.81273303029154,154.6850260111585,70.76749263912944,112.61081413499576,175.0605230950057
12,25,60.4187133957758,87.08823755047558,127.91261106610156,64.0761284898623,100.89223763159804,161.38104495001426
18,25,47.679159637624615,65.58200353795918,89.07022020511762,59.24435418463757,91.29492953212566,132.04917256704644
24,25,40.17323742310454,55.672457058437104,75.71252775110327,45.61298252202121,64.19379706810122,86.52863585791151
48,25,25.11217259167225,32.48066869269127,41.10068285364437,27.757882041125526,38.76448856384451,53.31215309308381
72,25,18.349941529033057,22.77713468044966,28.910890226998795,18.83198325475813,25.519552330847013,33.16970120220133
96,25,14.37553363697953,17.77712405739922,21.40074069448849,14.719483375622186,18.388971170688276,22.63097947085717
120,25,11.79338197522425,14.393539759281762,17.364067124415133,11.27656699702526,13.835833380532026,16.454799605622934
144,25,10.005633034398855,12.321087798398256,14.774081742632475,10.756994399118689,13.08848674366876,15.575741750771945
168,25,8.793482989908583,10.786699674100982,12.729628972505855,9.456009645904699,11.408753963398455,13.262630026934977
3,50,131.33672923941447,267.92520839850505,448.68217989009406,136.16204928425302,288.0552132479485,620.6668807003601
6,50,95.26705172626902,176.57077825510405,307.987007946184,94.94277557269497,187.20785468566993,353.3276093827406
9,50,79.18374143131868,138.03926675945004,229.30247231396316,82.51389842391193,153.49814338648486,272.4874539829638
12,50,68.75132049250963,109.83112905486857,179.93467783976206,73.27319355785409,134.8432352197216,250.21147107713483
18,50,52.5301175631398,79.13736634094086,120.12131925812332,69.7375988287078,123.02765966124142,192.3183680222067
24,50,44.55528520392212,66.90185369857633,95.44412825086484,52.09008604136835,81.6220146964426,122.52117469864652
48,50,26.80570539039195,37.44039675552849,51.1104851375914,31.318774996547234,47.350340366254194,72.60770171563557
72,50,19.681115274025604,25.72106205190748,35.16969363700537,20.326237416339538,30.64636502139539,41.97971855066977
96,50,15.537985547353756,20.024249148440205,25.484426077482134,16.121216322815794,21.675746488147233,28.470461384994067
120,50,12.72135881348996,16.072639807142817,20.49585195382952,12.161678852920906,15.726740312456114,19.49316484686394
144,50,10.661849505163135,13.694348602704045,17.388555492003203,11.725720211499892,14.997890156870252,18.612844223315545
168,50,9.423635919599889,11.932805223170046,14.73896908808927,10.15440323558682,12.718865766292788,15.267848722988465
