Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,15.273127520800276,16.906333312850453,18.905908877964123,14.75103503178289,16.053163899864227,17.456836613009493
6,2,12.156197382758968,13.478507615811731,15.21146536241961,11.720980020629767,12.892148119387397,14.193509890074505
9,2,10.043810881465152,11.101436118646548,12.144801242369743,10.011654100384954,11.149431225207852,12.378148810653688
12,2,8.767387737263256,9.59472894844598,10.653210542939323,9.105730924173674,9.9012833031774,10.777846461587725
18,2,6.953315559569877,7.62137962927431,8.422225572595288,7.5129444955036755,8.15098334427569,8.82617914244504
24,2,5.668389032401256,6.285661087226968,6.932513554858897,6.085461606136446,6.589624658924565,7.10964228801892
48,2,3.3475392693118113,3.664348357078431,4.00658644436616,3.4826846783969723,3.776168821767774,4.1074133374999535
72,2,2.4461905297636157,2.6885176059818487,2.9573642326537355,2.4713507764269647,2.7382951309051577,3.031002409419667
96,2,1.9736467382008231,2.1655082552760883,2.3846944463356277,2.1982530555527644,2.4230731046611904,2.632598787728007
120,2,1.711378942922431,1.8887285976604848,2.0769150734683492,1.8688972264154171,2.0487549664490015,2.216059653300714
144,2,1.515289079122989,1.6713198617660745,1.8615792994762423,1.7048805910729463,1.8572962241500126,2.012036811007513
168,2,1.3147679272876833,1.490848835743541,1.6402901824327387,1.4297298678356842,1.5473550917184031,1.6692743583828598
3,5,19.989496196138404,22.82832172183011,26.21445236723917,18.597277627902656,20.77239531866572,23.607662904606386
6,5,15.7657873985438,17.88246255270473,20.24712536835129,14.839919095634457,16.61719836129647,18.674215359607288
9,5,12.93285499585593,14.51589599086077,16.149485981389596,13.2099499953477,15.037089209287997,16.98984015980493
12,5,11.217094306323308,12.342354521016883,13.678478730996613,11.375840482513713,12.42310983017675,13.662004517326285
18,5,8.895784576304113,9.823989381010163,10.912435953350322,9.567636652409156,10.501265929276682,11.526563019732736
24,5,7.3392495639795605,8.141732894210795,9.062935568878062,7.499865968031939,8.289207836432762,9.13155924388757
48,5,4.262485984378065,4.744777573447392,5.248394168154151,4.433423707783076,4.994534439825845,5.635923347701331
72,5,3.0882628400482646,3.474746136300435,3.8725842646378643,3.4244663017735615,3.97916345031459,4.607301042205387
96,5,2.498686647054011,2.7920986448214276,3.100697266660603,3.057008989123714,3.4072354405680034,3.745275051078016
120,5,2.1706252401439663,2.431735698217827,2.677296926478041,2.559206687051294,2.7800861242137698,2.9977801455025332
144,5,1.9501266088378089,2.1460038233694605,2.370276015614568,2.2421383729529047,2.424412963230002,2.592435859591455
168,5,1.695844207668363,1.9206212180961724,2.1009639729147045,1.792150862294843,1.9491657601441474,2.104409387529171
3,10,23.124737896151405,27.3934410545012,32.50794762876224,21.184563800927805,24.49792471651753,29.000565144002294
6,10,17.913119817545763,20.953821537265178,24.21671826916284,16.71979892476194,19.28071078854006,22.469122573604707
9,10,14.600322556720258,16.804311095430023,19.091154608231324,15.606191397832983,18.081844667386243,20.93118420978552
12,10,12.600942801041839,14.102263061801665,15.74668074812947,12.683627332700354,14.111785779768311,15.673769385291209
18,10,9.93371566896791,11.227867504019038,12.612572267011652,10.901292814145233,12.26243957175824,13.778704634848769
24,10,8.238174131093071,9.335805829137433,10.633475521473677,8.38048401815292,9.577400324617855,10.882691082496805
48,10,4.809747214531035,5.524080130247379,6.352871964491433,5.211931490339213,6.122679031120754,7.161300164656815
72,10,3.494457017778675,4.027276414288449,4.580700945553559,4.273842374840939,5.1720331495664285,6.1481347060015015
96,10,2.794503921169883,3.209817234820127,3.622140909488837,3.80712121410292,4.255008629156892,4.7231496872250425
120,10,2.434087689305077,2.766852586165527,3.0733295958299696,3.0301536589231994,3.304093694524019,3.561318878104748
144,10,2.179831751913821,2.423756666271519,2.704949003886663,2.5981213321962606,2.7829219981867497,2.9603591563772316
168,10,1.9148114623385046,2.179378598547883,2.4064197371873624,1.9974406530933626,2.2145249176668207,2.4303585153814344
3,25,26.51809089175444,34.01668541428009,43.46792858629367,24.13325109910191,30.095013962196994,38.903564532073844
6,25,20.38694818775813,25.021195523682465,30.409964978668086,18.740082501124284,22.9322684683637,28.08661562364872
9,25,16.24960716999342,19.727727632491796,24.137110947754955,18.22403648678717,22.60308018806393,27.346404234955514
12,25,13.958428775195685,16.260604472949154,18.741012213480467,14.003471315064875,16.291654473379566,18.610398910914792
18,25,10.898580047550993,12.941968078888214,15.35931396322103,12.360882980773749,14.774825374586332,17.1785086044646
24,25,9.163674939215504,10.805990189759754,12.977624003461687,9.492327699064056,11.437924131605323,13.767544509347317
48,25,5.432252003272373,6.5881438170774675,8.061087062818643,6.3711990692450335,8.079655449694194,9.986565554739702
72,25,3.9095823195079724,4.764077037887713,5.792858063172329,5.544187307153454,7.30552215227103,8.913691263022617
96,25,3.140892675316019,3.7408879675450324,4.472544296990962,4.892836755045817,5.622258104937837,6.317662913759264
120,25,2.6942135182596783,3.164363360036953,3.642747613427921,3.5902621835125808,4.018502623913898,4.366371803188125
144,25,2.4091281579864763,2.737919771756677,3.1113972287497136,2.9388018830415783,3.220032537983344,3.4765274250850005
168,25,2.1275525399810666,2.479603092799205,2.8432289461556297,2.2009589974876365,2.552259852638114,2.899244700217908
