Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.4219481686726,28.139659207600793,30.503060549236636,30.94580113293339,34.30088150880808,37.150877861242634
6,2,19.359825942313407,21.292600369066456,22.988997408965304,22.963009981319715,25.80682251919209,28.47041276105061
9,2,15.810798874289386,17.275710299368615,18.825871616178283,14.02515961480999,16.055539898468318,18.2693986856524
12,2,13.579542268201571,14.611780523275787,15.848358849802736,10.802684550180832,11.867149391633632,13.169836428257366
18,2,10.213989036137729,11.211155375026486,12.216384108387434,8.797951957015766,9.598845337337453,10.532249518650415
24,2,8.376039334287263,9.255239227343306,10.216332069435444,6.891421284298145,7.413498427813964,7.998973929341993
48,2,5.397329699837574,5.927375641921831,6.530882123563938,5.438058722391136,5.9090191475768,6.413325235472488
72,2,3.9698034023121638,4.400525565054419,4.86491509840604,4.0252206654484555,4.488523750018688,4.932786995628594
96,2,3.2912301082043314,3.5941839474909862,3.968395314245736,3.0198293068106663,3.302532106254411,3.661484530236444
120,2,2.825946918656052,3.097793408055411,3.4251282055764363,2.761097418495555,3.090437000353183,3.51135126960067
144,2,2.432960008752427,2.695293321796094,2.9987019189478707,2.4494322461277265,2.730792662031471,3.09258643821779
168,2,2.2445519194470043,2.4537862063108404,2.6947254949584365,2.5235911107357447,2.8933676479445163,3.269288558443396
3,5,31.601857968345556,34.68739535320846,37.23606665458115,39.17498022504762,41.60788430831644,43.41745818175927
6,5,23.87300051230708,26.13321973042311,27.81919955902024,31.11392449954659,33.71780460006407,35.97083341757916
9,5,19.352399808259698,21.192286412770777,22.98138401883362,19.800921627418493,22.27789890972115,25.151158475982715
12,5,16.36455125325203,17.735997414565738,19.18243067776119,14.999321659336076,16.417504443359334,18.06655815082696
18,5,12.599846873850685,13.96568558738249,15.18901709112939,11.78587052247111,13.110568350416582,14.571048153446913
24,5,10.422383850116006,11.653277738330106,12.95714782968182,9.582047057513321,10.435530753522803,11.434960536018341
48,5,6.857685375883589,7.6240507207783335,8.480403212679354,8.2302236172776,8.926737532673094,9.57817014431521
72,5,5.0758681799044805,5.674929127274407,6.311995540826883,6.181597055050233,7.010594905198784,7.910189951454713
96,5,4.130678784667285,4.612032580426735,5.145906949133624,4.016697208520522,4.536578348810098,5.198329981378134
120,5,3.558805387888475,3.9979950449332673,4.397079736843656,3.9764423930669066,4.7277201445397266,5.659602722510747
144,5,3.1270036608960368,3.558214431534637,4.043438854844336,3.351459147414185,3.869358802082913,4.5166378730208905
168,5,2.8507082903848255,3.223433841080216,3.5963486902989494,3.9887902768571135,4.933063728109152,5.931716254963738
