Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.495828595129225,29.476043830469166,32.88679314362197,22.459920037310972,25.493635501495234,28.52049693880172
6,2,19.802260277620327,21.98680865894339,24.623477569260416,17.12785078641047,18.791194524706707,20.91445568773345
9,2,16.217775130092157,18.19200050883934,20.386569715240135,14.72278696491114,16.49594989241317,18.25211146030319
12,2,13.838756265043745,15.475196196950431,17.275623884351067,12.125439197044662,13.723027188733461,15.38752824529497
18,2,10.68661750829608,12.069462318065767,13.377989253386449,9.429589807649691,10.809563421313683,12.17750666916406
24,2,8.59652589518756,9.746602927271798,10.847031965485836,7.683652601570796,8.60397206580911,9.626819520038818
48,2,5.045286944328847,5.591641065843113,6.1814712718351466,4.499586922258898,5.147417111602406,5.841665885349462
72,2,3.5508768354757785,3.9398426016409354,4.366967902810433,3.0320887783676875,3.3500866882619658,3.7169970381587927
96,2,2.958869899444382,3.261979298347307,3.584705900298035,2.724614908791085,3.028586983757666,3.3548005282983437
120,2,2.5330219177242634,2.788542259109697,3.0937306798420527,2.4101700817925886,2.645724802792758,2.881734979773628
144,2,2.2183677194506055,2.4840467556738637,2.7376450329105797,2.118421439406569,2.36196498186388,2.638436358353348
168,2,2.0603761310928457,2.276248602840007,2.528337559093975,2.018273233963231,2.2171423193935778,2.4430154257808248
3,5,34.33927034807555,38.000736265446655,42.00422626822756,31.049227824069867,35.2150508723687,39.07946624188496
6,5,25.6740098870349,28.55141676637526,31.913491587856143,23.607670693007883,26.122972512064955,28.678187693183524
9,5,21.068714374795697,23.6628943959161,26.046072478600742,19.836421369550685,21.9406481816524,24.18013279794031
12,5,18.269034102536263,20.416130574370523,22.614206328034477,16.5030407964851,18.47422312103942,20.35047741094416
18,5,14.186309653541084,15.834005385494532,17.37770330017655,12.804525858685437,14.479709794044453,16.086028055535444
24,5,11.309442001687437,12.635760884338001,14.02886832450967,10.260323928307567,11.42198065449066,12.501653188710765
48,5,6.443294970682393,7.120488987889026,7.791895299116385,6.355593630800136,7.065766998489714,7.726136958435051
72,5,4.616189481311054,5.163438965957688,5.7665313772753395,4.117618875143461,4.548540157247265,5.019200812957262
96,5,3.797308035253895,4.2838409879352985,4.787083991313015,3.6524301718883834,4.013279844797654,4.431936151873778
120,5,3.290172500759276,3.690951986606785,4.174785176807843,3.1665073975144464,3.4979980168637708,3.8074556721442256
144,5,2.92344236808535,3.316969462528462,3.710234997291232,2.83472802758455,3.156908527662991,3.4683056013377547
168,5,2.6816738120230594,3.037528375319443,3.400705882696494,2.6344481267312956,2.889012446916526,3.1505901153371645
3,10,38.37928533108671,42.64455014401473,47.16311767553091,36.31512737906014,41.13646626978174,45.606102912889426
6,10,28.67337948457164,32.39605628187582,36.595588325538515,27.11919004933023,30.608055292217813,34.0860269984865
9,10,23.60865989142861,26.779396688397902,29.628737031119403,22.18300258163559,24.813232212388087,27.264121646205297
12,10,20.658958603487235,23.276400483695696,26.056562849752435,18.723555489899326,21.00849218249518,23.157568815594626
18,10,15.950156886240002,18.045891516448545,20.076070313979418,14.540840955378382,16.615118338024562,18.56691209330663
24,10,12.703616922623063,14.281658010672118,15.842295077854498,11.552018157449744,12.892853472012785,14.105408764821505
48,10,7.121747567366439,7.997491203144072,8.801318520270755,7.24209154716074,8.026046439312962,8.771816189870194
72,10,5.222020067336173,5.9712035945747175,6.861707893249564,4.641210139669562,5.2061831518756305,5.812951819022482
96,10,4.321779898062563,4.994417865388304,5.675308960768007,4.090523325935305,4.552400675374508,5.077136873608146
120,10,3.7551976563828866,4.313638736672131,5.018695186076204,3.634295656105219,4.05708772246895,4.468475068517341
144,10,3.360185814254446,3.8960009121280543,4.500786358026707,3.293483361794677,3.64811891172671,4.019583306787402
168,10,3.0096055256431837,3.5640915530602575,4.099873506673024,2.908119376256793,3.266489653885253,3.615100489549156
3,25,41.86038107027578,47.574227797730174,53.385662220293256,41.802978708247224,48.127191023095676,53.843193894967996
6,25,31.76650483739718,36.748188705687014,42.620211934484445,30.612835693878125,35.93136224994746,41.116121582891836
9,25,26.04501053784822,30.221390932364216,34.40930940541828,24.177225446464973,27.8061439055477,30.874016142392264
12,25,23.028343540977342,26.480901454950136,30.431759935115018,20.723976674837772,23.67393588005047,26.68008820379871
18,25,17.845878424022775,20.556964493846483,23.799866969387217,16.187677877663845,19.04098718228261,21.866835947289374
24,25,14.063395442398111,16.099537648230758,18.196281378656906,12.688916120706857,14.410137749810566,16.000299784354333
48,25,7.792912986858138,8.972104550561998,10.174231614833715,7.990428034346737,8.977913419389543,9.842962026746665
72,25,5.906967480711029,6.989132584468952,8.445081592187629,5.100149204225366,5.913826085744989,6.7318909127127515
96,25,4.859471278303102,5.932940260546259,7.129388525984851,4.483889000922485,5.132573869728992,5.862073782079505
120,25,4.255425011390142,5.130344723017189,6.3173355914845235,4.174061160944853,4.761752865237446,5.38203761508506
