Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,36.12293241872226,42.16065326856986,52.75635763317413,40.282926273154956,49.811374467096,63.15699476976238
6,2,29.924054525129854,34.40149632008047,41.45958027519761,29.77640922134448,35.70965710314934,43.93874583718704
9,2,25.152883398293184,28.97232686827809,35.71539607476878,24.963436383716036,28.95838607087272,34.52506373053931
12,2,21.835468068885547,25.27357491811314,29.86702453203047,22.20842005107754,26.048126134836714,31.358766901062857
18,2,17.51073705744018,20.58298356015859,24.523807585644523,17.653545755536598,20.7123167030127,24.626221637441148
24,2,15.056166725346387,17.681507938505977,21.14275313133357,14.500233758633403,16.978808724916913,19.906701128175975
48,2,9.706730197554883,11.472445200246627,13.660622053086147,9.160452944198992,10.532117327534529,12.264045852686397
72,2,7.436405392533989,8.661069736960808,10.064809645848811,6.734951547176934,7.5656494657067554,8.552766335024504
96,2,6.202509861345595,7.072400524350749,8.136861068493396,5.49691823100661,6.232145128220026,7.049543083745398
120,2,5.274970890534098,5.966630316622957,6.856195215907331,4.3625493707100595,4.856319835669855,5.403451216718434
144,2,4.551639631479968,5.20391392768561,5.917167722142608,3.758626972565284,4.262412389612579,4.921475264968164
168,2,4.148818397052455,4.690568209920616,5.345448655432899,3.8286312842785186,4.257078197169916,4.802777502799741
3,5,53.86036829825953,70.52310016700889,96.46093906096283,69.61770570203689,100.06106308153423,160.11794749024443
6,5,44.51922238302605,56.24116285577679,72.01568612359901,49.32912994104794,68.88577277916083,100.87590451406032
9,5,36.8651041920167,47.22340784492335,63.420911950521656,38.153741546940914,48.43808195281217,63.39818854264159
12,5,32.24594056321722,41.193283255602154,52.61609420874795,34.48176410564116,44.19116854993276,57.581661974587476
18,5,25.787017471459826,33.522552013409786,42.093690833831694,27.58004373500419,34.407127105310295,44.65190369141541
24,5,23.10069233995194,28.78521351162145,36.33082002483556,22.21942633183194,27.384696821034936,34.851060686575295
48,5,14.585061015956615,18.134459920705027,22.26863140333822,13.298597446188449,16.05629249116807,19.555705454850596
72,5,10.77899667860992,13.14224050240016,15.769994191535963,9.38823812688068,11.21163352547287,13.548973700949567
96,5,8.768477860294336,10.516048662482682,12.57738359733527,7.707091445637214,9.118815939294826,10.874401154984707
120,5,7.233901183476874,8.7659872080986,10.268754739690749,6.082662897898692,7.1413427643262555,8.54034489994753
144,5,6.230234953102751,7.59496986425859,8.910069524194661,5.4590444649039656,6.494968501718835,7.96024345035338
168,5,5.76367916317335,6.7583665959622605,7.824956536426797,5.168544149598434,6.016582582745533,7.125109793035312
3,10,69.05510886593366,105.4047577766834,152.75436149095844,94.85191443757535,164.51095563987352,300.5996954608561
6,10,56.093500599614075,81.57201616467403,116.59460072223882,67.66643616042437,111.84557196015527,193.5883891757552
9,10,46.90733378576665,67.96712585325156,97.34127176547227,49.437021371945335,69.8329083321392,100.99865282291535
12,10,40.022996528450285,58.486891319831116,79.05587337530253,45.50144764794919,63.60555936104326,93.52488827096424
18,10,32.726057527629145,46.82922019639753,63.220401825547484,34.5568299925198,48.1329820296595,67.58119004511491
24,10,29.101630913858315,39.890206902975336,55.468110271292076,28.439315329185725,37.22142016456361,52.302645096933674
