Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.599706108409684,32.23702225938704,35.58569342322454,26.682884548878548,29.078415991963748,31.659613535665635
6,2,21.738381750588132,24.105382427006298,26.942640787586193,19.059788577314357,21.209504358897618,23.423651654888765
9,2,16.807816569343185,18.870535351420703,21.093098530355796,15.0144127562153,16.64696721538548,18.51771168087041
12,2,14.16046322126945,15.733409933055505,17.47444661862425,12.499368762449691,14.1308636550067,15.864764416942258
18,2,10.34348150853826,11.66043914059817,13.040363575108833,9.38159596355409,10.47372474781586,11.807274620031848
24,2,8.334250282316656,9.314348293978318,10.463842654242793,7.575495710538567,8.491944557232996,9.655040649336126
48,2,4.711839280439648,5.240987856313475,5.906310156016585,4.399205170064495,4.820263045188352,5.25852543718601
72,2,3.5012972530311663,3.8722419683785088,4.285707864325252,3.3415534217685225,3.7110238123687633,4.127283312629
96,2,2.698940990966174,3.021147003905141,3.4065372828432605,2.5263571298793908,2.800568959760123,3.1066097468044376
120,2,2.3421123866677442,2.5747997841307013,2.8701146152974033,2.0740084932605938,2.282219116036511,2.5165161272047762
144,2,2.0594481260536153,2.2807756636135967,2.5460403750924625,1.8323799117222417,2.018904176779499,2.2158258127846397
168,2,1.8770021180308776,2.1046291378583666,2.3788390545636684,1.643218116435578,1.8756954830706944,2.1413582276840746
3,5,37.35143326235065,41.8513502174266,45.76149220307521,33.93761334174729,36.733396764514346,39.778494473446614
6,5,28.323362949054292,31.85986671690968,35.3247557870594,24.949324433909396,28.03736104960364,31.15271580816804
9,5,22.410494854143913,25.406901893576652,28.641754428462498,19.515035729410375,21.766516036151334,24.059691973763194
12,5,18.804269534572605,21.45952388405836,24.054891651837906,17.857326265888922,20.579195548995404,23.348940368244556
