Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,6.87529249039388,7.736620618747255,9.473702409742266,8.765408918584804,9.967492219411525,11.498771352988303
6,2,5.492272225655682,6.093078307327624,7.225520463747381,6.241387529780521,6.934028980175771,7.6880776441056025
9,2,4.422781672357566,4.897419185585567,5.732345580111866,5.122050111002073,5.677464950866066,6.255716863952745
12,2,3.6558731958759534,4.031894990851238,4.790590022106791,3.9361177935707614,4.2820058959480445,4.669430162135321
18,2,2.6848728422813797,3.003368915066166,3.6081704698977504,3.1575483852985684,3.536739530064667,3.9615167876275854
24,2,2.1567464899055855,2.4405075366022007,2.9365654018403227,2.336610464460524,2.5857285105995347,2.876948011106591
48,2,1.224314893719066,1.3807959044432616,1.6692721393560763,1.3505240963873417,1.518086788339672,1.678068719880438
72,2,0.8436706413403027,0.9617734296861471,1.1894411506529492,0.9418695986891961,1.034786799116512,1.1337289060828286
96,2,0.6645941710457606,0.7484930852395113,0.9403277486426924,0.6895433947360703,0.7674877925085877,0.8471950220209561
120,2,0.5432585018527178,0.6210813914711332,0.7635048902933518,0.5813766094348267,0.6495345817560896,0.7133275212906496
144,2,0.46847243937361815,0.5317723051374346,0.6736882093389274,0.4872815408385664,0.5397771925508056,0.6024155928159657
168,2,0.42227749524612257,0.4828258160788518,0.6170563788068799,0.447158531256989,0.49591294298999555,0.5529583821009625
3,5,9.904241186695446,12.45546918848337,17.474731748632795,14.105911243485973,16.482187093282143,19.605786439199626
6,5,7.464654620230685,9.395537962612377,12.994549778689297,8.960905208261211,10.20717450072852,11.574597534474728
9,5,6.045199265291668,7.574062145836246,10.020120929017661,7.125095528345971,7.952123778081026,8.773745784220253
12,5,5.004330220431348,6.268213008191987,8.118412850100576,4.996771660561413,5.572680386563981,6.178873102931723
18,5,3.696474204637956,4.712305140270806,6.417610006765713,4.2599590176423465,4.77907578429693,5.332466716814944
24,5,3.0667558500642604,3.896595146046592,5.187483493607996,3.094472105199608,3.3957537012809884,3.772963914934051
48,5,1.7949585889336732,2.25828473957745,3.0473652068826125,1.7665088382580625,1.9557130523325137,2.1441796944100986
72,5,1.1846696152796707,1.59322127735541,2.1472758107084937,1.2218048518534987,1.3416083794923042,1.4755076261565943
96,5,0.9610008764139635,1.2628481263257862,1.743394604748576,0.9108426023155771,1.021843433622265,1.1406578258050355
120,5,0.7930097187703988,1.0655477249605276,1.4473778677925806,0.7720770321637995,0.8535436358654962,0.9457026826350463
144,5,0.6892991083996938,0.921303771724286,1.350693159098715,0.6408232847894059,0.7087787785308258,0.7790063205716453
168,5,0.6321035788209025,0.8518753194793093,1.219818974943094,0.585195093915657,0.659511578559575,0.7471310885217815
3,10,12.317107641624776,18.274332415447248,26.806387133729913,19.348067389004804,23.009126700404156,27.525857498251796
6,10,9.230867889125067,13.441050951411928,20.08270242833308,11.213218368448986,13.0833723566526,15.034448680669062
