Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.411164036590222,30.424177111586538,33.715324052752194,29.60133812437939,32.94657910955494,36.47736579983366
6,2,19.052968626747564,21.12541960542488,23.59313007993485,20.16464349335216,21.897368392410396,23.753677650602235
9,2,15.213628041970583,16.9661832910449,18.866576532923585,15.091327340486306,16.450811213240385,17.95425656180879
12,2,12.86434384310364,14.340005504508138,15.813194473544453,12.654494856727933,14.154548461437074,15.95539437249009
18,2,9.806739704307875,10.73240485473454,11.852610492684093,9.084207810358704,9.893947835657046,10.770955721248477
24,2,7.927645250629116,8.755754550540606,9.712066478737663,7.292031471731317,7.72798751594576,8.29061971524629
48,2,4.93099880681445,5.434360565364237,6.066273923003967,4.436891496037465,4.790261562324492,5.165175330798007
72,2,3.6187280639662354,4.037468114765462,4.423606984215338,3.666323326562143,4.019691072997959,4.417952847160901
96,2,2.9268824367475266,3.236539828743208,3.5832506125348393,2.935391063899514,3.2243617871709422,3.547807950496182
120,2,2.523744486428364,2.785035729675916,3.0483166118589904,2.583219836828358,2.810604983127307,3.064334996532892
144,2,2.310312253405839,2.575682849414683,2.8643200036171366,2.1339265622756356,2.36329080558818,2.6136067756448567
168,2,2.1109014044321985,2.3636151246736503,2.64153936320293,1.9129725105526387,2.1694327837406058,2.433058967349882
3,5,35.654053878233654,39.116889525308075,42.93515110865917,40.17741820926281,44.21166862173089,48.55026450151017
6,5,24.549987522425027,27.54495867706238,31.111590029092223,25.80941700766965,28.640406789632962,31.669542622685107
9,5,19.687260727984707,22.347052185623582,25.209233971685,19.92664257232343,21.946023034188567,24.353940259418202
12,5,16.76986353490498,18.97941788776225,21.508072424151813,17.77916136356439,20.009777368885487,22.876827722591955
18,5,12.363940554469787,14.118032694850825,15.961702082121429,12.208277809887637,13.705005389067612,15.122252922120591
24,5,10.148688330097258,11.507009560034017,13.067229249898741,9.741464371706245,10.567248047058797,11.417471776620083
48,5,6.437863161640999,7.2411232269337376,8.190298082882544,5.67718975136235,6.361265440421164,7.138584993275886
72,5,4.675221677465053,5.279528252406288,5.937616892799842,4.75617941983083,5.278938037690084,5.853602804684392
96,5,3.784747556599239,4.197005880438963,4.625908924998764,3.754254379360628,4.1903381425913215,4.59842006932244
120,5,3.23502811573308,3.572860559239299,3.939233285141124,3.324209267686185,3.6284419081238632,3.9661493039007056
144,5,2.974371152401827,3.3315865556582063,3.6778338658645797,2.8295184272095857,3.1297466967850847,3.453897963903242
168,5,2.7576852458572056,3.082317084778521,3.401060877006176,2.619285182077042,2.926925793121174,3.232783463925248
3,10,39.905397225274115,44.22350268971216,49.33073798535213,45.70148097685485,50.790307171013424,55.93534570639778
6,10,27.738760203610383,32.07731381131962,36.854469134262985,29.517000413743027,33.29345968639176,37.85303024603998
9,10,22.286969622645785,26.147789998861555,29.882572565538805,22.877006184633245,25.825371355760844,29.460651409101068
12,10,19.026942314499223,22.272239076983688,25.849056068488757,20.793177332597338,24.300480761937727,28.23721617144249
18,10,13.987899212294678,16.698872897205266,19.422674248684494,14.133441208157546,16.46458712351529,18.98230195011521
24,10,11.494419213050588,13.653644058630498,16.090150077584575,11.539629579912125,12.809481957994489,14.245019214236684
48,10,7.283250256170875,8.4917707360435,9.765312971634193,6.527130187437228,7.576529068264473,8.808503210734559
72,10,5.32711142566567,6.076411247264583,6.882928818594946,5.428846434060972,6.145576057546021,6.924613336733681
96,10,4.280386192443901,4.796210966026375,5.332044987305473,4.24410287357893,4.837749469271755,5.39091748313362
120,10,3.62393925409216,4.063458515028618,4.539337270057504,3.758845127026247,4.166976676892805,4.5790376823868115
144,10,3.35703177505325,3.7747206315122033,4.202129336717609,3.2142937822307203,3.629703713358917,4.081357965031907
168,10,3.082193799886249,3.489545983973529,3.8559595302389007,3.016115779190909,3.3579396635417886,3.721058371774115
3,25,44.011801854340945,50.01998670993359,57.628011711894956,50.776854623699364,58.28516134565042,65.46619973307824
6,25,31.087871790598207,38.1466936659604,46.94915254831568,33.237664230396454,39.46702181662559,47.32671414588684
9,25,25.49466225642893,31.239523584502564,37.96539334873349,26.352400687433082,31.07284953750233,37.18111746264502
12,25,21.646501216049103,26.702845348568395,32.97428606470667,24.541662575074167,30.30515005348871,37.53190947900718
18,25,15.78123239034229,20.405068235253268,25.74676412809861,16.22215827423581,20.292376040575046,25.655771012314922
24,25,13.129017802092942,16.802710888836792,21.295418908712605,13.584635778388915,16.15886014741376,19.033854381401788
48,25,8.22517202455995,10.136785996912794,12.153526766543528,7.495788073049502,9.367371576465004,12.010521041563816
72,25,5.950588129671912,7.055159725555171,8.197101121799738,6.178033637552051,7.2893035942679765,8.577420603199847
96,25,4.807286901349861,5.513906437248251,6.38039414225398,4.736794328387699,5.6723058038491665,6.67942009033562
120,25,4.0045200423295615,4.650104223407035,5.407853984954686,4.215087694849416,4.849743996252882,5.448890342421377
144,25,3.6839241346078033,4.276782543742387,4.894822275063856,3.550950561193072,4.259203580351565,4.969613057113631
168,25,3.4031250659297734,3.9371792301376,4.505051896799352,3.367469239832944,3.838160132016867,4.346047735209894
3,50,46.39738701983228,53.89271942008436,64.71898302074686,53.53457710629546,63.34714740132809,73.31170393581125
6,50,33.28741947021757,42.91043497217808,55.976730922714694,35.29453170167733,44.31371853919355,56.791293171681744
9,50,27.973122806990705,35.2375081660216,44.93642907332402,28.302457955890578,35.2660196694571,44.65930060790254
12,50,23.326921470673515,30.196449032488708,39.84947403704195,26.935843269793455,35.26345027650879,46.10007372630222
18,50,17.06310104214394,23.51679759103291,31.806242810660475,17.535581030607673,23.43142936781133,31.85690601048266
24,50,14.212558122153823,19.50137157429318,27.065899851642108,15.057261037533294,19.095504986326027,23.624846017212427
48,50,8.928652317965211,11.405711573344686,14.35625513413888,8.080085725174223,10.924534077041804,15.226229656944543
72,50,6.330270420866671,7.76150579010514,9.347457767800243,6.598013588864176,8.180488835115792,10.009136202430424
96,50,5.06268151686098,6.019310966918171,7.307041277353967,5.0509047944265735,6.30815981251672,7.729223912340345
120,50,4.181398852527894,5.062559408584728,6.158417923947795,4.518274107936412,5.361339701320896,6.281292721082909
144,50,3.8838206800904573,4.611605772954965,5.446000048353297,3.7414086526949495,4.728285029644495,5.706958945692314
168,50,3.5466556464891883,4.226958490161393,5.025995897731693,3.51899010778739,4.155753591597179,4.845425613371386
3,100,48.03580851440526,57.410833013223254,71.83503303584544,55.47070616761131,68.0150253618988,81.94188862683873
6,100,35.311964566845006,47.87105573697596,68.39263263121602,37.08086785552882,49.399676477186716,68.14009821505806
9,100,29.898786478869766,39.402124474437436,53.782669664892225,30.095097314076764,39.729568072532416,53.55281266413053
12,100,24.494393088500836,33.84877291795502,47.69674797327015,28.95597125061669,40.69095857772077,57.22992846618219
18,100,18.231777418925066,26.948727747534384,40.05265179957704,18.886378000046886,26.85220335982816,39.24032709729395
24,100,15.214018221195518,22.530246016967375,34.47474719955692,16.46205319909281,22.471392643463027,29.526039111420026
48,100,9.383914930362241,12.707715677624945,16.93411160428606,8.651683420447164,12.709276403729646,19.690917640740217
