Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.590406465130897,31.358151576976212,35.78656947306746,30.520819127801374,36.071307998138955,42.40841110496246
6,2,21.5603891289852,24.569940943139372,27.326373087494773,22.7524636779984,26.233402662400895,29.80147830953637
9,2,18.061152908039972,20.438400435836904,22.862831790290112,19.36167882403114,22.099399299416262,25.246504580787636
12,2,15.522713445015803,17.336079209305176,19.660841291402814,16.46585548506085,18.453379327566545,20.71988648419384
18,2,12.058082971275345,13.585721977355554,15.412609256442742,11.888775410180543,13.398501696483784,15.102938133398155
24,2,9.627058126777023,11.038976478558455,12.459021530173775,9.84837005876713,11.049476885913009,12.33434868931905
48,2,5.399791851118623,6.203588290216147,7.0789836166877205,5.39171621077936,6.056142092062258,6.822065887999132
72,2,3.9460556042130523,4.535904459280631,5.167287476020073,3.767888248700686,4.320179533710749,4.889783422937744
96,2,3.264206465435323,3.7225776001607507,4.22753560349808,2.959129293797838,3.372438179895624,3.827445562315998
120,2,2.834142204241676,3.2325225938662276,3.7006559387553533,2.3728794029283926,2.729405520229181,3.1093289537970143
144,2,2.536818620353213,2.901204254957066,3.3321492875592513,2.007155759636843,2.2855386068841104,2.5891733070013543
168,2,2.228126236020713,2.5537244499221936,2.964952630296326,1.784017825640877,2.006214029314727,2.259016590557964
3,5,37.708469447545184,44.2866827532646,51.9667302851239,46.578864160599494,55.78440239313056,67.0147321666754
6,5,29.49963888115137,34.14561560634534,38.60418328221315,32.088150077680076,37.14241569536121,42.72499110270009
9,5,24.325924681128555,28.163468677690762,32.386565694081035,27.44551680245133,31.24108206021889,35.32787408529453
12,5,20.63954152504191,23.777324376171514,27.29042794718018,22.90696481476239,26.056914453434693,29.608677122539603
18,5,16.3111675767024,18.579890583072558,21.254998989363816,16.11449931109202,18.267394679532583,20.604352822056317
24,5,13.275188844938523,15.156357001549416,16.964120418587342,13.417052144080483,14.919906950286084,16.613584887366876
48,5,7.455125550931784,8.782188279968796,10.154884192366794,7.371668016422593,8.36248081430478,9.569297959795486
