Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.04343008617237,33.574270977837486,37.6513032323352,33.230171022827506,37.31840226636906,42.31706569041857
6,2,22.95104184982641,25.8446747007491,29.21757106097079,28.0101778119202,32.500863818983206,37.01595568374077
9,2,18.876774534479342,21.386417156759705,24.324056510031333,20.995614177689337,24.129429486916504,28.15438739402274
12,2,16.305326536861514,18.599510923750376,21.058412032082718,19.8086789603418,23.257517847820754,27.1148158548164
18,2,13.26470964790365,14.933126557541776,16.858758431621883,18.389904876941134,21.503759440711782,24.712087348361074
24,2,10.938023734902828,12.625825601810886,14.376617333524116,18.501940415061455,21.373333634927185,24.192066584653347
48,2,7.003360019917441,7.943507560147962,9.06702185620729,8.862499657598818,10.225135917015622,11.687347547600115
72,2,5.354032326731437,6.012418490816158,6.849545992463968,5.693270684766165,6.525499576495942,7.501485038524827
96,2,4.311212381385673,4.833535569686661,5.461370611322897,4.288562844874492,4.924930558352731,5.617850849317257
120,2,3.661460054282119,4.147750413613346,4.660433874502087,3.462983373106421,3.901604702062647,4.404098270920565
144,2,3.3735844640912287,3.7217715180172894,4.155022223794903,3.2541641040609215,3.6641419207418346,4.14120016043424
168,2,2.9342542296798166,3.340712886142975,3.750623462787955,2.7968123565311487,3.1168996775332154,3.4886212132233267
3,5,40.086565069414156,45.837788055761216,53.21661070139557,48.14118929526835,56.33331851133789,66.22543492609294
6,5,30.812913765224422,35.8639525281006,41.12371342608013,41.6813171846503,49.29002445080836,56.54240546094174
9,5,25.9121420906359,30.233799127974727,35.23964965000513,30.4469986636756,36.95811942140057,43.88643966344779
12,5,22.431729871223716,26.434069021806955,30.617228219218482,30.06055024741923,36.598241424509006,42.96101687445864
18,5,18.138051497303522,21.358777978882408,24.796629525193897,30.00276609283185,35.438315657637325,40.676569710520575
24,5,15.395611502154782,18.156591523346222,21.06303561577304,33.12977373346709,37.883067046421516,43.214077276112434
48,5,9.559457616217674,11.27829476535817,13.311271904509233,14.52622092267656,17.5173208374635,20.839539587156715
72,5,7.248489284181554,8.438465091901447,9.518506171278714,8.632410038103385,10.352978685882004,12.23119876540455
96,5,5.8740630059536,6.685032908322016,7.73053248872447,6.352113009102752,7.47196013253253,8.679934973211555
120,5,4.9185973166275625,5.679894869005705,6.508722860577533,4.88219210960577,5.676856568373662,6.51369823110638
144,5,4.512551876338059,5.045478019455774,5.698225772834829,4.720704978470583,5.446795752283643,6.3105084491117704
168,5,3.9105686931723587,4.485287956672929,5.070477358722359,3.8253315161547956,4.389776936413904,5.090827127890375
3,10,46.593275616647006,54.80610977112276,66.33628639221257,61.36271705360872,74.1637910101335,89.16288583272768
6,10,35.816116939151286,43.47065053758853,51.750596775106345,52.628306500913524,62.259528320164726,72.31833228164037
9,10,30.22318989962352,37.03636998224539,44.74210168003621,37.47245332219039,48.12206544634631,59.73810739121781
12,10,26.25860518936244,32.560514562519934,39.24187405002533,38.73254269642527,47.31176952000436,56.63729927425389
18,10,21.44192978672969,26.576894559655322,32.29705769903626,39.668907350549325,46.712788178947854,53.53105643153866
24,10,18.22250884753337,22.63409055615474,28.23513010218079,45.41376261639576,51.4596016569358,58.332254183276945
48,10,11.211765287549099,13.957445168870738,17.129970268203703,19.91867289003411,24.73874023904969,30.230806225909078
72,10,8.436786639485128,10.246576033514714,12.040928817850553,10.93545650563041,13.678397457617297,16.854242664164214
96,10,6.833557877186919,8.035742500900856,9.576790835983669,7.8093010245715515,9.583357335417988,11.54702306285247
120,10,5.757367528306751,6.771288819176405,7.94858104641763,5.770875907671908,7.017234099209808,8.474988891727557
144,10,5.094006903006236,5.946099288308107,6.935237586216447,5.663201526933103,6.845882393895622,8.167578995455125
168,10,4.4969940429992175,5.257949310247623,6.094950713272976,4.460803901826816,5.3736775420409915,6.48336872056953
3,25,53.293088702380544,67.20612311237987,86.88561450446883,80.55388814640764,105.37605450011674,131.30876105714034
6,25,41.34845545420613,54.35372308298811,70.11820383623669,66.06050533881745,81.23463532699722,98.58484750272757
9,25,35.421416065251094,46.88237877424914,62.02327280797921,46.82468521799543,66.41216087954724,86.7848950826728
12,25,30.398511210244678,41.56624896846512,54.55209640067238,49.628036634671105,63.55861474657334,78.91252579189172
18,25,25.524182969644464,34.51835851026163,45.85562877310522,53.74961224612194,63.89188109983199,74.50391678286714
24,25,21.576498920858626,29.428982072963954,39.96437880786972,62.5211227862942,72.41927458418567,83.20053185579852
48,25,13.248133086667849,17.994713479518904,23.749883491217616,28.506866012159442,38.03105905630794,47.786770244358806
72,25,9.84393157611102,12.79012707686178,16.080317993672505,14.027065047608758,19.12170125850897,24.841958859635362
96,25,7.785107125218602,9.899159131049291,12.565888353015922,9.512380342987754,12.89609154110159,16.82397514380513
120,25,6.554107248880894,8.244648070206114,10.354937764189666,6.650006617710319,8.955849113730906,11.832970971976115
144,25,5.7380182212802495,7.112384706956089,8.860519931736976,6.774947069397795,8.928708889784565,11.232922206733821
168,25,5.089517389862024,6.251462822887386,7.5798915746686575,5.125895427699239,6.828401803541684,8.842474446944305
3,50,57.30110211345778,77.24408439894995,108.96362629355538,96.02877303446252,137.18190666904016,177.91254754641977
6,50,44.84110107377594,63.458616157604396,87.81186189199883,75.91510709368129,97.5381087883681,124.20582129941295
9,50,38.62096170557396,55.21192269551821,81.14664417642425,54.49357102189909,83.95731463370126,115.22763723204136
12,50,33.585493819433225,49.29904623471326,70.74537799316263,57.62307440619093,78.00829466876748,98.99213054605073
18,50,28.35041770939602,41.56795821708261,62.060468277174564,64.85806499537568,79.21515088103656,95.8743713300375
24,50,23.70585650266016,35.44432061557117,52.97690006842949,76.75107604803972,91.32282116687493,107.29903555454976
48,50,14.772229545196083,21.54480143789437,30.624865394876256,36.30103787931287,52.22463476656242,68.5145309080113
72,50,10.865426044206947,14.883749161187549,20.766843499542325,16.06091956321657,24.34356172034443,33.101252642401995
96,50,8.36557631918225,11.404393745876847,15.483750956799636,10.61960789122855,15.950899434465544,21.597564717505936
120,50,7.086352474508928,9.410125357981645,12.591316801435562,7.230613505795475,10.615257213077244,15.386342916738098
144,50,6.133404102022407,7.998529477191264,10.665659579825759,7.520162370684238,10.752142584505906,14.311940304578215
168,50,5.450856666119275,7.001160612226409,9.050068800149091,5.541171709251213,8.100490391134473,11.382669410846194
3,100,60.95531192610027,87.97561518246235,136.785964099748,111.91918869649416,178.76063744351148,240.2157466552993
6,100,48.183521880589936,73.4698607915025,112.77011059398052,83.9315781620571,115.95507536035196,154.80137523258728
9,100,41.962984849226636,64.45816256603645,105.68850796944518,61.74598701675495,105.76934753663575,151.7278922566361
12,100,36.84953111319791,57.99259338119173,93.19994070184921,65.82750966948706,94.82201708811651,125.16837511915361
18,100,31.018871201122266,49.722179361323114,83.39918509673825,75.37630531015243,97.06643394351218,123.02335424691057
24,100,25.620944291200736,42.38596770509452,70.07749387529348,91.76386345036289,113.52842344646757,137.56570921157783
48,100,15.961799616502926,25.618016105481487,40.7315244216514,44.85460258721049,71.53509509116783,98.29882145780962
72,100,11.718947462016905,17.15404575038264,26.837579112938265,18.236074138966096,30.84184819339252,44.64841377366202
96,100,8.947401360012961,13.010700681560262,19.064664980227064,11.722090563964603,19.62800907268698,28.775608394258036
120,100,7.480894268344719,10.631863551950522,15.553550287288907,7.808497805236238,12.494558045784645,19.613310321491117
144,100,6.521158552730661,8.896164490534519,12.652294591857437,8.187801805041788,12.848503238035246,18.154440404920734
168,100,5.79038834446292,7.756154728275403,10.615628305184101,5.8987508887529145,9.567730369755942,14.641894736301147
