Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,8.870782505362826,10.250275785869002,11.865183045601007,8.144297371466541,9.26780527043267,10.630984245790108
6,2,6.82028302050132,7.775967329217588,8.915043139578506,6.275293238029898,7.326424125041799,8.450053435661573
9,2,5.561975166971986,6.430640407180528,7.36185508646969,5.356322827496541,6.202674371302427,7.176751350689614
12,2,4.86332118696474,5.592632168942846,6.435663459341869,4.217582193216932,4.889665619809212,5.582939986851529
18,2,3.7047596312158984,4.2331582789590705,4.729789878013561,3.152296260468782,3.638504687251994,4.148175236102828
24,2,2.978890572091441,3.39926181666695,3.9261457042212626,2.501622548070805,2.921386055521287,3.357248611675579
48,2,1.6821237489044107,1.9078255645644773,2.1516698829956855,1.4787725212493181,1.6958684846819017,1.9280473606394586
72,2,1.2151344004883304,1.367646197637472,1.542708466822702,0.9803491798884618,1.176503323972015,1.3853516235359025
96,2,0.9371412759486015,1.0838884326477585,1.219442088417849,0.7393740145351537,0.8786186709795512,1.036653183675915
120,2,0.7710321737324382,0.8914405988207703,1.0131223212494929,0.6248953611936475,0.7206356320930192,0.8143937954978042
144,2,0.6719172047637437,0.7601343647987805,0.857253360468353,0.5445275654678553,0.6290866883112097,0.7210680641569797
168,2,0.5898311412407552,0.6666132645573607,0.7443117950969588,0.49071311523182537,0.5696280303712703,0.659084627239372
3,5,12.742354076369095,15.090490827936556,17.87823370433592,12.455607561750082,14.427224377664665,17.308115084695025
6,5,9.272871322068237,10.97194509572905,12.73189307905244,9.128936821790731,10.785399252596536,12.82447384098133
9,5,7.799350566056893,8.946448118969284,10.274402266711393,7.547206315977626,8.867207711965541,10.364512907903027
12,5,6.771684835291884,7.610215647786573,8.616289258949411,6.168753446747431,7.109768896101416,8.13685670538292
18,5,5.062006794741907,5.66586374515386,6.214303144989877,4.526315697781301,5.128321600889431,5.793448754383674
24,5,4.0696194916094415,4.590539674076515,5.1365327762132384,3.6661352230555,4.169717526224812,4.717860390912858
48,5,2.2800005346723737,2.536374632993116,2.801574321939249,2.0905604414342878,2.3535860163408935,2.6231690418785627
72,5,1.635421070070041,1.8366271355777681,2.030927940570392,1.5189202788782978,1.7691979799831534,1.9952310725259537
96,5,1.2744206336835828,1.4332079587126074,1.5783683604415728,1.11087499734482,1.2994201435671626,1.480858222726703
120,5,1.0610552784280787,1.1964826804294346,1.3303419195225168,0.9154303734562123,1.050369957952057,1.1701519310415482
144,5,0.9173244180279887,1.0292734062372804,1.1350881932888865,0.7947654735328016,0.9067979728424186,1.0331646685651954
168,5,0.7975524165484436,0.9038553647273674,1.0142555902670423,0.7207617015508612,0.8232585993089616,0.9303309107535352
3,10,15.38583801743178,19.18746392214,23.89463108757524,15.114973003609393,18.50725635402126,23.055934072390727
6,10,10.947249499823375,13.273668444814192,15.762109150622134,10.998709982123238,13.372926754314427,16.564855976481688
9,10,9.182840339731332,10.560325455631046,12.322539032701155,8.819592390484893,10.674523492019766,12.754408426257987
12,10,7.805665479270802,8.773966943310914,9.905699067716562,7.284264718838859,8.591859234701152,9.992386639627284
18,10,5.708541520052861,6.4197561862414645,7.009365599999301,5.216257203017756,6.045623119784933,6.878449817312479
24,10,4.633718285938884,5.209623178184957,5.759897668723909,4.2933096070292915,4.883563891212707,5.47980338395064
48,10,2.5511055793505357,2.849840522813913,3.122532850193277,2.4003159476263507,2.7061646586298855,3.0043172768635342
72,10,1.8541742817423141,2.0829857361591517,2.2960821873978006,1.781991070122407,2.0871023949063026,2.354887733981363
96,10,1.4426463383436308,1.6108421432317006,1.7712956653234349,1.3378768020725658,1.5405430550919892,1.728960853075963
120,10,1.2066594428381376,1.3580990732003895,1.5014246364186468,1.0632683387641342,1.2293481953604015,1.3730434270854088
144,10,1.0402551001738896,1.1816377776757858,1.3139447907967023,0.934696023691715,1.076323130706892,1.2350178234921771
168,10,0.9145241043739585,1.0445910176064819,1.1773516225770522,0.8479406640769165,0.9814841189302049,1.1101375603893313
3,25,18.720161911185656,25.66581897518612,35.905242289998924,18.500537001851818,24.651271652522137,33.24233195163303
6,25,12.643005343185749,16.412109267697616,20.742673352517222,12.92084243164036,17.073901438970037,22.790009279624726
9,25,10.50619057152133,12.542282174805598,15.229764881433528,10.313431927081961,13.036608281975731,16.376058504197207
12,25,8.731625626536266,10.073592160619246,11.589342660123252,8.466001796715066,10.497500174311332,12.625615697437876
18,25,6.274182619025872,7.195964458858086,8.046908161832654,5.853729439995291,7.14317630468239,8.534783176801195
24,25,5.120642314866297,5.840072071001358,6.573229222867768,4.855816682003875,5.68254998299786,6.61509100979147
