Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.338188073708736,33.174155808334845,36.267087548307785,31.00568293534316,33.65780477617258,36.74597448403449
6,2,23.14728165732039,25.615585699726154,28.32264829384362,23.01079790299793,24.672288414374776,26.569356924442232
9,2,19.334462373801117,21.360487132639964,23.658087221085637,19.077150486846595,20.699869150018287,22.39391727317404
12,2,16.658840990388416,18.423883323411385,20.594015310081318,16.628863092946318,18.017807157471054,19.511999300463987
18,2,13.430241954878415,14.8055105962188,16.573438176407148,13.58061372330528,14.740769117682845,15.999963868106652
24,2,11.167588416861111,12.294833806755882,13.632102981781937,11.381124938802346,12.28386563978215,13.381712535046969
48,2,6.981459873190332,7.762638370459509,8.644623803968003,6.633521213666912,7.192336832443058,7.920817387254049
72,2,5.3427928149173995,5.926049426363247,6.66199559827121,5.081634871161618,5.5653368744379055,6.1776672766486245
96,2,4.273954626228077,4.799333574223221,5.3593817286367775,4.0951066649742,4.544504548516423,4.999817994648378
120,2,3.617031915479381,4.14211424587892,4.622241597071533,3.4986130952111965,3.886367267762274,4.343860461684036
144,2,3.2332429613088136,3.6257662553354963,4.146609104640854,3.071594778867702,3.4291337395852097,3.8075247713061993
168,2,2.8613904230771636,3.2502887768660917,3.6732317850975056,2.814504545750491,3.1619530262884696,3.572447352071852
3,5,38.33864006724093,42.65806239776228,47.726350634322145,38.96624051003842,43.5578675153482,49.11881029139364
6,5,29.784525123438122,33.03824337236087,37.182594816482464,28.726730411916165,31.63124273074517,35.11772346195087
9,5,24.667321903399767,27.943788989908604,31.439076486236917,24.300627438380346,27.088425851394888,30.473833357839347
12,5,21.5493923500992,24.10126152228061,26.990273591314157,21.25456125098328,23.765340393360763,26.980404696741488
18,5,17.028399514856694,19.41949119427038,22.036932556488267,17.14383196063189,19.076229465050936,21.501647394916876
24,5,14.456397663630128,16.2093178859744,18.158431674764103,14.492706869252185,16.15570636499023,18.316363398026084
48,5,8.991858484874026,10.625635581909599,12.518364478966575,8.455818428376077,9.632670858445996,11.148079280310686
72,5,7.075603341340845,8.061030752659308,9.57705515801402,6.534758465747909,7.416886627091964,8.45258867029495
96,5,5.637673169050721,6.545936053204434,7.457052321258017,5.469282689707693,6.183471771879708,7.020993579898818
120,5,4.940198294879888,5.672777368878632,6.371539291722477,4.726982118619507,5.42900402978459,6.16987164881823
144,5,4.429150689406882,5.094018844024477,6.004569160107023,4.076316351175951,4.701262987016992,5.403438785238652
168,5,3.9285984222250923,4.621225153304497,5.4268070606247045,3.760482923237026,4.367440590303358,5.069827272906979
3,10,42.74755639473949,49.32232518624447,56.935762286994844,44.50926666315742,50.86603050114947,59.51014375364956
6,10,33.39887464199943,38.1385325201949,44.097167540048005,32.6494163664123,37.289671385145304,42.612328999594055
9,10,27.87333403837713,32.46450767124321,37.22103413078875,27.686214163064605,32.055927108953114,37.64880202758083
12,10,24.415040011277412,28.104486297733853,32.55525723585407,24.461560696695102,28.48722440188211,33.82492052868605
18,10,19.434159902545876,22.72128239279362,26.75874785328898,19.530904233052272,22.38298499577291,25.99520062420453
24,10,16.44591462973241,19.142828192162874,22.30929717538846,16.72396427973232,19.300764959463702,22.614659201266697
48,10,10.491466790149722,13.071578485357175,16.136964759466252,9.869381978245398,11.86563719822359,14.454394596776
