Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.93086670326785,27.944424127407636,31.84529834008788,26.902858436295972,30.59216449337159,34.40677764572587
6,2,18.60159333206937,20.64928372025041,22.860154891559183,18.760812532234354,22.24293565713596,25.899025532521335
9,2,15.013588913012025,16.77465779637381,19.00703092453405,14.505801158254332,16.72433588273608,19.150849080056535
12,2,12.862904041601528,14.308273424566755,15.990975561884056,12.704763329599952,14.271110630220189,16.134980346289915
18,2,10.18260702088199,11.427334860172623,12.723601697687872,10.017655959477377,11.230268706565546,12.46995716845331
24,2,8.415310222685253,9.508547536081597,10.745937009682642,7.8705771771417155,8.98114077821297,10.32519281147886
48,2,5.697348817961616,6.45650478016411,7.313996913575023,4.900567449282777,5.653647471408907,6.49055741367801
72,2,4.274252929375292,4.869088923044063,5.461836983965938,3.8011676820256537,4.338143369966517,4.993427145143437
96,2,3.396471974699642,3.881722079646141,4.376530963993215,3.2345163873951686,3.682759479006328,4.189403518012737
120,2,3.001258237986925,3.406411226900262,3.831817003834524,2.7754649689873396,3.239978026093926,3.6940033112449155
144,2,2.638393656541474,3.0149634916126384,3.397212342035254,2.518189877898438,2.8663959492612294,3.282369368038599
168,2,2.4344253409265835,2.7707178663677787,3.1641211623229983,2.341932616462788,2.6810618584202555,3.018436646972808
3,5,33.14572130982767,38.681810278463416,44.581317962318536,38.00848414985218,43.81525856140406,50.32909342291417
6,5,24.43504063453168,28.41571402072657,32.4528308146611,28.045336420238932,33.470368501546794,39.24296125396401
9,5,19.776026179721228,22.707759713578213,26.753142137556104,20.947534514026216,24.567482184028567,28.6790042568023
12,5,16.911787784322364,19.357942821784167,22.129099886604855,17.704460291426763,20.4156570399851,23.364237474104574
18,5,13.453707254179628,15.554134574432387,17.782792809074927,13.685346880104088,15.530202113015235,17.753986824678545
