Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,20.98733755695929,22.175220129158074,23.646311365643534,21.49743371946702,22.795941021212865,24.645944312082328
6,2,15.825498690657135,16.697181151962535,17.741545130744818,15.720943600600219,16.619021888485833,17.77549996042056
9,2,13.024808982714518,13.886939422404717,14.782634963996852,12.743215158533616,13.61716814206182,14.563984202224955
12,2,11.363906102248357,12.184099861992676,12.980749438028035,11.184569909848085,11.849228187590226,12.602366348029737
18,2,9.047835542040932,9.784962697767465,10.596141536211503,8.523402501118165,9.375569173782408,10.249421925238297
24,2,7.590663246480922,8.3030721692792,9.066692521648111,7.079798769767672,7.866267805381489,8.675830397542116
48,2,4.876414347541145,5.296349280074585,5.746736826038742,4.398284159640163,4.823993392958021,5.363834466426525
72,2,3.5935629233769077,3.8888247239064215,4.194384724110325,3.2081660623593033,3.517890753635953,3.8732053813935723
96,2,2.9386482527641977,3.1864663116862673,3.4576008148599415,2.7039227417122715,2.9035551122814467,3.124596205292451
120,2,2.601146862649172,2.790986882046679,3.0251059790121166,2.557467176784571,2.7269653062848587,2.9006789758617555
144,2,2.3244313047847234,2.504495494390355,2.715807091951813,2.3361457082528547,2.512279775224107,2.69137961257053
168,2,2.115889183295467,2.272411202744128,2.474466816974397,2.172180361790941,2.3717578909699455,2.5721016112017523
3,5,24.266673620737663,26.154496552231187,28.37024713599971,27.15263397394392,30.094214506576044,34.08201830006391
6,5,18.195659105546845,19.589708723700134,21.05875863218452,18.493051207503676,19.958696547317498,21.85034882651001
9,5,15.21888767038007,16.392349516075118,17.67620649325624,15.163227990680166,16.4338270450718,17.907282025439002
12,5,13.307143754996709,14.38922357652224,15.353453472971637,13.143837348722057,14.08344837416508,15.122546292031206
18,5,10.89883250860408,11.844616105222546,12.71537580437866,10.746071189295634,11.835153034775377,12.949344388101448
24,5,9.355618977037338,10.219899865260809,11.066115655755329,9.462601352819219,10.358066630014203,11.317698219589644
48,5,5.954131363374558,6.58041198238226,7.181372026209877,5.720243148761728,6.388174721686793,7.1596294421968665
72,5,4.428314361988525,4.841475773295621,5.275369467150294,4.207598219539858,4.706408032847779,5.3364252823157114
96,5,3.5957347956615138,3.9680506217127194,4.373297381934638,3.332375860814352,3.6636880475419575,4.034506232300559
120,5,3.1345148023729603,3.446054683843568,3.7987697851718876,3.0995231474577665,3.3586057836746437,3.628849936729982
144,5,2.792237226792524,3.0915694063553736,3.3821350371075276,2.9097338065612717,3.160577657280699,3.4311311525363144
168,5,2.5688951030345923,2.8321661353986842,3.110740020753533,2.7283245438868495,3.0200046774514693,3.3276418238211205
3,10,26.374544803047918,29.089605626703097,32.630169620276234,31.881411066372436,37.32933009713096,43.61218254519872
6,10,19.647241624511416,21.624748000003226,23.70513246425219,20.34767885501038,22.396112424946246,25.14251971059619
9,10,16.3938479745109,17.998373404744846,19.672114743593426,16.672173993870334,18.37346138428722,20.504200727241315
12,10,14.419789687357275,15.70062912916551,16.9668427585619,14.3094623754716,15.487776009050421,16.785737263857122
18,10,11.925854931606061,13.042186681137405,14.081744211989655,11.954333058318442,13.322909666755587,14.564905902318081
24,10,10.303311517891139,11.35562758300258,12.487898928488274,10.56583622037521,11.813962773156426,12.961901268472548
48,10,6.573696061286465,7.382657614054905,8.144244085715375,6.441619640041438,7.4469993288993654,8.423803202504617
72,10,4.920619915791995,5.4850266320305385,6.066940008204007,4.778301569957291,5.559783278335832,6.529440506929216
96,10,3.9985531323191,4.514422267476646,5.1647009819251934,3.769337625165112,4.219813300820752,4.743069598475285
120,10,3.4361448984107827,3.8923382072340442,4.383172560864382,3.428444989455241,3.7799681063571167,4.180654081957272
144,10,3.09227517805692,3.4937014188773903,3.9129370759567026,3.2264955644128515,3.575097484175534,3.9591176958567242
168,10,2.8754919007626762,3.235757218059228,3.668729088725763,3.0932339066757595,3.473098235164014,3.892343245193193
3,25,28.594818645775668,33.17966063650462,39.538348799387286,39.05154490770967,50.671724183671856,63.67050737029564
6,25,21.259678778340994,24.34124638155363,28.045969604353438,22.444705922345406,25.793609968042247,30.264302119833616
9,25,17.633615806732088,19.96938031646627,22.666790388923875,18.27748868465988,20.940802372768893,24.606581500870682
12,25,15.520345189361564,17.20555800356264,19.079417576459374,15.280384277903988,17.19770349816549,19.147591110300404
18,25,12.874112412016492,14.389140700696426,15.897635451371375,13.026808703107601,15.075222874836395,17.033235758564903
24,25,11.114137948897998,12.654645133786204,14.347935829632938,11.601923649336292,13.475657359849102,15.098398349555637
48,25,7.160499493840499,8.34478951509141,9.485633378358123,7.127651210032624,8.827231578231787,10.40821799141559
72,25,5.399434642236999,6.31304930460147,7.378530429443016,5.379736078962094,6.735890489195649,8.447758518669572
96,25,4.377695625474402,5.23952676487561,6.347212113381218,4.251545081510303,4.99552661362939,5.840064440016162
120,25,3.7515567257113926,4.470957132202423,5.271859720862978,3.7494298830427057,4.321791701524165,4.979498977970169
144,25,3.3841493834894933,4.01763628975685,4.747466418711984,3.529951182017004,4.087678710187854,4.631236952336555
168,25,3.1580007410811777,3.7866308016209143,4.640564209482474,3.517371699273685,4.0796910565504,4.709882274951631
3,50,30.31742776766555,36.5156580137155,48.060387493367,44.91739976955901,64.95183747737343,85.87178315692631
6,50,22.229679629859277,26.46681171384644,31.74642112262672,23.64682044590768,28.587406615510027,34.92271457183939
9,50,18.41851704387328,21.390736030153107,25.618007134608185,19.10206484632964,22.95061643283558,27.891954205333377
12,50,16.03626845394725,18.221866847761767,20.814181014529915,15.926992036686709,18.431016668406148,21.2463782239804
18,50,13.348992852456938,15.281003436342566,17.38705505344191,13.50808312027716,16.300011415360284,18.995787546292814
24,50,11.66506901872697,13.529053788162447,15.871473409791175,12.013197980341747,14.601145735152873,16.882078247846476
48,50,7.544125562846954,9.023185110594554,10.607158945607704,7.504597129063429,9.89191343178701,12.043494106502248
72,50,5.6961319747376,6.9382528433210595,8.537718934442593,5.803052074611105,7.695177589439657,10.274009237534404
96,50,4.619856327286042,5.803712798542528,7.316410461016536,4.586123880604087,5.633042847476425,6.867809525509779
120,50,3.9527212088586876,4.911102490550417,6.0666295572786915,3.9373326166568914,4.734215006545821,5.773249169915522
144,50,3.555396613840253,4.418082076253565,5.467037842992645,3.707307843535553,4.463029359126817,5.273406618145169
168,50,3.338638180555294,4.227052925724113,5.566390989157247,3.7790680124734033,4.559064814274852,5.469396911740501
3,100,31.74921500861837,40.10514163379317,58.13235598878731,51.811744472271826,84.42636625926323,119.00751708382563
6,100,23.09276528700333,28.674425386513683,36.54633346523758,24.88604558145886,31.633787815161007,40.82017605473759
9,100,18.89846337098352,22.768097770298283,28.49568013274913,19.903842436102767,25.05341306485031,32.2424112015619
12,100,16.441893092267033,19.15351357673205,22.78127037395423,16.393839367884922,19.634040432831902,23.409635278084576
18,100,13.74120589502154,16.08506903097912,19.00560873688775,13.82376028811019,17.464377645394034,21.24734557911568
24,100,11.941347418556854,14.328425245855097,17.509810608315632,12.33191728042252,15.642319691585088,18.747962375125603
