Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.447997533065596,20.521862411024962,23.012339392663367,18.764896884199317,21.48848699574813,24.780499632328336
6,2,13.298417041767344,14.917120331604604,17.013047365664207,13.959526287002024,15.867591933430681,18.05643135828329
9,2,10.933805397726093,12.087107787414116,13.568912667276738,11.488889545069718,13.166918807191857,15.118552678895934
12,2,9.20236780985487,10.248809872398045,11.464055302556371,9.474692411138946,10.84123564708839,12.395703753463991
18,2,7.082218171877587,7.9521466421802405,8.874709036673202,7.307366932692936,8.387414186381493,9.542452985038018
24,2,5.9871486192657,6.606431837009113,7.368632764471101,6.414375763018688,7.244542445262793,8.159543944810073
48,2,3.908815054700966,4.322674522869192,4.84289563131423,4.2832909978446025,4.749695283743932,5.250374204775693
72,2,2.963585268069468,3.221132490613443,3.556695821913537,3.08349436532385,3.3751810982091444,3.6636715490754606
96,2,2.324351770261498,2.5555129768338287,2.808725580272048,2.362230101194837,2.5997714719179945,2.872519547429424
120,2,1.9770538133317588,2.175200937800477,2.363556470404054,2.0614976080449985,2.2570288027003844,2.4338963068975534
144,2,1.7603031797817699,1.9437571119932884,2.114084831280496,1.8497987984747541,2.0445231480800192,2.2215012270937673
168,2,1.5889401737980227,1.7640784994761882,1.9336780636601063,1.6685086686553978,1.8377597408692636,1.9937455485391968
3,5,24.576300848904648,28.53897356490497,33.15296452775045,26.679212069017453,32.259462832982386,39.179371971882006
6,5,17.862824654773355,20.99244502523487,24.858691280396037,19.43991668125821,23.351012260867137,27.933137787256285
9,5,14.4271493600062,16.646804573425666,19.399565956271857,16.756362309464407,19.954725425850093,23.781297830688544
12,5,11.967971639243984,13.98277702527616,15.820548209706821,13.696300317860288,16.264587320115844,19.184064827146884
18,5,9.303668955438104,10.802912278074523,12.26575605482908,10.18259070174819,11.960635660262739,13.900106623232762
24,5,7.764971010429246,8.89220953510755,10.173196117812207,9.022837891156051,10.337530588953276,11.703179868422104
48,5,5.041337363219263,5.6330119528192375,6.285864308625625,5.860067611108377,6.5165239458413,7.195058338987396
72,5,3.7305013459964345,4.113552528332383,4.559937220503604,4.054353746896064,4.438891032132624,4.819194237916928
96,5,2.927060281101265,3.265175898271357,3.586744639820248,3.217990714631031,3.5348685326496607,3.8863306931030603
120,5,2.474690334931265,2.7321488663671545,3.0029286652907503,2.657543406976632,2.890168970359688,3.10363397570286
144,5,2.19884741364494,2.4226378860961444,2.6036082355761505,2.369384617267081,2.568615864695982,2.7542254161081465
168,5,2.0231835559037714,2.2387870727613164,2.4327610032556373,2.1496371184868277,2.329754445513368,2.5033358484035526
3,10,28.831912208578906,35.20747048337725,42.91975675319635,32.6417588825192,41.76846091533453,52.83528053949493
6,10,21.39970005265765,26.28877046603045,32.90334260805196,23.777990324085813,30.06600079178861,37.501657122526154
9,10,16.85961189845618,20.443637095056285,25.06631264651668,20.733488180457666,25.858646349199233,32.05944571045236
12,10,13.815615204411042,17.01539084911739,19.94786896648592,16.81734495019472,21.081978002168146,25.967352634644442
18,10,10.619452060495934,13.11879541171632,15.629579202604646,11.96936123023771,14.657708239927913,17.646293153110605
24,10,8.868554175239357,10.642387784026564,12.692537363575363,10.784380016432522,12.499975152304184,14.362467438689208
48,10,5.664745428492259,6.509095082473708,7.29757349698674,6.743723416024418,7.688938246604913,8.529663880193485
72,10,4.147665884532808,4.674350202491607,5.260131741500826,4.638410350324102,5.106539634894373,5.64242873044007
96,10,3.2666331220529243,3.712124085601844,4.157133504681666,3.695841631979424,4.098989300275847,4.518306636837144
120,10,2.742675970456368,3.055698833574641,3.3936950980126515,2.973234594956594,3.2537252635775573,3.523478798187206
144,10,2.429174403235025,2.686981247671265,2.9039287084882304,2.6297379707962354,2.838253440255787,3.0345565303002466
168,10,2.267244091482207,2.5108074820749424,2.7448301127620063,2.385887829576647,2.590256252305702,2.7895081729727975
3,25,34.34674521973807,45.583162327245475,61.112880323975176,40.35716373079731,57.60723886772841,80.12300876493015
6,25,25.42724396264645,34.89554193648602,48.58438670770951,29.513956108774444,41.43176904055521,56.2354544566512
9,25,19.889911783167925,26.357204094695064,34.899231315033276,26.02522528126778,35.52465015718142,47.44772715909116
12,25,16.068959530912352,21.631222395377023,28.05959033219441,20.167871757953094,29.156241790551015,39.80616511043506
18,25,12.544963198661648,16.644528354245395,22.149543134702785,14.357481556973436,18.545832653384387,23.787379347284002
24,25,10.157674529094514,13.165940217932583,17.009197611272683,12.627022410144217,15.393065190209132,18.58686730396039
