Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.438634652207206,31.104951131507832,35.49929674699132,32.26157789437188,36.48515148298513,40.8621449697484
6,2,21.5969294133083,24.98524359867592,28.391332525612672,26.12048645617145,29.253436301049398,32.68382513571464
9,2,18.20136815324708,20.879364322401283,23.6679193333408,20.372493126164457,23.73492779784372,26.972721736172907
12,2,15.968291024521406,18.052761387285983,21.05474723770004,17.37918072291755,20.045132199582806,22.60835486823016
18,2,12.730330914041215,14.352376055796004,16.58543200855513,13.558135608076322,15.355628586346093,17.399262228516314
24,2,10.65793677368317,12.131466302796337,13.904585030763283,11.622083096696977,13.15989082267378,14.83901822420215
48,2,6.702876455529623,7.591446815176804,8.726561732788582,7.1510832491683605,8.119632350401107,9.210118646824137
72,2,5.086520852883975,5.70525651472896,6.456044453280471,5.63054145112274,6.248283981557339,7.016801465279727
96,2,4.01962701691973,4.536126717576219,5.169500464426955,4.505720767264419,5.000888142817078,5.51366038446143
120,2,3.3916586419359236,3.8274785283720707,4.3518758245612625,3.891476128105588,4.3076633332635765,4.815333012001814
144,2,2.9793290588200714,3.3673894621322704,3.7939891741556955,3.335640036539909,3.705888176030853,4.105297714552066
168,2,2.6615445296715357,3.029770116125862,3.4233793991819166,2.916408485833542,3.3184034114280996,3.7442426392266306
3,5,37.16193856224896,43.117220052921546,48.80187304440035,45.14198645250666,50.850680333025096,56.880009795808704
6,5,30.460081434116788,34.93075399631626,39.38729097486159,35.02478318920584,39.58409027594874,44.47585572025129
9,5,24.907903948751198,29.14796044913566,33.37274728397529,29.53673424287352,34.15577220161254,38.60440095692445
12,5,21.970362278073047,25.531150001528367,30.197248653303937,25.4588227770734,30.09127202245505,34.02832999821851
18,5,17.109085639540652,20.159681963804616,23.22560536646695,20.27182274369835,23.519796322475592,26.895474343813355
24,5,14.615735441408102,16.973446448206598,19.81424366246524,16.93177536044838,19.766690128901462,22.83227399168291
48,5,9.183516476670453,10.558578788547434,12.222165000772918,10.019157790832132,11.676258975536703,13.734126944080923
72,5,6.843168176390437,7.857403809921815,9.08176119436444,7.545728354758635,8.820263113203055,10.18342422754259
96,5,5.432800346906522,6.267926043399135,7.2193785122672285,6.115302315371453,6.972602125666135,8.001453203607863
120,5,4.555585141585588,5.268241800463612,6.061300317915727,5.386732422270601,6.356818818908884,7.465559616997342
144,5,4.028272393216411,4.6228707852365165,5.198178203261713,4.526895101100809,5.191663660382931,6.035848430011716
168,5,3.6277035132925337,4.1832577633762025,4.7616087151821205,4.194158038138664,4.954286563432646,5.81096052587352
3,10,43.26611019771623,51.35073104606849,59.210532543764984,52.34786669901142,60.22583508416005,68.20710554141596
6,10,35.75743551281416,41.847451399547104,47.95007866000793,40.54321114273273,46.21846439086527,52.72117066536466
9,10,29.251635160033743,34.9247872485293,40.82072646103317,34.83629173968748,41.22900346676126,47.29905139206304
12,10,25.39325027799368,30.96429261871308,38.12375538972218,31.23028778457781,38.07048795569553,44.17993858191325
18,10,19.57715565759066,24.23286353936121,28.550373661080897,25.154359923972144,30.26226145378869,35.38507275623564
24,10,16.849994473303703,20.345818397874105,24.3994340036744,20.48806859350158,25.202536687703184,29.87152012076566
48,10,10.729147220646439,12.666548126008514,15.152548395545647,11.834372445021698,14.427919405291298,18.029484526278132
72,10,7.937240691446972,9.37331619611943,10.90454445679756,8.624783936162109,11.103195008940297,13.612308223758088
96,10,6.293625530230882,7.489511247776955,8.846314601484844,7.074465724409983,8.677927144405242,10.572697398276588
120,10,5.225861969283757,6.274444061294969,7.4297072961526505,6.391911723546452,8.275637982649556,10.18853140879597
144,10,4.698116001194473,5.481658335107671,6.295971279539639,5.194492750587947,6.398162677740174,7.782261271701074
168,10,4.237147848323322,4.980262003189807,5.7762881570070395,5.119699946304861,6.378240965097572,7.818348608245408
3,25,48.88985835324104,62.08446549447689,75.22588398989723,59.986013932889165,72.01681911102438,83.59928417856776
6,25,41.67326244667744,50.98395744815453,62.221283706241735,46.50492292546265,54.45398673751578,64.30913951232095
9,25,33.813710415306396,42.58729291578944,52.63664721146513,39.73071539396597,50.48539836352201,60.47973648417904
12,25,29.378991387052235,38.431598305945045,50.41935981472645,37.397100716525514,50.09952333312023,60.87930102677461
18,25,22.365098733242114,29.654847600012037,37.04235891167286,30.28391225199745,40.8004886507134,50.823053892074746
24,25,19.37374440592685,24.806462423571993,31.464079608726614,24.06849709349934,33.68322153752681,42.37558297869846
48,25,12.35191116893728,15.505400361572928,19.58788963458713,13.6210004162637,18.50049713414939,24.96537501203627
72,25,9.033049657659033,11.398995236369222,14.076236967167162,9.801795316943197,14.949418860376966,20.03566332519251
96,25,7.278828836330517,9.124017760782776,11.439405502931411,8.085210449544245,11.490552457494404,15.606734618027264
120,25,5.962168984651606,7.6086326998049,9.698420743661497,7.515504352889744,11.644473894624884,14.992872485661454
144,25,5.349397828770101,6.599167769134574,7.87047493322725,5.89045361196815,8.28159025628492,11.10370938888382
