Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.28315891581748,27.613176325414496,29.876552049069637,27.156020694812675,29.346925851350633,31.53883519851631
6,2,18.7844971809419,20.313729208651516,22.172964035983945,18.68493174488261,20.012780511595942,21.268910835431917
9,2,15.091219495618688,16.30312680706011,17.87713697491527,14.789565845189198,16.02614109948664,17.382812949332717
12,2,12.879807213823966,14.080575784099844,15.344636240456246,13.053136142610164,14.103882870312276,15.328626165600369
18,2,10.259362429880422,11.147234390274708,12.350702429188019,10.587479284076812,11.45614773312936,12.5212510982935
24,2,8.561710062893354,9.337250957335382,10.1798742189056,9.138410584676972,9.94169839548592,10.944982250278539
48,2,5.404534980311842,5.9192518223779205,6.567820077310052,5.448583155494113,5.943623002578744,6.521646108141729
72,2,4.130495819955461,4.481554402338012,4.917621014648463,4.219976647379487,4.495058015128843,4.829262294283828
96,2,3.4230661472660753,3.7056873313450103,4.057227718026542,3.6789729677265948,3.91881385782132,4.201676644440054
120,2,3.0230578544211193,3.2999980400933877,3.661077609369637,3.42982320586628,3.7898280676983793,4.147181218354817
144,2,2.6815701154588507,2.933888572382384,3.239965690675941,2.745351405209241,2.97227867936295,3.2238020916498433
168,2,2.4640969120405654,2.6782742095985204,2.940749590396968,2.4460009774148332,2.6803278776001767,2.9198553646234684
3,5,31.305211583716527,34.70653836720375,37.93061104685525,33.72562763106501,36.10372916818437,38.167269524382974
6,5,22.855959295706754,25.15557531871916,27.64736951422287,22.592939859986338,24.228178290925058,25.90466299648316
9,5,18.362507008949564,20.435566948759877,22.617561861092177,18.069632390765097,20.041269171183803,22.34759319668551
12,5,16.195401103228278,17.88745692468479,19.961952211203105,15.945515896056815,17.470515057928704,19.38065242428291
18,5,12.816658742354289,14.441363524247205,16.418108648225044,13.120146600091203,14.681576184258763,16.874459626442906
24,5,10.754792175020484,12.18124640346426,13.676779306884931,11.495116028025288,13.010958723467272,15.085060170245587
48,5,6.8098535241909826,7.8829938704972555,9.080696082646003,7.080595690698924,8.003646180682367,9.195497939459804
72,5,5.142744606384596,5.845406723200013,6.634934271361599,5.102258175613991,5.485670675255639,5.996191232282769
96,5,4.2332411627674675,4.850595229025133,5.496107596020302,5.1065442388212166,5.526234703929372,5.949510851190452
120,5,3.7855959655291063,4.281603621394315,4.952102532461726,4.977321981085749,5.5923841261551015,6.13943642613631
144,5,3.3796293500736057,3.829574114808653,4.340602465386432,3.3961987766421573,3.7614680454796683,4.139247323483808
168,5,3.093436094504421,3.49438324977568,3.8978818780070434,3.11692938423937,3.4575580910833814,3.830772775866775
3,10,34.873235528699205,39.160096419857446,43.20235449482216,36.85627970780331,39.40759091846562,41.797922728355594
6,10,25.209602912606037,28.38282099938057,31.751732060884564,24.622968430170964,26.764192710627825,29.06215100286791
9,10,20.507284676107595,23.283173513917163,26.42456035453474,20.209159319800293,22.863411889370706,26.129334274466444
12,10,18.043372748790837,20.582749007189825,23.569682091058432,17.74726532088426,19.91315531059029,22.91992685693416
18,10,14.505104577869567,17.052981335667365,19.967656720216056,14.978741296740871,17.360472485529797,21.036394042100298
24,10,12.214714664087612,14.575526079937717,16.847409336688923,13.082121570981842,15.633495776878954,19.199830389171908
48,10,7.857233475917139,9.596648436527456,11.594774321129027,8.213127281226063,9.829354310370528,11.726261081742852
