Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.59332062565339,26.131107859384677,29.83875465653452,20.62774765381,22.81830979191169,25.48388771483647
6,2,17.086105882834318,19.167374261144023,21.377355691971516,15.607728066698009,17.071939289599797,18.855245452167047
9,2,13.987152004525568,15.586524114679559,17.392865250925702,12.38868312314412,13.306863603798423,14.45194896906203
12,2,11.9958986183516,13.243702552735337,14.681630794889333,10.16294104638959,10.906649657343028,11.74352695706671
18,2,9.27190198319127,10.173010362091611,11.2101993276686,8.341938134261378,8.820842223874308,9.37895504598913
24,2,7.742371882849694,8.551052173961287,9.441132454240682,6.962388772737949,7.348910299624681,7.789458462641202
48,2,4.734931581317618,5.3259517558532234,5.860649505431977,4.600402254791474,5.087717478264615,5.6229155068746985
72,2,3.3989455955891508,3.809715001727344,4.256072135995785,3.7494562382313443,4.121758262073476,4.510451441538689
96,2,2.7540850761024593,3.0555830205493697,3.407701194837407,2.800873217713466,3.031776545653156,3.2659311708237047
120,2,2.360874151529771,2.628468134678166,2.9349271904995304,2.488654790495146,2.7512519053617868,3.0475605447931926
144,2,2.1085438439279587,2.3575652325095415,2.610014372171838,2.0084731988477373,2.239031519269457,2.531582573786541
168,2,1.934853449547306,2.1384494225521378,2.375099443866859,1.8823338026424663,2.0584532150655663,2.2361505441396297
3,5,31.35880540021614,37.04403009101439,43.26965181265743,28.627144271107056,32.570895239919174,36.96533570230406
6,5,22.85381811636529,26.308519575341855,29.850867521805334,20.937168116878674,23.898490267911136,27.03564671324841
9,5,18.417711476382813,21.125770028116317,24.173522532177824,15.681322954331055,17.44092938653331,19.683868840661653
12,5,15.628736836490088,17.82492250218438,20.48817869983147,13.002763639503371,14.204224505625515,15.880556019262809
18,5,11.746772723544666,13.566434589403345,15.466552958575452,10.222246807009205,11.184867727550618,12.368718651780533
24,5,9.919985372947018,11.269265789178263,12.822655358806347,8.491287837340645,9.206440798048106,10.186836545762839
48,5,6.259354060270427,7.104403829071929,7.966349271832097,6.48355255714684,7.301969847736248,8.275443096779792
72,5,4.385365903837489,5.0860877246432015,5.7625063227633335,5.684749051224887,6.237464168069078,6.738507303046484
96,5,3.5564916865932923,4.109281201990361,4.7182951430451325,4.1864213259937655,4.583209402613296,4.965094724973249
120,5,3.0681765990403678,3.5593775709229427,4.091438070520752,4.095967291204763,4.645639018818854,5.2187218846620995
144,5,2.792716424521098,3.1897610540860772,3.6195907745025204,3.096254535446975,3.523498198298331,4.06477951881684
168,5,2.5403016976222457,2.8683558445484083,3.267807737108252,2.6115401921452817,2.8825842057823756,3.173097442243865
3,10,37.32172373360579,45.10347261186851,53.906103970212,33.75167445155297,40.50995696805549,48.50671300616115
6,10,26.568763626484532,31.591075367130458,37.16526676046189,24.20904022080316,29.27563116674107,35.200686049331026
9,10,21.22375205209629,25.357353647250637,30.076978383838433,17.88412448683737,20.882198553229543,24.768258680827635
12,10,17.753095492549726,21.479584976834616,25.50809283739066,14.812205799688272,16.997873504126872,20.200492385608392
18,10,13.359273379061108,16.359579227544565,19.769884132916342,11.525037066480326,13.210577645995112,15.665915675526664
24,10,11.28735959028921,13.460475507081163,15.891763045216447,9.405486029939574,10.725393326168268,12.577172657664399
48,10,7.15658488248593,8.398283789877425,9.763860140597016,7.6358713195933205,8.952689670512473,10.506359310398807
72,10,5.063828715792073,6.023872161333446,7.003986793000946,7.06511310545357,7.733223919076981,8.40554962122125
96,10,4.083503651611256,4.951329507863902,5.849337813547864,5.332999476983616,5.907039354704806,6.516830833627315
120,10,3.534246475528471,4.282034942204892,5.179834041557129,5.4151712474030544,6.35086321656652,7.277973044634081
144,10,3.225924293632475,3.806925402329263,4.485110490057271,3.7789815745366577,4.4963913380568705,5.284806516335425
168,10,2.899688263196465,3.4054110217638915,4.037603112876479,3.089137618723565,3.4677806255797337,3.862928737869775
3,25,43.66528533227356,56.347082423196525,72.11577509358898,39.31633048627106,52.85589282763142,71.77203686276835
6,25,30.654171003415414,38.971722349965404,48.93847245728989,28.11136058306386,37.373907983828644,50.46149488202721
9,25,24.424316203254037,31.446009376542804,40.28462791002356,20.308440177484357,26.330381434658868,35.11461877212426
12,25,20.083881349257314,26.951272191090833,34.91711682776517,16.84976140617264,21.51074617038201,29.618622454620173
18,25,15.308271416596615,20.663651644342707,27.81675829599478,13.033487032753229,16.525234909973914,22.85019137553339
24,25,12.913466682688046,16.772764848967167,21.42252655184153,10.51161199132991,13.099189527166804,17.457354445626628
48,25,8.18550542831344,10.178861851986909,12.453319362810344,8.809647212154157,11.297627185751711,14.191053067598759
