Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.02330734390042,20.462585650176795,23.90338019832554,18.425391224242148,21.050843991201567,23.86249089595522
6,2,13.240946399267708,14.882092902179817,16.88724380930727,13.652966281996306,15.517482289830182,17.592758244768305
9,2,10.561110143753831,11.785435194958474,13.307293093695014,11.53882035594386,13.134886214820167,14.896266269254726
12,2,8.98550976219299,10.017278245445885,11.200519040274575,9.695814929483927,11.191713086903828,12.837793385386028
18,2,7.0223872319665315,7.827542353664104,8.868128884239306,7.679446883603445,8.655359200437445,9.866153097421293
24,2,5.803037602089436,6.498220862741398,7.24212291484131,6.433375784386866,7.157420143232528,8.001497655906928
48,2,3.787426728596408,4.255444564765886,4.710223654165503,4.372753900390917,4.891146901360877,5.3763590906425165
72,2,2.834939633841607,3.1462995459013774,3.47395441389412,3.0482510142012806,3.35539438618735,3.6625396478958905
96,2,2.2703684559376995,2.5109335952418332,2.806079928978652,2.4263179298699704,2.6918742200455195,2.981629969672875
120,2,1.924640321879322,2.141248935488872,2.371657479521035,2.0627466966831225,2.2757769571792728,2.5121918371704193
144,2,1.747038937679974,1.9117860659190367,2.1123588837876084,1.8677175236646621,2.0463978252307413,2.2248818955929384
168,2,1.555548354754284,1.7345719097448171,1.923837346142387,1.646454258556457,1.8199143196707133,1.9990139480072928
3,5,24.469035035086996,29.167439011946833,35.36434949108383,26.493813780238774,31.31399195212832,37.1842620739516
6,5,17.767633512805418,21.078188800629633,25.15589082871155,19.78597269383092,23.128600274286377,27.39544609521508
9,5,14.042497426667314,16.350261187561298,18.847266464512824,16.611012684406603,19.597021391359775,23.094999497778844
12,5,11.879278981782848,13.791830065275889,15.974219616264701,14.157524589688023,16.50136561988964,19.150448031909157
18,5,9.284805236820281,10.649155764657628,12.324277823716999,10.564546183132098,12.17235033692225,13.90652916433185
24,5,7.528193323039517,8.779074682624934,10.072109271695041,8.497942751271115,9.5445811889968,10.736849915473648
48,5,4.880336843994142,5.590348104669115,6.271764281483971,6.0592147007364705,6.6817214937711675,7.266427011622504
72,5,3.6334416357327797,4.070265026126888,4.543657321595818,4.1162464532019944,4.5341996784867655,4.932073300616172
96,5,2.8723967515437376,3.2359948720360068,3.6031797953489213,3.2223448969979165,3.5506488255852156,3.923779127842101
120,5,2.4289879437705033,2.7084716224556873,3.005336533974889,2.667191503928189,2.925105987802638,3.192066869115826
144,5,2.196200874168757,2.393890913318426,2.600190670465256,2.3869035671711027,2.567546556731196,2.73630848508791
168,5,1.9981750857185627,2.2101733814956708,2.4400799336399355,2.129127059629382,2.3202321929375738,2.5056134657462694
3,10,29.50822376996412,36.688655690706,46.22560346478794,32.79746816435958,39.760958311151185,48.691428913007364
6,10,21.11345990081471,26.660771606046666,33.24801258109214,24.163993475412557,29.848798885589147,36.98179381142218
9,10,16.499178191813343,20.304915323700737,24.958394358876745,20.348368395062277,24.93562982331104,30.61810191289174
12,10,13.856098034202114,16.915564635679946,20.459198113261245,17.18943822028931,20.658050146043575,24.709477604783295
18,10,10.758060011204346,12.941875016098365,15.706022138656262,12.618453726667116,14.76048610504862,17.1622829792963
24,10,8.667084486496403,10.54259718936413,12.619914737546338,9.711891435237536,11.164203659795026,12.927470686764693
48,10,5.524611045207303,6.4783708488918705,7.407916565251872,7.141133290867593,7.804649770046373,8.483463931507744
72,10,4.1122871203804285,4.6604023941898065,5.261159017874942,4.701586526174795,5.280034247155102,5.815639174613018
96,10,3.237944577219581,3.6931536899419495,4.1495473558880684,3.6467349037236634,4.070580132958679,4.519413526990583
120,10,2.735622859544119,3.0360974048071965,3.364890032242333,2.972345917064055,3.2824635682077234,3.5834892996077854
144,10,2.4224155447729863,2.6570906006952324,2.8896120522631925,2.6276139918560837,2.83819097647015,3.0296508834041305
168,10,2.22460258098781,2.4784568386216383,2.751789970361868,2.3613057025323365,2.581885002879605,2.7922368502945543
3,25,34.88685061433583,48.810168292909225,66.94995482126896,39.717681803854674,52.92636825103861,68.9827790255316
6,25,25.55084768124241,36.01488475882131,49.094877720513296,29.730989161770935,41.0677196759708,54.38565257399166
9,25,19.5947736995532,26.694173673697634,36.131106058924956,25.251649242077633,33.278190405741334,44.87030438624998
12,25,16.2970504924885,21.753180410043562,28.91471429936371,20.997493198349126,26.8369929851788,33.806893068908536
18,25,12.400979397561624,16.433070219037205,22.804045312053592,14.81101507057986,18.390975432679628,22.504011114299217
24,25,9.898800803564034,13.108201340684548,16.95043311743198,10.930360194561654,13.283928578290887,16.160761885764376
48,25,6.165304486181583,7.6051980884900345,9.0512837178286,8.29427002169071,9.164069990499753,10.14238427616067
72,25,4.560882902505442,5.382296320280783,6.372215219599637,5.280562716817753,6.193067381491883,7.090055363008117
96,25,3.610989440002755,4.245937764279545,4.949622175795127,4.085004485004306,4.682222157726884,5.33169544212519
120,25,2.9768263913788493,3.4024217467536815,3.815019238902464,3.2487393356664764,3.668840479131641,4.110943924432313
144,25,2.611265403843972,2.93703190304797,3.2482639250934087,2.8445365953699544,3.1163198106186294,3.386880841467844
168,25,2.4223915917403995,2.772192838797591,3.1137888682346695,2.55676132164123,2.8526236370337603,3.1314672474229703
3,50,39.237381032421,60.175156401139816,89.68704594062746,45.211422107159194,64.9929909089302,89.02214960043688
6,50,28.8957457078251,45.11563463116943,70.48214672514868,33.63361504286728,52.078381490199874,76.88390723545655
9,50,21.997706443087594,32.698776965427896,49.08049850319763,28.701592713581714,40.93894055405838,58.27663417247206
12,50,18.078488103263588,26.119677533665836,38.039568527624766,24.00891651450695,32.244075439419056,43.43129766537699
18,50,13.478789761993479,19.533802435523256,30.30606499326064,16.34202478790799,21.392154892952757,27.45906499352044
24,50,10.75692510093182,15.289348206272141,21.340305049287522,11.665016918689204,14.928571071119798,19.199451084380662
48,50,6.5307388990461135,8.44462512698034,10.563167907166672,8.88792453352991,10.136200400448404,11.532842857586706
72,50,4.849752498995346,5.901224985765788,7.2830835316954605,5.616750905870674,6.854729788424615,8.174228399619416
96,50,3.8233614131643696,4.638836831270405,5.673608526185426,4.321839010250073,5.108523831324788,5.964697797364972
120,50,3.1114670372670483,3.643574411828522,4.280203112800591,3.3749711801231115,3.916819156708428,4.5240420893630064
144,50,2.698284315480036,3.1124668387559,3.542704686854873,2.9351661251040597,3.286144293713755,3.6360260007766882
168,50,2.541523146217192,2.9616053361584265,3.4242881046441447,2.644883263128385,3.019153766183476,3.369721917736575
3,100,42.60835366770877,73.95186603160592,124.80594018498743,49.983133760948604,79.44758826427542,119.97339526985343
6,100,32.53140340182941,56.503818206839526,101.79330857925407,37.7159419631743,66.10238270033196,110.20793464229999
9,100,24.27182601950949,39.99230966989259,66.81813322194927,32.10421175406363,50.12659119961921,77.89982369649229
12,100,19.59049448882361,31.24298242668405,51.44460967068123,26.531599718828275,38.464613981585025,55.37517597446437
18,100,14.614226296697506,23.121996961419075,41.06448291391215,17.868557319552913,24.677570696098567,33.49343575903032
24,100,11.599278266958084,17.720723049391097,26.349580749325657,12.286093028279836,16.639411203457126,22.75928483093396
48,100,6.830054313259911,9.280798942020308,12.34980315801354,9.341653129136805,11.075387010944608,12.968518611354718
72,100,5.05760823411987,6.4027390764172125,8.192299416275603,5.831169999252205,7.502422458040526,9.357128490203701
96,100,3.9845174478381953,5.014932265725783,6.483034485271013,4.5063812020951275,5.512293357258908,6.70029673290812
120,100,3.221709691308861,3.8599258269874865,4.748956980242572,3.4800521975372503,4.135950100028612,4.933081209536033
144,100,2.76495089349483,3.263463331847242,3.829038271114932,3.0011033375362772,3.430081256025273,3.884467461436634
168,100,2.613023610109111,3.128601728824787,3.734836949927205,2.706915256947111,3.1612352938767856,3.6339728674823286
