Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.50251187123215,28.385373377241912,31.689376655619363,25.89918255100382,28.130676909602656,31.07036382789505
6,2,20.159714222493367,22.565572700112995,25.090210604952894,21.98493232410481,24.779661679335277,27.57218755471547
9,2,17.025541851133333,18.882865726704733,20.8415672084517,18.85848645589441,21.145499357939833,23.748565809566127
12,2,14.635868684684574,16.19995184116185,18.113159920811754,15.928301722249909,17.44109632677582,19.51157734060446
18,2,11.716672943243301,12.935882205264328,14.444204885720712,12.164021091676158,13.095509630953503,14.260592753453036
24,2,9.995093465197012,10.861151214971283,12.07268572859536,9.835051814644306,10.6865497737582,11.622209091581077
48,2,6.130999444630504,6.832716745521346,7.754972436751761,6.1151616298231755,6.576846989628033,7.154061969883664
72,2,4.737988993410006,5.224570590681792,5.844817341141044,4.672312406041503,5.066870778878221,5.501893334837331
96,2,3.7613449545277513,4.2230657990525415,4.781503748761551,3.818487561559155,4.207232178519596,4.644754683677503
120,2,3.222603791677241,3.649502786139864,4.128610446778888,3.3673214378109173,3.7891466471533626,4.224665438695489
144,2,2.8030292107601227,3.1819925392242228,3.6490752889123037,2.8960523193927243,3.2429472814037568,3.663449781072095
168,2,2.5357929315929617,2.8650429425151804,3.2233370359400575,2.5372872457217404,2.864068124433293,3.2403768535293787
3,5,33.865703411473724,38.70666087662683,44.474129337221584,34.677401617740074,39.230945320757705,45.067916967444674
6,5,26.638947142596948,30.189969132422952,33.80237749587811,30.86899835222546,35.716863781123195,41.029624220342804
9,5,22.09449399672978,25.108549666782086,28.298602550852905,25.513713309760384,29.575078629174012,34.25201806696642
12,5,18.90944836577866,21.597412246005142,24.525978207919458,20.677818192482032,23.44737667451871,27.44686673459205
18,5,15.062139151205413,17.10829887055093,19.527025378518037,15.049945294300752,16.75459825745857,18.962569941867407
24,5,12.603884130330478,14.417612832669171,16.378019489607233,12.650281771503401,14.383540742684504,16.656592946733404
48,5,8.063906242050304,9.397980433424193,11.032557465327805,7.554119131552223,8.511097071649885,9.80730040926139
72,5,6.202768562230819,7.12461281112477,8.171804749885233,5.855833602998371,6.581905322135395,7.428865298585089
96,5,5.052108284856818,5.767096335174784,6.537396471126563,4.97315075680633,5.653753787087206,6.627439378079995
120,5,4.369743051307461,4.978236113998014,5.646341585862603,4.587524642964603,5.2513910724956965,5.995451402693531
144,5,3.775705779352096,4.4192507074928,5.201657711082392,3.851222726750417,4.461050447132321,5.112551889976884
168,5,3.477624439450744,4.021176653770324,4.6386510520455015,3.4518518832493026,4.041806282749572,4.71099187641856
3,10,38.85592697111443,46.46822348490862,54.722330261545665,41.162241241814854,48.77305867985116,59.11135607794725
6,10,30.48263048817953,35.50965092666424,40.400920169230105,37.01892562371153,44.89448690872217,53.45167507534863
9,10,25.079705080634092,29.42505467359491,34.36654129555685,29.99186546367497,36.42721426003964,44.65344855281137
12,10,21.606847674104444,25.586613495775858,29.975217363179524,23.66765847713105,28.363321593542892,34.596469338616686
18,10,17.28087605203952,20.27685094964519,23.54767265105365,17.127672682994845,19.664899695395533,22.98447802203849
24,10,14.482606183906505,17.169584697845018,20.217911489893673,14.591087114106763,17.93231162411545,22.281851440867968
48,10,9.387077143430364,11.492213158280348,13.994904164032715,8.595494404216076,10.259287242587991,12.67042434132583
72,10,7.135558865059866,8.594019854613535,10.384488622230172,6.666299619632871,7.793552413977897,9.234192248806925
96,10,5.824106236399583,6.90154445195407,8.09480316599464,5.759060122060109,6.769605395520711,8.176079961971187
120,10,5.018706874726692,5.910048442517518,6.837763452866497,5.381003326733932,6.378318351074151,7.439213988739466
144,10,4.4033813591494075,5.342406961538648,6.53707562578861,4.529077261860447,5.4054660992579855,6.449255330631078
168,10,4.087241007593867,4.906129772576293,5.8314485111727965,3.9979562023423174,4.953072076264814,5.973592375767517
3,25,44.16434673219652,57.47642141705421,72.67748919709967,48.737555411730256,64.28096450318911,86.37794727995893
6,25,35.244313139375905,42.557290100455475,51.33665374971727,43.99325829228853,59.44758302576214,76.32676051578163
9,25,28.697323756499877,35.11111764868019,42.99701494519934,34.7378159998627,47.02786494112577,63.8376609273851
12,25,24.909618882929287,31.15577691496206,38.92350517144409,27.21118854331368,36.00363319365655,47.10780358037552
18,25,19.811850800947965,24.81125197773614,30.952454135807,19.32321851036133,24.08040787513953,31.31002160444038
24,25,16.528711207782532,21.176095206928473,27.151977009179987,17.194669664360397,24.38179433255983,33.791013469314905
48,25,10.934914889258717,14.694993205038624,19.72158532786485,9.884619754573848,13.2599675916901,19.7262272376045
72,25,8.2456816787155,10.732169464884333,14.229893238183793,7.509191377677729,9.639922475376041,12.651419823187037
96,25,6.6816086858641945,8.476787953698748,10.72936690581161,6.576316905611851,8.40982416352589,10.813372428701541
120,25,5.7295596040875125,7.1502459051221745,8.853882941008845,6.258649186644034,8.031657546827262,10.12651709740488
144,25,5.187795141987464,6.64238770222693,8.673549159108372,5.278788796403069,6.802588071969507,8.711229411100598
168,25,4.79514418140007,6.1817627832304725,7.703582689689897,4.697284093906461,6.298184478972267,8.424079121914543
3,50,47.753701802717636,66.60901687758847,89.74198470456378,54.121314280339334,79.09330023893378,118.69695255132794
6,50,37.56355695185496,48.031669646400545,61.663427688113075,49.47268320847982,73.0007848495518,101.42418007899585
9,50,30.710953517486217,39.50352117021475,50.69788216099829,37.847820900113646,56.701197081235435,82.70799031863694
12,50,27.07179527489871,35.70625338871134,48.20245709134416,29.7197808919788,42.99953893283373,61.75456722250813
18,50,21.434925893278905,28.605651247698397,37.81244631071561,20.697784045794144,28.03965927764628,39.91677777932086
24,50,18.041593279505413,24.584591344165908,33.93691790169456,18.913235851743657,31.27185753688986,48.96135436474883
48,50,12.128406613443548,17.55136382431557,26.25276835975589,10.77837997902358,16.29889711875059,28.287286636610148
72,50,9.08911180307941,12.550267223207921,18.774550165843134,8.069315543461393,11.301456997723655,16.41386178141234
96,50,7.2750791883234545,9.75722293258687,13.055260186293445,7.10577946705965,9.832308579109228,13.647114117215555
120,50,6.06333381478969,8.117905457671078,10.74871222213681,7.005690658318247,9.461737859251482,12.886052080559715
144,50,5.66974675608654,7.713474523008483,10.944514174883283,5.817516193145989,8.023335679949064,11.00530864266957
168,50,5.31244819027764,7.256678417501439,9.779641168010158,5.159908466347453,7.4709168467721545,10.688788353721966
3,100,50.99189878720877,76.57904346023008,113.95350404285082,59.50796365657264,97.49856582778575,162.17229654241925
6,100,39.90441363889744,53.68212699754592,73.22825827669438,54.867002425007215,89.45345360267837,136.36024462249256
9,100,32.47909473182038,44.01593902275645,60.24739018203509,40.90935283527628,68.26631838073914,107.59943700608213
12,100,28.802108753745962,40.60990903614601,58.75673885706907,32.216814921859324,51.38432167338094,80.499862033318
18,100,23.056685826565296,32.77858436159739,47.97744521612434,21.862566576717047,32.70918694409199,51.51986163537475
24,100,19.2354064327712,28.386373137449667,42.657059298762036,20.94540991496872,40.741738910212305,73.51257954203945
48,100,13.101970621984488,20.8685142806795,34.99462101689121,11.691953029190854,20.29309555297719,41.37250843774924
72,100,9.906330770130078,14.577277268200783,24.418169684857908,8.713855722720378,13.266148433639735,21.37477754304493
96,100,7.637760918839367,11.130937095876966,16.13979978725005,7.629333748574739,11.458557933634616,17.056559170975838
120,100,6.352836055850396,9.120492204552935,12.880448444354695,7.620686533137279,11.091928466090408,16.403065386886357
144,100,6.01743188087378,8.875928304700635,13.642917343685577,6.272001012116382,9.429374685621216,14.245674662262985
