Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,14.021933590067942,15.585074756841681,17.67991152677896,13.85751344568003,15.671372886682423,17.45631167038258
6,2,10.672087720633542,11.976172970801942,13.20753321624273,10.952901484486537,12.205796034816156,13.734652286482689
9,2,8.624420942465669,9.581630428176915,10.807176925672268,9.263281871187008,10.233137371674527,11.25583263381047
12,2,7.177495612726535,8.007364436268,8.912632406899979,7.655752473890258,8.529836723519752,9.386395644537057
18,2,5.5108382543019205,6.134826377073393,6.845909828596577,5.932230589798976,6.670806542416196,7.398044901211991
24,2,4.512156006870089,5.0014042367124425,5.568508279759019,4.505178713558859,5.075870152444019,5.679819735020708
48,2,2.738319122002461,3.0842491153839644,3.4397551042225905,2.9595315451879234,3.3150774862462145,3.6617239167904616
72,2,2.1125530031939688,2.3261769142749547,2.5585329030853745,2.1966916215834673,2.4167855225544628,2.6272322862593085
96,2,1.7232345487906775,1.9054085807566974,2.0784370467150253,1.843989086633155,2.041503060455471,2.231890457832823
120,2,1.5066261767266635,1.6631682325415416,1.8059212378204619,1.677385477508027,1.8568299336999625,2.034083519226554
144,2,1.3511190088332596,1.4898976666749713,1.6581158485826648,1.4715504676421698,1.6322626485779343,1.784112706587908
168,2,1.2371204014656203,1.3691603508385053,1.5034066668819548,1.312048798677347,1.4586089658976409,1.6120257000051974
3,5,18.770892465910748,21.719386932324802,25.112256684995522,19.162118093425107,21.561918905392847,24.22984905596475
6,5,14.05860551697786,16.425049286404427,18.51752295763472,14.284689859870262,15.878996855039539,17.6079925792429
9,5,11.40861120108246,12.964985200398448,15.084592431185147,11.758848161040774,12.879252377931484,13.882426382906857
12,5,9.412945023440914,10.808957281910718,12.387480920323778,9.597534070156568,10.58864259003999,11.390869629414478
18,5,7.2976259651669455,8.291635527110714,9.539339900351198,8.019046930544421,8.852092447241247,9.620613191478563
24,5,5.99071380105881,6.7570985251835864,7.603842397254107,6.186548512550665,6.903971453167373,7.587710453757399
48,5,3.5873211713201574,4.075282447389521,4.56794809211417,3.9835187500273515,4.465129894072642,4.8528761599949455
72,5,2.711185372138228,3.0085396462566214,3.3272242693448297,2.8222021416076752,3.085720187494047,3.361141228451462
96,5,2.182049324648381,2.4252020934377265,2.6718230716554503,2.3315259198311513,2.5469642791737273,2.75625964788147
120,5,1.9017823740666635,2.1095518587041675,2.300987054948004,2.1697563178982353,2.373194231253962,2.5488969587318175
144,5,1.7336641488015823,1.9266357316228908,2.155117653048915,1.8705459553326658,2.094344818647244,2.298332692213404
168,5,1.5771510478585624,1.768274081472308,1.9779249448349527,1.6919200683919908,1.9083697523412213,2.1372394556529066
3,10,21.946872726479086,26.577753852429133,32.16862863585255,22.242657939658223,25.355417557179862,29.18837869872283
6,10,16.4642293325523,19.853595442996774,23.143339059550456,16.031103964865174,17.98109646072303,19.95473689827574
9,10,13.203835788534317,15.511982058182767,18.32267931102795,13.000207807102676,14.313740578027417,15.485496639317262
12,10,10.733907427969989,12.904765244277428,15.119669383691537,10.623997864218653,11.664383231200151,12.55664421894517
18,10,8.31516654908161,9.882883139219459,11.698247227538909,9.161460709925505,10.090774523922141,10.9333614730061
24,10,6.9067633981931404,8.072198415896619,9.310388702961273,7.184194711223366,8.073968700427836,8.897986699037444
48,10,4.0883812834705795,4.731640517025289,5.377190463218706,4.608421507926359,5.152205565935766,5.61246045505136
72,10,3.0390561268873935,3.4483476959474415,3.8712329407082002,3.120794514893759,3.4639963845026553,3.7986964931650142
96,10,2.419001001829246,2.7569315764654685,3.106720220715043,2.5758506833644343,2.8133024506087585,3.057931806565411
120,10,2.1290255607710553,2.3863214081743505,2.670028794633378,2.4263186215630106,2.6554248806965064,2.8516302283216293
144,10,1.9343814914842397,2.216454232405588,2.52665646516901,2.0958241978287124,2.362175977180075,2.609906830512585
168,10,1.7811607747395959,2.0422615215179905,2.3546751061697972,1.9061752001452956,2.2079623203346515,2.5407551065778007
