Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,20.260638751241892,23.117641075875092,26.57056225741023,21.522492978858494,24.849463428862023,28.93254806618492
6,2,14.968424045532362,16.77261107157529,19.142373104725454,15.397640225522046,17.295124141988538,19.52292991137339
9,2,11.875895057550043,13.180766127695533,14.794216504691729,12.296233598561267,13.737433224813406,15.535611692405004
12,2,10.134593864999324,11.28251487398642,12.610570511883596,10.586904237163482,11.954007966798853,13.601268282145512
18,2,7.935303782221774,9.009021103391365,10.337301441901793,8.471940621668882,9.599825903511544,10.839963160283116
24,2,6.617622826605629,7.52937273862794,8.671156078358667,7.225220822807225,8.134334402363457,9.306248477334456
48,2,3.892067694928392,4.502517727249471,5.283825050094482,4.182854698292397,4.802921324332056,5.540765080397531
72,2,2.9131550218569706,3.3892190892868297,3.9096427268805796,3.030732068761216,3.528961016438829,4.09997630401539
96,2,2.3656626387460142,2.716013848303045,3.1161245626833702,2.1660050138787437,2.4667700155541827,2.8125550376731008
120,2,2.025118783316925,2.3380513554861437,2.726744694689466,1.9845055115315633,2.2534522985363568,2.56696905619702
144,2,1.812303679456765,2.084551839867018,2.4196933830925693,1.5492718536565442,1.7516896725053708,1.994507294118113
168,2,1.6025582163948522,1.866422165561656,2.139323402545534,1.3724019778505523,1.5592751831118863,1.812016361947631
3,5,27.835095373887025,32.76531432410324,38.635688720742415,31.505658096302867,36.99208708424704,43.236755268446046
6,5,20.039530917651163,23.230759150858567,27.35541544438275,21.7713654680286,24.837807357140342,28.219678940364346
9,5,15.855580173927668,18.278716477525162,21.237063301217532,17.324412325122626,19.934758603895464,23.097282459679985
12,5,13.41698551629268,15.75566603327107,18.45364607013176,15.447067775937679,18.00489731444232,20.719518336908394
18,5,10.929141476492074,12.794387620340888,14.78514237201951,12.117840891313406,14.00960038599241,16.276102487700374
24,5,9.261085783458753,10.9751471380487,12.915484012902255,10.59382669089494,11.991003444759707,13.787402091483475
48,5,5.560216063719592,6.7597944821997515,7.983829158900511,6.103880885577219,7.127222358977301,8.29253798028237
72,5,4.236849617321202,5.057068302441679,6.008141089082491,4.548490861951173,5.3916400190555045,6.39195761886345
96,5,3.357657688998515,4.051506657874491,4.801755199975263,3.178039470598267,3.6978124684299045,4.356344291269343
120,5,2.907409938461618,3.456635884597763,4.1515953688053155,2.901949145710324,3.3348764802960953,3.8959238895885266
144,5,2.6238636642359783,3.0798449074615197,3.704331438942339,2.2668319433988056,2.6636000732411693,3.111808798325019
168,5,2.256200048211042,2.7398952070610907,3.2447320490048557,2.0447088323614726,2.389146122868792,2.836337400141084
3,10,33.10440344534912,40.114025959980054,49.26635742199515,37.01666833447182,45.78016942287726,55.49951952890788
6,10,23.34247107389285,28.361032826239608,34.73737770452552,25.537297009588805,30.136907817084428,34.89219187214379
9,10,18.476380692282056,22.619795909089977,27.321915558338464,20.672681766096318,24.680997320463746,29.579476460781997
12,10,15.760456271870597,19.5796696876626,23.95399727674851,18.898859445113285,22.958259164657285,27.19464753171094
18,10,13.044610245612105,15.989938212396712,19.2671956159943,14.611478239119036,17.440708060252682,20.96353883931018
24,10,11.158668650241534,13.883303005372136,17.13385840214221,12.589304045129285,14.752213669961748,17.236854641129497
48,10,6.71121416918637,8.624497498929694,10.635534514284167,7.32306738752596,8.898530082622251,10.646965388998133
72,10,5.149926373417648,6.413932016237314,8.00802934975388,5.538475794027363,6.8076557369659785,8.427130972841589
96,10,4.038173435556129,5.1303766386965375,6.409415860823271,3.794563561378517,4.607800407988809,5.579701243910021
120,10,3.480191420698869,4.337402338289468,5.380636575819381,3.4225848716779366,4.091220790297303,4.897878726283371
144,10,3.1662872461134164,3.8668129786509384,4.760038759810588,2.7483256671998397,3.3420389013577934,4.111132976792822
168,10,2.6962423642661495,3.4186385053494286,4.204785894013865,2.415933124795715,3.000284682437508,3.7002618945840418
3,25,39.14081521827378,50.659679343402345,66.25994219325668,43.11356697413284,57.95721189814077,74.46029060338785
6,25,26.829778647145027,36.01222963360302,48.29396441755843,29.341188984921626,37.2807293138311,45.985842832108716
9,25,21.8079251689079,29.522327607504536,38.85918402188473,24.812012189712313,31.603144283543998,40.29895903129114
12,25,18.503556941502058,25.682132102094812,34.08476666484279,23.42765959122432,30.63004220920182,38.29581654777806
18,25,15.512134609247337,21.030441378164085,28.858311498545234,17.59736408160979,22.51732052210162,29.02177667147069
24,25,13.348509662658914,18.46943979853574,25.47072488480103,14.637981073708762,18.53753419608477,22.957440654626446
48,25,8.012069188145201,11.507490944957796,15.77265089348278,8.790255475944146,11.473677535070784,14.932968312371923
72,25,6.1689502678880626,8.482377295505781,12.033749825803408,6.588363386389595,8.866609633838367,11.961840469582256
96,25,4.8350494886684565,6.764432020514353,9.213034368889165,4.448036852261189,5.895331303777346,7.782616322897768
120,25,4.200912006689479,5.640336176339455,7.471128220927299,3.929418483085138,5.1108846405099975,6.508417263451566
144,25,3.7347044446839703,5.035462999640672,6.591559292967398,3.243756994010025,4.307527438934145,5.7025006648451875
168,25,3.1640021923224673,4.410623870576554,5.983262800063432,2.8490797782858874,3.8635712433292,5.275194521174707
3,50,43.854019922077,59.5078563483126,83.12755694958922,47.70216053232309,67.92595336908772,94.03628983814747
6,50,29.3331120660445,42.6736694928108,61.03828999972613,32.13607237272993,42.975630071569526,57.08658795723392
9,50,24.083285162000312,35.91143147987308,51.421656217291954,27.23867623175952,37.55543429978265,51.94223943943233
12,50,20.543911949608102,31.350248836862775,46.02824516445574,26.900910853589913,37.61114552170713,50.27379855676499
18,50,17.397886333661294,25.660481986250765,39.13009848304672,19.61020780977248,26.942252318068583,36.75154808854667
24,50,14.975940591984926,22.68119969734673,35.410451257938604,15.809587551764075,21.60314256814193,28.276227719678495
48,50,8.92101330376561,14.105582399805296,20.95222907608558,9.6833866685785,13.683755829277509,19.185175366604334
72,50,6.906246708889981,10.32144508457116,16.326382719191194,7.233919822705294,10.636992025074395,15.535568101292398
96,50,5.36094412525026,8.20831296909495,12.323329934576428,4.8582725725928935,6.9725895451226645,10.020772078739633
120,50,4.689237513644447,6.765923488910494,9.65004070118052,4.230052871555953,5.926360631169754,8.29680912323203
144,50,4.226342297846049,6.04876458009776,8.51823966344816,3.5600032689453474,5.119665727381599,7.29876668676504
168,50,3.4692656591870503,5.257680800420085,7.817757665393103,3.1283517169781963,4.585909447267126,6.824438437013673
3,100,47.66933099711481,69.26089847640505,105.1535332831715,50.9945430889306,78.76528698565025,115.95591661904609
6,100,31.851968904302367,50.252055231526725,78.60442341445253,34.5426122895254,49.02988066542491,70.6949441941751
9,100,26.028592998212773,43.57140886776316,69.62305884729176,29.511817962863223,44.3050541760924,67.9041579798585
12,100,22.45642366232567,38.16602113506819,63.149151460744854,30.221977642443782,45.91361935935969,66.56151678070016
18,100,19.14946015299659,31.175211262713848,52.6997395019889,21.203165160345076,32.016972133496004,46.63269830329286
24,100,16.597053701363517,27.696790873324098,49.32148337932671,16.779322693226828,24.905247748012897,34.84215936848758
48,100,9.751974647122626,17.149825995026976,28.629273820116282,10.523631876392994,16.188162065087052,24.512395873391554
72,100,7.567950853675152,12.451576244927796,22.825669560655918,7.852114030735633,12.648929498086577,20.203771197965928
96,100,5.84750037805698,9.87187119858981,16.560042557701298,5.225375485880844,8.167864987291175,12.568305562746914
120,100,5.039628592373967,8.037948931215869,12.562713213728948,4.486289173607739,6.797895942247742,10.563995909133954
144,100,4.608642341611838,7.197503145171861,11.118703967021437,3.8632353054628554,6.024587384178876,9.247609249975323
168,100,3.7283266161870388,6.2054733070752155,10.233965098958473,3.4260752510555146,5.388546447256687,8.803244588133289
