Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,11.07180684548096,12.355789667357307,13.93393765893208,10.65025265042599,12.219427353761024,13.869425852760102
6,2,8.496270821943067,9.360305504388792,10.344726541084526,8.581067882963655,9.537884497020483,10.561847973572757
9,2,7.037936022662834,7.679743664453502,8.399319195000102,7.26886578159945,8.099782551917391,8.958891466560075
12,2,5.9539837443832795,6.533452121328176,7.253795101984009,6.071017837526121,6.842910743835283,7.699442768387332
18,2,4.620910014078814,5.04083634331865,5.509767108882567,4.901942228190411,5.465856041190712,6.045251565857022
24,2,3.7193965940736033,4.103675326039124,4.50048296488686,3.98915203680244,4.412007073850314,4.866641901414466
48,2,2.251421666561967,2.4546986590204267,2.66524673658106,2.253079308867522,2.5074087449097076,2.7697960610428503
72,2,1.695587016468064,1.8284606955575184,1.996481892624578,1.6545277499829836,1.8243533325074932,2.0037658707264976
96,2,1.3819576350214815,1.5170594099713233,1.6396779796848362,1.3503853612337353,1.497051941236923,1.6405796799726033
120,2,1.194022462710168,1.295815247590689,1.4145318632294899,1.0874491118497374,1.2108587022024504,1.3444749585905869
144,2,1.07935258076718,1.1722642171090119,1.27166835956757,1.0685081078381036,1.1787651398787784,1.282780182430969
168,2,0.9871871850612735,1.0684469937414063,1.1575266064849492,0.97327637114258,1.0652684755995554,1.1535424776306358
3,5,14.503669219213407,16.895803040421224,19.54521809582894,15.157265388404408,17.64853911486734,20.530289369615495
6,5,10.742446158061547,12.159805214783898,13.666048534348104,11.409604335698646,12.821911885377482,14.421872585768885
9,5,8.984325819779622,9.959864164870302,11.125414366200388,9.863584156527763,11.019942772055662,12.275863524431443
12,5,7.654633611762664,8.46811987980765,9.412228017335517,8.514396877823863,9.632752867639068,10.838506872335067
18,5,5.837718567276651,6.502591997407265,7.195969333416098,6.664302319079058,7.456615470859498,8.22373331446089
24,5,4.698331451405383,5.274640859262449,5.780307148922063,5.357603116471433,5.837593496367653,6.3539516779548215
