Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,20.887257901548004,23.165695557037587,25.608653165844068,18.99650157336204,21.174704667695476,23.664892690517092
6,2,16.12773140401753,17.8835286432029,20.007811330412594,13.933988566337781,16.69329944892747,20.214113228198393
9,2,12.838664618049316,14.297045441212646,16.111080733200463,13.410958925980449,15.68035186199352,17.981244807930274
12,2,10.733199509731342,12.05796324549236,13.625235973558382,11.501295459229638,13.098544840008142,15.086328892900076
18,2,8.300284590134606,9.301911851156783,10.554385206713947,9.147811233829362,10.570269871098816,12.471169460403953
24,2,6.633897804769626,7.683663828748543,8.739756143692976,7.258643767636661,8.321873110662633,9.584767265023306
48,2,3.988591588470734,4.518548196049525,5.0946772118607235,4.33119138707608,4.923796845511865,5.567470349113014
72,2,2.871998277431607,3.2185941022959526,3.688126708888759,2.875428010236419,3.31566781605825,3.848164523931184
96,2,2.2941928142750596,2.5707411947739014,2.8834309600294135,2.221204571472266,2.567218544571948,2.9563292920477253
120,2,1.9533047310075475,2.2062153275998613,2.5433286073854973,1.9032374359398416,2.1387759492547938,2.437368516305746
144,2,1.7148318549186978,1.942940046501544,2.19301086124258,1.8396203302658356,2.247710575183601,2.779352982699996
168,2,1.5020581517589395,1.7275996346597622,1.972822305814516,1.511479738271484,1.7540633678593744,2.0304220733854175
3,5,27.45238466096105,30.934502143579582,34.709109124417154,25.593734612530135,29.401779804138712,33.674865289452796
6,5,21.466097414916078,24.17526065538494,27.524840917151643,22.921098119702435,29.700242803575073,39.02310969700496
9,5,16.732797585809212,19.2804470890539,22.216478307420857,20.029176392824475,25.034285724578872,30.671595686784165
12,5,14.269620375293076,16.389176214709913,18.694843391529915,17.37728356701713,20.674469291095164,24.58932921927741
18,5,11.302717147351075,12.89785137700466,14.80808051276193,13.950720189875465,16.824744040791813,20.642686784550296
24,5,9.261361930496598,10.809239161313421,12.402402771539723,10.788632804782544,12.977524612101586,15.690288197486328
48,5,5.439330656084547,6.38107584864425,7.326162440847883,6.08145984889579,7.185171796970453,8.402049716606156
72,5,3.8797657292068544,4.541407378597798,5.208097465682276,4.2207714753131444,5.021642310719853,5.945660088959802
96,5,3.1078326310481206,3.638646206645115,4.270873544453775,3.45301577581263,4.15264201519677,4.994623694670553
120,5,2.6222542671970865,3.1065350711720585,3.6336831921239154,2.695565756116925,3.1383462978329657,3.7926465006870855
144,5,2.3465677499677633,2.7289076910184384,3.176545836151798,3.3975410915843005,4.616120633255621,6.097055020963419
168,5,2.106070180477947,2.444298247861034,2.838596131548979,2.3538608915318977,2.87256759229282,3.5571261386044863
3,10,31.31940083205084,36.726884270546016,43.05941500159507,29.807849731979623,36.07116460181263,43.15301582295114
6,10,24.384568796542695,28.877550616459725,33.866132509762,30.829941291435183,43.52964222253962,59.873037842119984
9,10,19.34300719279246,23.001970220091035,27.214151748256192,26.06768536429545,34.372266086026826,43.99417546517107
12,10,16.51060559188481,19.547005889458696,22.91534109636745,22.088668317867253,27.530044341276003,33.4184998887979
18,10,13.220979565379375,15.518175225502613,18.342834089030315,17.348173614610264,22.69654683590772,28.708221148365425
24,10,10.884864756480223,13.05896719627642,15.41275581692365,13.441284083427949,17.164358791445025,21.62832709556794
48,10,6.353965410241633,7.736848760003782,9.25671145958211,7.326085089141882,8.968556926713202,10.811849625214581
72,10,4.5532282041190415,5.5777676213080865,6.693717220065308,5.182197618369299,6.477289382423682,8.150363926579757
96,10,3.7236448665966124,4.508069717317079,5.501674196969381,4.675063275177841,5.807551201916521,7.222874496846609
120,10,3.057603694916104,3.8121392833034227,4.617983784568072,3.2344734307763074,4.016556796398538,5.034285468617301
144,10,2.7647962180807593,3.3316339158640433,4.024696502098008,5.112877559331917,7.294165093094754,9.799014685520616
168,10,2.4786767673804273,2.9987603803289984,3.628690177743702,2.9764426330112017,3.9306956072777894,5.170158838010112
3,25,35.64494399254649,44.878320072862294,56.63148005634298,35.25540541810847,46.34699405097146,59.75973736776869
6,25,28.08561439345426,35.50936487634987,45.18580911557491,44.08392560885776,70.75843506194478,100.44388764892804
9,25,22.27578507822874,28.246774395612743,36.00093884966677,35.361246966714326,51.6973057335412,69.4933830393433
12,25,18.859709954209357,23.901123420673507,29.113177451300587,29.17685861847867,39.13615219159961,49.47113944669874
18,25,15.385896573343265,19.129370561895616,24.340850065916015,21.737274510790748,33.009636741051494,43.95944362450762
24,25,12.578866824546697,16.12491024108413,20.171437414523776,16.415601840861694,24.247560545165957,32.31689429056694
48,25,7.442794156138422,9.603510328711742,12.41877643628425,8.71413166338127,11.641236554392444,15.144982336330916
72,25,5.374304327482919,7.103828531489813,9.27147789368222,6.447973501085797,8.832830941830053,12.492738823712084
96,25,4.354932750685285,5.834343929360613,7.804756591934664,6.2853406294428265,9.019898024971926,11.825719451543577
120,25,3.5841203063351514,4.8514895423311035,6.365961785214197,3.9221718708736546,5.480362004566121,7.747112972953841
144,25,3.1910570300712457,4.201917566191362,5.580716311575773,8.65050522210992,12.859491924622713,17.01418014649631
168,25,2.939179439979812,3.8058304233428926,5.044147380459007,3.7252083923043395,5.814668604373191,8.307565132057647
3,50,38.475836104623525,51.59025197528587,69.41307803803161,38.45677933751472,55.678565031537346,78.21544529359727
6,50,30.769932634251816,40.98150232624195,56.22830139899453,55.413073706566266,101.72632197769488,147.73683209569865
9,50,24.117582470539666,32.57142593991636,44.94734066371741,43.756840477566314,70.33873266980366,97.35167194561966
12,50,20.265956863909032,27.4164536586053,35.18923641903983,35.10828876527499,50.5933550993506,66.32888355471935
18,50,16.679647680638237,22.043501542276235,30.345363930760897,25.32071879746229,43.56749502117168,60.06619771654453
24,50,13.495718823433748,18.572440154248046,25.022857425418664,18.812064465720265,31.261521326755684,43.85880949503005
48,50,8.095725032484626,11.108456193900842,15.383354817409536,9.524915114232911,14.000413527690105,19.0797573565156
72,50,5.960734314688118,8.416359596349205,12.112875786674223,7.307402090325153,11.078151903763667,17.1439346240864
96,50,4.844088138120108,7.014306977026878,10.215203342533439,7.932082372409207,12.634638020013199,17.838637968257906
120,50,3.9411427854605874,5.745687423038678,8.480660440561248,4.334471946197345,6.917423296773913,10.933199174876522
144,50,3.4763164047630104,4.936458810886048,7.3079463852932545,13.148590791075204,19.495800678899975,25.36635938511406
168,50,3.327811754052952,4.492310704691247,6.541622249333071,4.272021547025822,7.777299677090843,12.006716283887213
3,100,40.909330032064545,58.870808269817886,85.19922796598068,41.5522256202901,66.78299536879976,104.46524199975664
6,100,32.480498070457465,46.92786365334408,70.75453451622798,68.23096539474344,146.20806414153387,216.951247641411
9,100,26.10226482485934,37.26806425891993,56.574151637970864,52.27130939062042,95.87002156775351,138.88706058920172
12,100,21.719162892601517,31.16614883382988,42.87411221072901,40.73344121768335,65.16616445496501,89.90574996825063
18,100,17.951372205444468,25.15064815906249,38.01288828734686,28.966296071104118,57.43822546071985,83.16489455633
