Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.1471209897175,33.84362641661045,37.89444911109186,30.507439120728243,33.6199242951326,36.45025213553538
6,2,21.99121129627446,25.23628408630284,28.59515186444589,21.56363355225879,24.691919517609826,28.11891463856415
9,2,17.92604234260936,20.665146498093396,23.367005973130553,17.186211575365135,19.294790074340202,21.52709458379279
12,2,15.76434864526679,17.819050630361605,20.006309826669927,13.203712088148443,15.485961402037525,17.732539564775585
18,2,12.580032767869909,14.214997790677995,15.991470879646144,10.328683632690732,12.16941364202299,14.081916694067328
24,2,10.493168581006625,11.916605897408289,13.514491924875195,7.9976199150751235,9.65500089074691,11.32837507600847
48,2,6.483326687983931,7.320667585752451,8.228789165988152,5.452487422039455,6.770672377134558,7.9982859511585875
72,2,4.611496085070943,5.262620790231035,5.969900163267508,4.28049578811605,5.004948918308422,5.769471191805344
96,2,3.6099925416505325,4.138087671655457,4.629449710791338,3.5350603602795476,4.03035070467024,4.587171148576358
120,2,3.114096211081404,3.5210868931807537,3.998442237633847,3.0165557157892655,3.4712082145355243,3.948822340007882
144,2,2.718078986463408,3.0866052354116493,3.5070302882740627,2.8790452803901174,3.278834862199208,3.688396469699841
168,2,2.481751813605336,2.8034457403962305,3.144233150387006,2.7974309764945917,3.2291273767027016,3.6485438803391386
3,5,39.42892249315693,44.048826876553775,48.48063270682642,38.861461009079704,41.7165815515532,44.26810183490183
6,5,30.001105950399953,34.23573373295964,38.60946827840578,30.214357629506317,33.66740562933839,37.09151354504853
9,5,24.601155915821245,28.083338741550822,31.532358404391296,23.408483477642534,25.97725440537421,28.661670067150624
12,5,21.301680942208204,24.39312208160358,27.25224528007928,19.292643845127998,21.967272645707897,24.70809548868229
18,5,17.113431686311294,19.460206695940553,21.76975437379787,16.028763041461087,18.02544273657291,20.28972671121875
24,5,14.27038656976212,16.068943920643655,18.04322033344873,13.186452713346839,15.007361398314691,16.87103105117133
48,5,8.865729585042207,9.867151907920185,10.905697658698445,8.941829374056251,10.214977601958587,11.438118200648836
72,5,6.290560651820668,7.101368956547447,8.017480497792981,6.206496562491893,6.998043088526218,7.791699485319846
96,5,4.894870008180767,5.553027354125029,6.1812940020594915,4.933049580031797,5.526150024923862,6.123808076982961
120,5,4.195284308638946,4.700022206544947,5.229214639006273,4.287415983173232,4.781799439207301,5.252718776912188
144,5,3.6898254232601557,4.139683188450714,4.583566613705839,3.937200076362047,4.3514220236510175,4.771342404386473
168,5,3.3624214838563113,3.7452376639484957,4.203566293934463,4.126792157379983,4.527579574497119,4.905530939013039
3,10,44.19987016891627,49.52418497467933,54.82284298872669,42.35751419506363,45.26891561417577,47.929671336562166
6,10,34.30081482675015,39.80838188803183,45.1566769519483,34.19422336248621,38.24282099998826,42.13268788023087
9,10,28.383243282646383,32.77038621964529,36.85009967778831,26.591622291479432,29.75501574805594,32.6811125680446
12,10,24.472828717226733,28.631857353151055,32.53486785079605,22.355414673126248,25.599150594418788,28.758786220896326
18,10,19.521564750749526,22.659902559263458,26.035579574364178,18.715069926381535,21.221785234495435,23.906185437873585
24,10,16.21397034295986,18.474528302329045,20.81134127955309,15.5177046938132,17.630113297538937,19.89458481938945
48,10,10.033211854799898,11.269141136871806,12.617689992323282,10.35470277887081,11.81211732229736,13.126298609061475
72,10,7.139188919200767,8.14986386387248,9.189990367306137,7.120290585145047,8.055749371127252,9.030123887948498
96,10,5.580006743620638,6.362016870306874,7.150644677995055,5.587654410596572,6.318860226599755,6.99515751873918
120,10,4.731680546096823,5.352439276705083,5.95265505168022,4.849144000371783,5.415534809133902,5.94748231211468
144,10,4.166830380906056,4.7347200020668065,5.280355350591041,4.429879940916158,4.896486064887936,5.334840038465754
168,10,3.813198097659721,4.292891589129267,4.786774346980815,4.870522653339186,5.223685407124194,5.55701276274659
3,25,48.40999669719186,55.259035159896314,62.524427420965594,44.87212160157689,48.427414399963325,51.829093986506024
6,25,38.76445362531595,46.4384321942421,55.02134869878414,37.27604674106495,42.874024286770215,48.76827579649922
9,25,32.35499293651379,38.44848921878271,45.09075474544164,29.245371959669225,33.93937070770219,38.16012548029173
12,25,27.645499516003284,33.861181812796026,40.11216563068224,25.304317316955014,29.592982259757974,34.05593568971561
18,25,21.89120629261196,26.416094714682842,31.623748712577047,20.952030904886406,24.64899613522399,28.038599404158248
24,25,18.14048225187412,21.171444577698615,24.56681321745704,17.188532924450556,20.18820604198343,23.157265081842553
48,25,11.058870169744932,12.771464673786213,14.66142959918891,11.430192728173008,13.298261047840404,15.067365325780488
72,25,7.962558496748379,9.308895294916418,10.792278925918586,7.8667058835938075,9.164273409137424,10.595753309313583
96,25,6.279238330780716,7.258418910510999,8.451060344754106,6.171505733682615,7.149559566637924,8.164244852032375
120,25,5.2243310085040795,6.054734029795052,6.883127446124542,5.3276169724435025,6.027949239472045,6.69054513915146
144,25,4.592904067643349,5.387184744335307,6.199832685105321,4.815613998661377,5.446556863124819,6.079547658514126
168,25,4.20947496675119,4.908915046943635,5.705715884504908,5.47679922671808,5.957279845392685,6.3856935984369505
3,50,50.04814460643564,58.7988579042475,68.08621912601134,45.83635939026138,50.10042127147355,54.56045319971062
6,50,41.322600945160545,51.07688114226451,63.4450714355289,38.5310358363499,45.662363574891124,53.481494115617004
9,50,34.184918053740226,42.49168364945055,52.158742974910055,30.53938415490785,36.689910497200074,42.61287036428781
12,50,29.839293157516025,37.6514988116932,46.28539590333057,26.649215777656707,32.201251851092564,38.16389213622593
18,50,23.227332864594928,29.009770705721593,36.45614314130034,22.01335449002311,26.828777363308056,31.376190044303804
24,50,19.058708296927996,22.951496766099638,27.698415305786618,17.927362971695487,21.669703234084654,25.191521321060634
48,50,11.62348496589979,13.719897570521201,16.152111075871026,11.840847951767568,14.120414966701475,16.450587033041295
72,50,8.412398412689816,10.06337231281122,12.107461968993785,8.19746323325709,9.854705657775884,11.7093751340067
96,50,6.5656375361651875,7.843300249114426,9.418046848119102,6.426617696335713,7.66729929709569,9.04699569348303
120,50,5.446077788929811,6.50009333190121,7.639595807988821,5.555642357633464,6.380100618692385,7.262094273271605
144,50,4.810101628948731,5.808539907235643,6.9145856383740085,4.999450795494402,5.776671441625603,6.647793722040452
168,50,4.423098657180222,5.3168408604992425,6.511898886247785,5.7740014175399015,6.415443690860147,7.058412069383117
3,100,51.35953480526199,61.80692103926768,74.21217232404528,46.50476065278092,51.36126817133562,56.94566829971984
6,100,42.996728569496,55.45789104461406,73.62189395206119,39.60276170369893,47.99969644983435,57.96578331522746
9,100,35.630404093044326,46.36796916577964,60.44948789157115,31.5970577783806,39.170085017170656,46.981642624122124
12,100,31.328460423500218,41.340412260795574,53.78741966892534,27.792082399451516,34.541533443936885,42.48021460385972
18,100,24.452416675731293,31.432501339106818,41.36171863590625,22.85161325507753,28.739080919434606,34.505979050518164
24,100,19.718601446405202,24.552018372858456,30.93107588628252,18.630943387290706,22.869739537775036,27.296272319448484
48,100,11.995154808242809,14.541282391942417,17.917188285720744,12.155954706106868,14.761959004112306,17.560846514748448
72,100,8.735166173733028,10.733875532175656,13.489294035677798,8.459870536659196,10.449934979609484,12.82009379813313
