Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.33869368596664,23.154646083578015,25.59363412263111,19.41833060221425,20.902397291917268,22.54208079697561
6,2,15.874928644122885,16.959021456708573,18.53545688463896,15.311671808998948,16.321274690795633,17.532588182586927
9,2,13.034770167557687,14.122884208146582,15.603115599853837,12.641094517943653,13.376983993811411,14.212019235053466
12,2,11.548900975729833,12.387491286164547,13.509255186714299,11.518247534805784,12.304922822759128,13.119317454110814
18,2,9.184029812983393,9.884486333381309,10.705433515256859,9.032768729241415,9.670582214602092,10.364742450119078
24,2,7.887335053016324,8.456973517156536,9.205446611926973,8.300905672923736,8.812655169007334,9.406705856369172
48,2,5.414936662431074,5.8965831644780575,6.440115661458282,5.192173946493491,5.616948475769815,6.128614574845205
72,2,4.2394638146472055,4.665310624568657,5.079044528091673,4.20232922223866,4.6591905192782095,5.278451565917001
96,2,3.6259048918473926,3.9810558146655435,4.36488338870187,3.519199981560609,3.81583734470673,4.144276512141993
120,2,3.2275690755016275,3.5525207919562014,3.9199903586932643,3.4036656171832544,3.693929470738755,4.012355085556686
144,2,2.9239181814833013,3.2168038470621525,3.552059493052808,3.0782029127229267,3.407588457993811,3.7920261817371363
168,2,2.6694444722305537,2.936228295309647,3.2477055691464614,2.667855673747548,2.95689466795118,3.2706453139387235
3,5,26.656918029599538,30.09796000550314,34.170680516628636,23.94407304493488,26.379867039308834,29.051947539412907
6,5,19.387459372867827,21.907021934426812,24.933675642100845,18.987805395800613,20.903518144761108,23.304570741585728
9,5,15.954140247399842,18.159336326292646,20.63275229271063,15.063952143147379,16.4258615459955,17.702309470482042
12,5,14.049020901505106,15.760075377825704,17.664418998385703,13.979822482741332,15.19617385501027,16.343653380244227
18,5,11.17492343729657,12.547175806526182,14.150661267554401,10.92616650997848,11.99801870311862,13.081642723235458
24,5,9.54014534498502,10.740740485757927,12.081106339450237,10.034354540620157,10.84884295191305,11.757223422813421
48,5,6.679399541544361,7.418741647390824,8.21154105210611,6.473986564707685,7.026773853428468,7.659449100258593
72,5,5.319946242490194,5.973499805428979,6.5905142033895725,5.671850179008725,6.361543489306939,7.16635370377128
96,5,4.558313249029539,5.085941292290285,5.655923312048494,4.414803320389792,4.868389936844673,5.429218925749204
120,5,4.054763571412724,4.531848761524431,5.006063930523055,4.337011608844826,4.800141432625933,5.2890420132105245
144,5,3.719921825077533,4.1084359399197306,4.527824418366681,4.027301894132492,4.457892576740715,4.925236188397307
168,5,3.4160406996136725,3.7855832588901706,4.198021693268261,3.4640606483128753,3.849673879664579,4.303061917824939
3,10,30.454196953180407,35.92831844570402,43.300432589010434,26.971109275394866,30.617380233849126,34.90879766914189
6,10,21.939401548823465,26.471849173856143,32.335857595436565,21.31269159032707,24.49254377669407,28.64290556765465
9,10,18.209241708307193,21.835474528594567,26.24104900872593,16.433399158837076,18.494795974381642,20.671374555246093
12,10,15.89337929641292,18.76253447957199,22.747935323493707,15.519389985097018,17.031615201096685,18.49500401924263
18,10,12.484914915744648,14.85740124087473,17.7332108121504,12.131894075640739,13.61055110459385,15.125226897670048
24,10,10.804295929156737,12.630183317463391,14.493582231767274,11.010196453666667,12.194078174091548,13.549091655568965
48,10,7.383961656338208,8.458727793771581,9.569958228922612,7.1126058053639625,7.83252495299813,8.59394029986382
72,10,5.9485177822762525,6.857996387251696,7.7327803635264125,6.6027612402323275,7.530402017318288,8.488901787622218
96,10,5.0857165276736715,5.834095271715516,6.660313088659976,4.9602874891387145,5.61030989510795,6.462710737809159
120,10,4.535074174264618,5.153511261399755,5.870041599049183,4.894131018412487,5.5232366711886565,6.199740450594503
144,10,4.157319935534016,4.652881676751854,5.163965564055683,4.492249599350519,5.0788554003407755,5.674342723917592
168,10,3.8460481609465003,4.330339082602771,4.910816668812855,3.924572858643324,4.4461263978415015,5.056095639917782
3,25,35.078966403706616,45.07974152670862,59.93560841574687,30.41267877771221,36.88202810106082,45.42446938501831
6,25,25.29123894427756,34.29123225418583,47.44955348277264,24.127721382243223,29.849609592117368,37.52930541107967
9,25,20.983888483667247,28.05724972506158,37.45289772619408,17.914113562999567,21.200563986503038,25.3299394795252
12,25,18.054213385826753,23.73765566845283,30.71703524724152,17.043494978694326,19.284155358028137,21.71591496789383
18,25,14.205702843464547,18.595051221425052,24.912487887137345,13.497048091740876,15.753519973263408,18.362092889706027
24,25,12.29192895859762,15.55550770576168,19.379819323222378,12.033818879698014,13.906878506819226,16.01018684113115
48,25,8.10575314538287,9.810593768417515,11.822216419392138,7.7248065032319655,8.734573262540662,9.84991751027447
72,25,6.640477911961288,7.9969231024884975,9.615015948351546,7.656918459215552,9.065455064303524,10.403822446086984
