Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.833516684429874,24.246422402311488,27.037145850566446,23.307808184816892,25.231813682518094,27.580629416079567
6,2,16.658409547152104,18.709088084388664,21.154460580118133,17.775384705357254,19.560948583154687,21.409155491491177
9,2,13.94356427876497,15.617310330060665,17.382330671182643,14.358252768953903,15.981800771572235,17.518996777683594
12,2,11.792548044458849,13.168939704511875,14.625710683962659,11.709526129120732,13.119404770445138,14.48408006160891
18,2,9.163099385283237,10.167643214179328,11.266133199277201,9.117108123085009,10.24267920355829,11.449428126720113
24,2,7.772679187548729,8.59405770284556,9.441959459607371,7.761348641044883,8.525059787403686,9.30958282803957
48,2,4.665349507403665,5.209383690269937,5.854261959644305,4.429092970441269,5.044076800154335,5.728546126653867
72,2,3.323819041616072,3.67994748318124,4.095738761092375,3.004821828637669,3.5717467623145502,4.1575383490055495
96,2,2.6772338771714663,2.957398257432451,3.263258299267779,2.583185787204355,2.9144867821860356,3.3334802920200035
120,2,2.261031123366206,2.4935199379342423,2.753011664734405,2.1808712071699023,2.47507670120045,2.8358681753571853
144,2,1.9959390889204562,2.202569195091397,2.4085835971016976,2.050082683594519,2.2728795127052006,2.501587738483341
168,2,1.822415409030779,2.0013014256364565,2.2014170085915588,1.8960796840684573,2.0962385464337325,2.326835343789877
3,5,28.73109442601327,32.082802529157476,36.239853861164626,30.015877775703622,32.72225144864411,35.74540688772583
6,5,21.867302743001034,24.507791153916052,27.54536067757466,22.324490997259176,24.17560809573422,25.82602808198628
9,5,17.94865732045137,20.172592303392427,22.281188524624966,18.526610832586044,20.10123813894382,21.54165730986911
12,5,15.240845841231597,17.154295401865,19.01307211596105,15.123296962076765,17.00515871385142,18.677228909411888
18,5,11.754345633703675,13.077497783693811,14.288340475075833,12.102526161806018,13.67631969729949,15.097834726232291
24,5,9.867616760802882,10.799666111816142,11.71200332268145,9.986977455489818,10.905567973509143,11.826172781196721
48,5,6.049508986241538,6.613746223966448,7.224850501878681,6.119297751568839,6.704739787783603,7.382031364525364
72,5,4.281079938726623,4.783176092929008,5.2746619959272865,4.48166421499854,5.2513540973827695,5.963600164412557
96,5,3.414087307629136,3.8320988110313654,4.255035572998006,3.6630162665623898,4.210938738665244,4.8764709339391485
120,5,2.8874137826833377,3.237029964330969,3.622724680954077,3.089164974920107,3.643779375358694,4.285980841196301
144,5,2.5381366354115493,2.8225139536184343,3.1505160514010964,2.6131679693423053,2.932488449609458,3.2680363531457326
168,5,2.3056026649718446,2.5806711656842225,2.859526850958132,2.429870786589395,2.7327000926580265,3.0692875605778713
3,10,32.41739618267403,37.07509420272139,42.14140724702937,33.747843542456536,37.42674815613757,41.08919443481966
6,10,24.650293863654532,28.169189060379267,31.699791554700703,24.556117654689395,26.37438825291138,28.06265414299068
9,10,20.21508529644934,22.848379468186188,25.373595022908717,20.418005843386773,22.03084565071556,23.474996480032345
12,10,17.176397870193753,19.57964084203251,21.727853848169957,17.097063547984806,19.28042820164761,21.336888574824147
18,10,13.04241090981863,14.780725505136122,16.403761619054023,13.784442482704709,15.806473599736014,17.663102273634657
24,10,10.89081648665531,11.953437874984317,13.065912951664139,11.105724206884451,12.216895210570343,13.279681869261125
48,10,6.668737543382159,7.3334949810629855,7.942598773888363,6.795982413707835,7.5000901684851184,8.182461485173498
72,10,4.801084539472575,5.442669381133219,6.106355664920221,5.31660970637546,6.322787780849199,7.3113795489374365
96,10,3.8697953425476834,4.398163141307918,4.9867206175988255,4.340165517727808,5.1807692315842,6.1109273158453625
120,10,3.2447106570155233,3.7293167724612175,4.223654935296886,3.6772679726462996,4.560820082688248,5.4412744740477885
144,10,2.8313886466500584,3.2521668920190026,3.706109481710136,2.9595188648793105,3.3825988803188665,3.830667149658029
