Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.213757668176648,29.860070924179333,34.252194157199206,30.71196194437558,34.45861553579354,38.55762086468461
6,2,20.11631188461483,22.610300136200582,25.50800707893191,21.813103650371744,24.94059267062316,28.232764257386073
9,2,15.962695470092964,17.901755335007593,20.196280189685133,15.68995680545633,17.864550728145627,20.20385544834302
12,2,13.732123081069695,15.205330582655694,17.0067023682967,14.345599647085084,16.00963012755405,17.985495585452043
18,2,10.62242555284062,11.561048148847053,12.914056283531643,10.065839121992923,10.945984655743988,11.894132190587333
24,2,8.559982324798174,9.503420467092345,10.691631179442352,8.578295539725623,9.990338161430472,11.854851997005348
48,2,5.0226919968137285,5.539733946987105,6.188126509884505,4.665360355920885,5.089461233366089,5.700456856754117
72,2,3.658344187755443,4.0734431365101695,4.561549614140797,3.7209237996297375,4.223380709478093,4.8621500774031485
96,2,2.9962204625241706,3.340395362962578,3.719264113960829,3.204946464795772,3.6518518907176536,4.130707990079882
120,2,2.6220002080627425,2.95082907845079,3.3155007121574087,2.6516642705467275,3.074653394174142,3.5666925130261773
144,2,2.398711748391808,2.6665095605833713,3.0191296480112895,2.4314792331609247,2.806677581375696,3.295957559438606
168,2,2.094887106114961,2.3819994636240382,2.6780332368063897,2.108634329324876,2.3223370546387185,2.592500859399298
3,5,35.70626108210942,40.90187612212202,46.38386809626125,45.96594379915125,52.621949448395895,59.3951997366069
6,5,26.958792467768056,31.00435736960548,35.48785939594734,33.52207784547432,40.597685226265924,47.67952037424716
9,5,21.21859312248111,24.66737522130032,28.29866186823171,23.10010468760742,27.80934767375695,33.571166182450334
12,5,17.983786480612217,20.745989169273173,23.907734834540086,20.399431654091046,25.074779182505203,31.275828938329575
18,5,13.42379316812006,15.610969434778974,18.080691308325832,13.262047825527318,15.076562400250863,17.275014390394034
24,5,11.166440940268577,12.933513192048455,15.013028846073327,13.643427705136403,18.03614540295412,24.242765459693523
48,5,6.5906626159942565,7.519549255218383,8.868814816084711,6.265256156059641,7.579247482783829,9.878682552840539
72,5,4.8244724327127635,5.5579964830106405,6.452440497912017,5.704155749257621,7.252348239079279,9.288957998276004
96,5,3.8987300691225624,4.544059674592429,5.246133949967711,5.066124079506048,6.369170314926192,7.838463619828882
120,5,3.495981746406742,4.0386636984968645,4.609441551205419,4.034483821427575,4.9395742864153735,6.007054551663059
144,5,3.2304620423513617,3.6707828036511385,4.195137958537836,3.796896633570078,4.624033873029139,5.607713197914228
168,5,2.808597229250479,3.267557696305296,3.6928848770569838,2.9958594029971173,3.4063017442769317,3.941822176434221
3,10,41.494580189585506,48.02924848730581,54.95176807145175,58.03651269679244,67.92111648662564,77.87117226128106
6,10,31.434543697778146,36.9844267672982,43.53818662331672,44.664736482817815,55.5519076244161,65.72935328483076
9,10,24.792467351781006,30.155652214854946,36.13753625867651,29.023516159031992,37.35530097764536,48.124960880938104
12,10,20.88575574947799,25.46108843635577,31.137596586844367,26.023864919764055,34.968423862526166,46.27979190570501
18,10,15.33612781060711,19.184982260216223,23.447444176638186,15.53318809895707,18.844711152012067,23.132647795933053
24,10,12.85086162879439,15.839837490201932,19.26856486834213,19.23402741171585,27.97828405118713,39.226939088296234
48,10,7.624894660149515,9.22838945884128,11.532061951314043,7.746068099404672,10.647848647721581,15.803780110788068
72,10,5.65625828549963,6.777431286376654,8.102995776256414,7.931602467180239,11.066710413102257,14.873669629630932
96,10,4.512525152161283,5.502467919279892,6.6390837443244965,7.101813143267913,9.663257509428865,12.272705271373471
120,10,4.025073533321685,4.834772857888187,5.726318518424808,5.257104628866239,6.7146038206014875,8.325600900034884
144,10,3.736739202195775,4.386978473523567,5.109361312783725,5.018725564968747,6.3295436366841225,7.799930058537443
168,10,3.2261589817609218,3.8856749182100057,4.460920196435638,3.6255892729466774,4.277377670371276,5.1333158261249725
3,25,46.9192587317028,56.83116264301984,68.18278033785259,74.86726966709945,92.10296160168106,106.9223594856361
6,25,35.99477985900626,45.05828286210046,56.33157947599936,62.379215439785625,82.1127839057695,99.40444370648203
9,25,28.66864394156123,38.49998581824256,50.59603507308468,36.34626186653191,54.54095197366951,76.76785249795813
12,25,24.075190308735706,32.953974863871295,45.28640466885487,33.82797759150037,55.028146556736544,80.37145542848337
18,25,17.98864434366842,25.05915017821324,33.88324931859963,18.448692405368813,25.350550535658144,37.26976579540883
24,25,15.034639295199444,20.43978086232338,28.09885629662763,29.8307788701872,50.50830149204785,73.10569238796273
48,25,8.809005624765938,11.979786012165324,16.604739618534943,9.843059346185,17.649680200614945,29.290619279020802
72,25,6.564029044206357,8.652951353949058,11.551633905257372,13.039575060205276,19.861958338784483,27.67620902207163
96,25,5.264441469944941,6.934886449134524,8.920663575334956,11.394445262473024,16.987782329617776,22.022775998563148
120,25,4.652539845139302,5.9362342718045,7.644824680308157,7.184402370192594,9.867601431958667,12.611912838498215
144,25,4.284852952022974,5.354835549268715,6.719159476213784,6.802450384246898,9.31376758061958,11.886930613402106
168,25,3.71259874029298,4.70486779731766,5.723495879229538,4.403182935827058,5.603404180032872,7.085383664289143
3,50,50.195933489856984,63.21724018231204,80.74837819972399,89.95342355949208,114.43196825437954,136.40643698442784
6,50,38.613907090270345,51.44565541554219,69.2358459961669,79.43364570199378,109.50164168434449,136.02870454340686
9,50,31.158914027773847,45.90017810737263,66.95116374499585,42.08622001876707,72.61157975093491,111.06865224756041
12,50,26.541419356253122,39.88568074863967,61.13135546546418,40.50399811882053,78.55753701500063,122.81720911711588
18,50,19.78616509441653,30.67046978314437,46.79969322863165,20.938930968622998,31.962102684444275,53.13538330554867
