Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.153848769538747,27.540349819984208,30.461751021005014,24.60705431213797,26.836282672528245,29.2115567436633
6,2,19.447762484028118,21.65296033690886,23.86551697940111,19.431921848770706,20.69571299481781,22.039644183580386
9,2,16.567422081228294,18.348314971462568,20.33343669193674,16.820065848528614,18.01715782727105,19.228555529058816
12,2,14.352281780214668,15.868286850110398,17.502249738372402,14.363258828002191,15.523847716758288,16.700300640421084
18,2,11.305771568600004,12.434216962951687,13.717230582676759,11.236146236784466,12.072862767715243,12.978024334940141
24,2,9.259347899976007,10.173965331946999,11.317038206949064,8.853697611875614,9.530161262485397,10.145760795166396
48,2,5.853557143992017,6.427184597081884,6.994428772578001,5.730402441208614,6.269909931496946,6.881364839027915
72,2,4.29934650182428,4.708362031100001,5.224051799630776,4.1061326391519675,4.599200630291779,5.144481462631392
96,2,3.490535673543305,3.8068464401047217,4.170912056799498,3.4681007624792244,3.8314510654399156,4.268619967475347
120,2,2.932472576904582,3.259079518647506,3.607518148257846,2.8548393167025767,3.2298386326461257,3.6800723018574883
144,2,2.6112826371112474,2.935550204312071,3.276860198704143,2.6286684158682303,2.96284586925379,3.3264575021501877
168,2,2.3903968768100308,2.6682605778138715,2.9702749771167944,2.370529499097313,2.73352578223123,3.1251321647057377
3,5,31.807950102510468,34.937356518353354,38.34572355009247,30.54256573046449,33.49709644787323,36.54324821603979
6,5,24.91015110630402,28.14136380428778,31.512925478036458,23.632395728428087,25.461597851899775,27.462046648655736
9,5,21.512116400045404,23.869169002701362,26.621822211192132,20.50243225854904,22.314035056063478,23.9350358491803
12,5,18.497015645544245,20.564672687184956,22.852868604290407,17.735639618553527,19.347074172552848,21.07482068451839
18,5,14.274409369251753,15.877964319736478,17.401272114316605,13.789916675925275,15.06637629082895,16.4444905305683
24,5,11.632717825143981,13.057455731313784,14.456783227965387,10.742497245633144,11.7946262459444,12.869571030689244
48,5,7.3540721953935195,8.0663383792198,8.728986186561164,7.3806190917258,8.119623615424613,8.884885344041155
72,5,5.418256264731363,5.9392491469556274,6.545038431560663,5.666750080379257,6.278146129033461,6.918568556962967
96,5,4.366990449712277,4.860862561906176,5.396602397113607,4.6292095701674505,5.229292038013205,5.933736334953691
120,5,3.7647132784785624,4.257921026416063,4.761025775037507,4.029317500482117,4.695283474900977,5.5198320471014695
144,5,3.407217371559955,3.894552788708472,4.400896215126068,3.6829543029271337,4.276336396764647,4.95468946473342
168,5,3.1333014372454855,3.535459373170367,3.935541326398033,3.4516232253813763,4.092246828065793,4.775924446359216
3,10,35.43521666809233,39.35191540365065,43.51333971045396,34.088013954500916,37.62688669400789,41.049322095164065
6,10,28.624819987301194,32.40809113132673,37.12687940192498,26.285469080370056,28.84642721787948,31.735710791431885
9,10,24.35015859429989,27.48894574663307,31.20841547100425,23.100379417526995,25.402781735153418,27.710342325797257
12,10,20.926319315544248,23.574273354788044,26.56922965491369,19.836366064593555,21.938815876349917,24.259024932641687
18,10,15.983216164379993,18.112427294660456,20.252146876252,15.395226986545685,17.1772494868455,18.936184661611527
24,10,13.112035996334676,15.023118142367956,16.967908381283213,11.98955368204103,13.470822135670925,15.20624441199309
48,10,8.090422721012242,9.019870853512746,9.852837684580038,8.321924988136118,9.31296899537156,10.36953871393332
72,10,5.974959509772333,6.64220327408681,7.3794482789994955,6.564917753815813,7.316698187936774,8.12980722626559
96,10,4.928605608577464,5.561765774635331,6.239111207123033,5.3513208822321054,6.20781145328681,7.220421525539759
120,10,4.308126320033086,4.939056748615261,5.647879279981187,4.702024739235127,5.872064998676243,7.160408662936925
144,10,3.9010644081836525,4.5290420731271865,5.1751697113158714,4.45574737437085,5.397397087696841,6.457502135721775
168,10,3.5758206136038138,4.1048698544626365,4.669826514919226,4.250109777986156,5.206095700128859,6.239255042334497
3,25,38.73632601232511,44.43384389418028,50.74225109118568,37.645710418487695,42.594874512843965,47.31830013992651
6,25,31.96068745705938,37.766117513627506,44.77867994364877,29.075682579230737,33.44682582972585,38.713558736282465
9,25,27.218987879030976,32.02248345098459,38.04406043744463,26.067306459980507,29.644442919098218,33.564940078418616
12,25,23.243765207903596,27.26685346983573,32.02940877607089,22.12457219114659,25.312868299041007,28.92219849504998
18,25,17.63188204970094,20.884771144926027,24.33386388711729,17.21094900744782,20.023459778683726,22.85213115134642
24,25,14.67604943347354,17.57306487913445,20.94866399642742,13.413525735474153,15.839304330505357,19.201480216327585
48,25,8.894980998096347,10.09280470696143,11.417931820985377,9.242438515243961,10.800657230387728,12.471900792244853
72,25,6.527156829733399,7.420322568276957,8.515298863422473,7.317136688888672,8.561338085468774,9.724925652367029
96,25,5.448981045537986,6.450852020242517,7.554527256856801,5.938996103938424,7.52549924858903,9.297424868998217
120,25,4.830208334233556,5.822926893285762,7.0218852014762625,5.4996294099294545,7.66932017014258,10.000188058797601
144,25,4.410110226847648,5.330204263382968,6.373877354892427,5.23247378754818,7.201722836798378,9.14882354431736
168,25,4.047782973958802,4.8189542885846,5.732276260660874,5.1785906206906756,6.9307908699926415,8.60619351568964
3,50,40.71227766208756,47.8763426539212,56.461676822652876,39.72826680918556,46.13643391067549,52.729841084172406
6,50,34.17703230888772,41.71734504777662,51.88557598873824,30.95534738317587,37.13736577161544,45.165353714348356
9,50,28.815244882685,35.35706347819868,44.15009184021085,27.715695834216234,33.07973606691912,39.373654363441
12,50,24.660760871767344,29.929002514101363,36.843477824835134,23.654542846892575,27.907479112659367,33.05376584730806
18,50,18.58243910355334,22.905359414342712,27.776757501736313,18.382962890136326,22.286782808590853,26.573449455642866
24,50,15.659905962644636,19.513806916423228,24.788677218996213,14.245585043012031,17.81392572452345,22.67775535119064
48,50,9.299495832280599,10.80352823414019,12.58316622866225,9.64887852442181,11.898696302060957,14.243767652839136
72,50,6.694267371636064,7.927520683340073,9.390605774897299,7.737978955649295,9.444089474700208,11.053336590440406
96,50,5.747538356575512,7.112956053960744,8.817950989345277,6.307531633376636,8.576306413891047,11.156538092395596
120,50,5.149432966977546,6.495832011130325,8.263132304435151,5.946232626556532,9.286671651583983,12.766490647008954
144,50,4.7279112494132525,5.924179661676176,7.429056804302519,5.876669175646315,8.903804210551279,11.835197498447306
168,50,4.287546449939542,5.344858671367609,6.674623664093106,5.792778855777341,8.497275269488453,11.252323051872196
3,100,42.0834789793618,51.040278811350106,62.451875590153904,40.90324725591415,49.557112615162325,59.07926338942045
6,100,35.89892594013506,45.619576859982374,59.742887975631604,32.51279136389208,41.0765228116726,52.24822233813167
9,100,30.12968572391018,38.64307610369535,50.84124114006012,29.27833090932838,36.774933323033245,45.993715567487364
12,100,25.81027016492937,32.50818766495712,41.87169141754207,24.78711036721395,30.577601450260047,38.0535324007993
