Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,50.6810242224724,57.51712191225433,64.77934967976715,50.403501931145165,58.280215542735235,66.41691284236518
6,2,37.93983123547707,43.20321054440034,49.55281990655125,38.394523493772724,43.17687799008434,48.252442408692914
9,2,31.436796899611046,35.702727179369205,41.68400455587398,30.76689066023326,36.03489419079922,41.37905555936251
12,2,27.244693028463765,31.49217656399374,35.791916612821524,28.163065979733666,32.2865059026578,36.522042936632936
18,2,21.515783225635865,24.914873014575903,28.820511185132915,22.001940061220917,25.32736700066314,29.50546886656536
24,2,18.468740996965543,20.961888208042357,24.121530743427115,19.431312251553628,22.2465707927835,25.318699007537703
48,2,11.558326203803134,13.265682487422705,15.354908342506668,13.208481010778867,15.105283002674813,17.238571853540776
72,2,9.086046099342491,10.319848039827443,11.518594484261698,9.660188540723228,11.147898526463921,12.647778376418263
96,2,7.393756815165194,8.454086430043215,9.53961817976878,8.298549233061568,9.724932323743523,11.220372255157809
120,2,6.239911165721816,7.114875689391733,7.909952399397037,6.889981805029257,7.9241995949544135,9.09245718386721
144,2,5.572653537256288,6.287047548937446,6.99925768074924,6.416668516758373,7.221526013329402,8.084734006906416
168,2,5.13099105761682,5.7845210960760625,6.612535162695167,5.542234030353196,6.230015674841442,7.000495155030262
3,5,69.23231145609914,78.72447236980535,89.06956100141707,71.106075167183,80.8862257900236,91.92578123505103
6,5,51.56729843699736,59.63815706965838,68.72883692567483,53.05731658226469,60.04823869074811,67.46887299562628
9,5,43.678551700096364,50.186206351758706,57.92769810497056,44.755873607541474,52.42392715132151,60.175270449494064
12,5,38.354669811499505,44.43498949576416,50.81902475871753,39.4769993558641,46.300860840385205,52.402465112610656
18,5,30.67030291129405,35.57566440182455,40.94520850468309,31.414885585020624,36.66740246219013,42.09963391442429
24,5,25.69562176143706,29.91000766136129,34.55059209324128,27.95082567237892,32.612727598968036,37.62683898700952
48,5,16.123817045923513,18.982786144108104,22.105689983316797,19.566374370310733,22.873506644630588,26.599415705838297
72,5,12.46660514628742,14.387092501310885,16.366529517227544,14.013068469571952,16.445367425537786,18.958839952375868
96,5,10.09150336769168,11.703056186801959,13.363946458335871,12.363132018669589,14.401652691995231,16.685744499420096
120,5,8.451334849090374,9.742854310797835,11.13273826191554,10.054886736400494,11.782638104729052,13.546406297322015
144,5,7.3263552876492355,8.542325721358075,9.63995103578437,8.778672727063253,10.054157157586134,11.358523617486671
168,5,6.826029020438087,7.839265877491364,8.934067823839081,7.82141562943925,8.995888143402876,10.212201891049059
3,10,79.31463457447258,91.85774894874507,104.89234909880156,82.17204483703776,95.10923539468706,108.11306849411785
6,10,59.57186618188358,70.46881555019083,82.01026949099963,61.709428108190124,71.04405613013073,80.35025030660248
9,10,50.55536608397688,59.99670225708205,70.15095915167142,53.61624950719593,63.92618329242218,74.00313082525307
12,10,44.99361620854029,52.923950771412954,61.05728535732416,46.793937202099194,55.88035737840439,63.37221852291148
18,10,36.14907068033397,42.626504578677256,50.881958542324696,37.38431756873589,44.23227561630844,51.35643817398319
24,10,30.605060060634564,36.044913382461395,42.685437496571566,33.597283185388605,40.29353901664637,46.77730828750448
48,10,18.940166152844867,23.333985610106346,27.969871563928706,24.480333109346603,29.120321452392428,34.92983808748619
72,10,14.586473992193921,17.34248590100287,20.47713746381315,16.93346090881421,20.498929894879932,24.64547651403303
96,10,11.762906168036903,14.030415522587578,16.341968718092428,14.615917432273744,17.785723055869347,21.20214731201264
120,10,9.674315564170783,11.606295218467137,13.55159838531554,12.064283148893022,14.666069627298235,17.100691398954666
144,10,8.400946572828687,10.122374830944969,11.496097162534486,10.276763953658508,11.982636077888122,13.798175250966793
168,10,8.024976624434128,9.288642015032066,10.805814925599776,9.250106187373799,10.955255624888792,12.62512570316501
3,25,89.88241147915295,107.48436748244964,128.86826954290106,93.53780935796235,112.45322737379664,130.6815244925868
6,25,68.26826975579516,84.09588408056567,103.86652951331979,71.44677515364413,84.8556612701822,100.26672041304946
9,25,57.634365705323354,72.6500871240736,87.45159173872906,63.334068690815286,79.40077727995906,95.25190038622145
12,25,51.44834900166031,63.55914526951958,77.12785886706723,55.35063528426858,68.46693098501622,81.0871900956669
18,25,41.55960429040247,51.52668893192657,63.57948800108736,43.808826308488996,53.92871866834342,63.7451220397888
24,25,35.522096123005475,44.044705929645986,55.04162109547781,38.850569442293434,51.18736344173935,64.0643475771674
48,25,22.342417230166742,29.57342967256845,38.98201371298711,30.117594524230533,38.62649259390465,48.987462743858686
72,25,16.917251640084533,21.404988212476074,27.845595250561054,19.92294051350017,26.41217559048068,34.51189882804278
96,25,13.491726542079352,17.188358020905106,21.581938267255417,17.279172243439497,22.474905104815996,28.867263639218194
120,25,11.147051567864297,14.111464440438663,17.818427317494056,14.415717035988678,18.776873282341068,23.22535613952429
144,25,9.581295220977605,12.2234998912847,14.766221651863015,11.876634440620315,14.50543937454159,17.19837614669602
168,25,9.27628051478252,11.227925488688307,13.754336854408917,10.885554161991864,13.614885381084251,16.545438788410934
3,50,95.6665256504743,118.41780829904171,148.22235924038318,100.37720540752622,124.98638492600772,151.25061005583686
6,50,72.64485640598835,94.16391243069975,122.44228351749896,77.36652199201309,95.11228872555303,116.76445014521676
9,50,62.278232434736594,82.22668714114671,104.59467261455768,69.88988088369355,91.69921035588672,115.16599435585377
12,50,55.60442273848432,71.38408744004266,92.18671566247492,59.7479721108743,78.24387401672432,96.59771395021582
18,50,44.77311745632539,58.12317736007248,75.9728518046162,47.883826958249045,61.26744873916359,74.44906191486925
24,50,38.676548968215386,50.163929884381034,67.2468032046113,42.47764131115035,60.32182882857133,81.41787465089786
48,50,24.580394819742132,34.804773785562844,51.107996320039575,34.862885967400615,47.12464081717017,63.0716607199882
72,50,18.478835633445442,24.675178266249567,34.433608230969156,22.29551570721015,31.501333190639137,43.7446833241331
96,50,14.589488393089155,19.698735113882826,26.535700670658823,18.9060279113072,26.314362801478637,35.650187296036094
120,50,11.906813875361768,16.085187809218993,21.307250315946945,15.734963220014567,22.233958468181058,28.9625553311486
144,50,10.291320044070957,13.86150324536167,17.70056816010544,13.01148707961828,16.456129396202876,20.45514004577005
168,50,10.102036381974662,12.74881151631595,16.628131597242913,11.734276458093369,15.74751316184533,20.157249220460294
