Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,15.904270750217098,17.756307816106123,20.015466677975216,16.205875361590945,18.09764281049741,20.808591211200948
6,2,12.105981419857216,13.528868028055776,14.940021118271048,12.709761945672703,14.224638262176097,16.214706599999708
9,2,9.836174335680328,10.967043433468227,12.25222645758017,10.154588998219428,11.644649887372422,13.588196711852756
12,2,8.355283256724585,9.26393420941876,10.330225459145009,8.15353935662539,9.0858384176843,10.159805484016049
18,2,6.450028921479706,7.15862149048964,7.916410117921295,6.580468418679239,7.282313549038479,8.142147093826742
24,2,5.286868879292865,5.921870070042423,6.705894373006009,5.858170803932989,6.556077428818201,7.390211291204663
48,2,3.1301120523053623,3.498189841117967,3.944915623211549,3.643656891352416,4.172340862580969,4.808976563932653
72,2,2.3596682999653082,2.6314761041290997,2.9568844810590456,2.632310895446585,3.037881620374635,3.4792292182459903
96,2,1.9095572087166666,2.136719552064339,2.375447734047267,2.260174804402868,2.590891104855341,3.0110573561677327
120,2,1.6345695311373931,1.8401124933759296,2.0890462744664213,2.0798704374337404,2.439857466411656,2.8167720159593252
144,2,1.4465142057795104,1.6302215362081434,1.8295559409458793,1.6958134969110066,1.9450056967670117,2.247736135672818
168,2,1.2946008009291785,1.447129614226073,1.626943880202992,1.6166729565616254,1.898228776914524,2.2589995075853944
3,5,21.24765060862446,24.69724042432461,28.491024554164387,22.032865788336224,25.845759921641914,30.846800598284922
6,5,16.01766410830775,18.356049650092316,20.76025322389583,18.10237384064954,21.54116763224474,25.647918682347992
9,5,12.848787190092771,14.868269045890477,16.885766857176588,14.803178177037054,18.053391823435202,21.951064147818453
12,5,10.737970579936242,12.55024095935914,14.448061771622516,11.090625215359182,13.010220892831622,15.521937411041112
18,5,8.505947466573632,9.866835415458388,11.450004143333052,9.1747488197949,10.665902103219006,12.718549661259257
24,5,7.018910085443225,8.275271301586937,9.702036948824063,8.270393126933744,9.92233683695398,11.73198446794797
48,5,4.095314400723859,4.911499719630139,5.769335707070454,5.516874608289543,6.621228609216898,8.027129301601923
72,5,3.1365009054276456,3.631820221977075,4.296462038338583,3.8963794292403335,4.709414036528243,5.65594372234244
96,5,2.5207901021115955,2.9469404929431926,3.398072019514098,3.5456230808559512,4.328303295853746,5.346402689396049
120,5,2.219543115999996,2.5777716008183047,3.0044581541310356,3.493788433164653,4.276084037490629,5.181286686727944
144,5,1.9532401947832045,2.3037450619755595,2.6612118594125977,2.572004939681996,3.110864588043593,3.6667381837459443
168,5,1.73997925024489,2.0314317973165603,2.367899055928073,2.613189299000165,3.201063885771532,3.925895505175504
