Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.144657186935625,24.293115591652715,26.459835415269197,21.6752406461194,23.777042186236372,26.114527096107537
6,2,17.458075299541466,18.823903890916156,20.586824602908038,16.953375590140727,18.361645271829936,19.972714959560825
9,2,14.461147753122372,15.604882848712805,16.864699134728546,13.726134206727867,14.694240676308052,15.714142787348639
12,2,12.48269283042892,13.45910577227124,14.730613051609481,11.672484744231266,12.66497997559021,13.76812356334932
18,2,9.712780233976176,10.691538942362223,11.66715188180926,9.501548044925926,10.511436862403542,11.56784909838934
24,2,8.299935516825093,9.092645064264222,9.989458878561027,7.47786514433889,8.259186616212526,9.03025282592014
48,2,5.297738036471676,5.817025834077782,6.415782136282342,3.830376507511726,4.565715328474829,5.407656717102619
72,2,3.8645091910139335,4.317781231951706,4.778217496668001,3.253985154960172,3.587707575360439,3.9755066385558804
96,2,3.124938987024988,3.4936441203207833,3.8527437799799387,2.6394718731142124,2.931317923176364,3.302491243384197
120,2,2.7843626384622193,3.0763983474278627,3.3866056082632565,2.439907050262106,2.7002595203607553,3.02221681171093
144,2,2.385578495539818,2.664995321773078,2.968949604123238,2.0557121950574113,2.3332816241118275,2.659998289109062
168,2,2.1964545625814247,2.436453811967569,2.7333239464073955,1.9189837834987074,2.1292490353789857,2.4151672257167833
3,5,27.330746095457933,30.333725805355108,33.547863053164846,28.96161740315727,32.808031100984216,37.34717766861626
6,5,21.350992055929623,23.46034143246594,25.920032517322305,21.725152949542395,24.403168980958505,27.192401507554813
9,5,17.736853603770523,19.493243085609464,21.563281430585146,17.589656543132033,19.248989921700495,21.30399687246885
12,5,15.321750111368747,16.925913761160366,18.89832918166318,15.170687155063725,16.967977520925405,18.85723081722068
18,5,12.154149610332396,13.450478121478938,14.81520162728226,12.797573129575301,14.320462652129976,15.880616497100249
24,5,10.26175808911583,11.350215973172851,12.569927864677027,10.111740820765693,11.266162930372591,12.562522421216997
48,5,6.754555361128462,7.559356764712771,8.445712300509308,5.868461214861144,7.2074440028425695,8.500886482157505
72,5,5.009185744787826,5.610020254141736,6.254522446852565,4.419876623063355,5.0642299841991765,5.721891428503662
96,5,4.0027351687671935,4.539820260656606,5.067243104566642,3.677233025579306,4.2796998902962,5.05149859627246
120,5,3.583957070394389,4.023405333045346,4.455058422876148,3.222374882497667,3.632549828271316,4.182208198686009
144,5,3.146727249358786,3.549483537512655,4.023203078131778,2.8929710116206606,3.471034361177166,4.107806262075144
168,5,2.8404264105014376,3.2320623102948196,3.6407467694589237,2.598976830837601,2.986969567403083,3.5141393569441393
3,10,30.596888551122426,34.28585544176869,38.49798683681368,33.674784795494986,40.30349137355773,47.11921433294448
6,10,23.645139597293834,26.738429535636,30.089442064036497,25.15557422160329,29.269288616230412,33.681127341464965
9,10,19.723402769533664,22.191690496222588,25.145343449070793,20.181274572181415,22.70707927404422,25.95173341079218
12,10,17.06397214902264,19.294078041473508,21.689655752612055,17.374155354463454,20.248487204722625,23.410669407024997
18,10,13.599704241947498,15.302468118543413,17.153674834949427,14.920849564959177,17.011851918508675,19.228208850688205
24,10,11.302869724238505,12.814946545628185,14.327215045245033,11.829493329164707,13.453779038400118,15.210566346886669
48,10,7.622231616696464,8.713592814260139,9.862650209236442,7.303932722705179,9.170047715045799,10.88351471885304
72,10,5.645049947316814,6.452809549749713,7.277447687593623,5.091701464524633,6.162407867434945,7.225443952322914
96,10,4.57702919414385,5.259076957598399,6.0465055129079825,4.387926946331871,5.509823489084501,6.804708064717163
120,10,4.060248188284213,4.662462618282892,5.321980753709011,3.733982083782852,4.357407059461135,5.203528848333278
144,10,3.6017048151642834,4.178844799231048,4.849963229919394,3.4794255962376552,4.49989920771754,5.6455598914413345
168,10,3.249313633835347,3.799260175279235,4.329081992935032,3.042491611618504,3.678973150267149,4.505742379711625
3,25,33.54085394550253,39.226156143632736,46.11424688177489,39.24875963842304,52.066185748958304,64.55973219941413
6,25,26.225348429019085,31.1338484607478,36.94254238347438,29.6461143421187,36.68022309740998,44.826738851616305
9,25,21.94482294684704,25.74929645318005,30.68945993289711,23.141568655488477,27.70440216626568,33.68441110985489
12,25,18.902766800798204,22.37187834491693,26.31257136889552,19.955934674639934,25.0166239785014,31.109929431891736
18,25,15.104693227215508,17.671723273035116,20.962234570200728,17.179500978104052,20.647112941297635,24.101552532167837
24,25,12.316711933152476,14.632171546304981,16.8956219387351,13.788613009715302,16.484761670765895,19.169783920551197
48,25,8.444728743254647,10.172727018427125,12.12903692369714,8.975885525416079,11.936807135760152,14.42434338123268
72,25,6.319564373211302,7.503328420005666,8.984812350183068,5.807998979934155,7.7285772278001446,9.561210374898618
96,25,5.139262201083158,6.199327271271849,7.523180066967678,5.231816517216334,7.620375976011972,10.114636470968843
120,25,4.601536723358971,5.483913050082033,6.502050297389856,4.232476181375882,5.433143329444203,7.0163849303202825
144,25,4.039838603579698,5.0276277333704025,6.227835044453622,4.128567764294921,6.258534563066155,8.560594012340449
168,25,3.6912889412566674,4.5655317630141905,5.585768925178348,3.47502695864792,4.744174047392587,6.35760249585967
3,50,35.15051431990521,42.85314676481302,53.136032156271,42.51732297093973,62.90265216747254,82.30819069182655
6,50,27.64673038112227,34.58802986189272,42.65217775795129,32.82747354264675,43.30597077943183,55.71410534352045
9,50,23.20924822690882,28.499732149560582,36.53894053736004,25.263275385480092,31.95932016202446,40.56597580685634
12,50,20.09018024337795,24.7185882052015,30.750857553856477,21.47648235157059,29.105261176083122,38.446741910586084
18,50,15.984813009761133,19.450727205132818,24.21550784873218,18.668792191383442,23.542242228361868,28.614052762846406
24,50,13.01468227808866,15.956565111212765,19.160690515766433,15.185383078668762,18.956565045795795,22.624504575376143
48,50,8.888898068981174,11.255740190277642,14.03943638461891,10.30712668281819,14.22785819843704,17.534554970421993
72,50,6.725473458637047,8.272445642265247,10.32757837255785,6.266690615681654,9.050344131654855,12.00284758805596
96,50,5.487247159103175,6.920296456105522,9.028282714267972,5.827103538358193,9.738371727872662,13.555441485265145
120,50,4.898581211113762,6.103575196594514,7.690374806894669,4.580133320246372,6.376444837533559,8.94293452659411
144,50,4.349364531659866,5.698400796767643,7.498996940825204,4.605271251865091,8.023634558033793,11.936628862255816
168,50,3.9707807659357104,5.172111952002453,6.693245800288368,3.8110057035637723,5.713238500652661,8.412247898661562
3,100,36.67753418881304,46.42165486697375,61.44262340767899,46.217586999268455,75.92019561938521,105.90354595661452
6,100,28.770136830385916,38.18878348975576,50.0580328689164,35.62741179333695,51.05718925516037,68.71380599034521
9,100,24.35327383577431,31.32727253180166,42.836241820650784,27.104757076135467,36.73931477543458,49.87896544480352
12,100,21.079904525676383,27.102802684953694,35.7227126994856,22.922112939097794,33.73212774960387,47.827587074203336
18,100,16.69876223394059,21.234791811157248,28.07482251036984,19.918128042013603,26.61005775586988,33.58375956676768
24,100,13.576935286755454,17.251525403334362,21.935845026664,16.53832331090398,21.627435656674407,26.92844451891078
48,100,9.287526090518636,12.331215095825645,16.292173284118736,11.569741118069757,16.7329388800592,21.393253078199244
72,100,7.02186939352435,9.027383629157834,11.904909557935177,6.589542379945803,10.52802647365288,14.80839623905053
96,100,5.761994508262051,7.6563145549263325,10.703826968216964,6.321931067057333,12.477810149266226,18.69403219304799
120,100,5.1715215257129215,6.727445587460642,8.96067195166446,4.875100454282304,7.466768198104111,11.528516344248104
144,100,4.548492886885603,6.4009805976588705,8.949595057073866,5.188097016529267,10.313983071433087,16.700877926274657
168,100,4.208154624799141,5.808360427873818,8.083153876746179,4.11177322222027,6.870665382350889,11.307396611722705
