Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.59158697788088,27.521411946675897,30.752359365321496,25.325563581644467,28.306056680130055,31.342061145106754
6,2,18.38492146564596,20.655250460496656,22.881115800639506,19.928232868741034,21.793812417548754,23.716240897562127
9,2,15.124919684418945,16.82901297573281,18.472426931383314,16.79292357513562,18.53550714194568,20.48551145682949
12,2,13.054314253356534,14.430221824057213,16.084778581170905,14.552052517838014,16.06620815897368,17.587322194163033
18,2,10.114382383617217,11.269483005783055,12.441655541371565,11.741982523481559,12.876728707931601,14.077576259357844
24,2,8.160583458211093,9.126557121305488,10.207692698720598,9.52855816929843,10.495005557302747,11.706063377979458
48,2,4.7125312045882986,5.244943304865336,5.875521872429484,5.48276094779209,6.182392499341773,7.0918509259953115
72,2,3.404195290937975,3.863238897176185,4.376717455437441,3.752249109851801,4.2979234397595905,4.909515434913418
96,2,2.8716927881704786,3.215022968463848,3.6220268777713907,2.9915823026052033,3.4015959584493434,3.8379232767946183
120,2,2.4943046406069547,2.84807345465422,3.2235105210694694,2.7050069642464325,3.0049576352699425,3.333276496904927
144,2,2.2485257734878017,2.5534062302509475,2.895891720902183,2.4604382631769277,2.737189374919727,3.0737358958661427
168,2,2.009257545615625,2.291791925866457,2.594680491860342,2.0952508884651957,2.3266800313846985,2.5944279787009963
3,5,32.507359706839445,36.587013253036275,41.13282071037426,34.60440464315303,38.44249373862585,42.51885880889969
6,5,24.39364266170694,27.425155677015198,30.76052538146564,26.327762520078274,28.914162852388174,31.21420508564419
9,5,19.63967549535458,22.160443367521935,24.542441348765806,22.732317442424595,25.402875109667534,28.0704686905799
12,5,16.91366412150322,18.950029799409815,21.23678432885957,19.403924140559532,21.242517527450488,22.927879851596188
