Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.278510757442902,32.26061530580583,36.48354782294781,27.254640253602126,31.709953134269213,36.249076362335366
6,2,20.30981276308662,22.900303632159,25.5807507454726,17.512442215440092,19.87681995864537,22.853156706096144
9,2,16.466603694493646,18.206466985365832,20.336531648350363,13.022406346354476,14.687623658339431,16.2565900457383
12,2,13.613379156635052,15.07586429871615,16.715616520413274,11.698824436916588,13.00334454980548,14.194511588888096
18,2,10.28284128566368,11.29317311701806,12.493936870148431,9.014814817743543,10.11060808433434,11.406044411097886
24,2,8.582348988639726,9.549140062341413,10.624713879230143,7.356803486938597,8.428461138869325,9.657833847731174
48,2,5.508732817015234,6.0831098223172,6.724254552163218,5.090412331428829,5.810119270046832,6.554591142021367
72,2,4.146397357825232,4.515717023829845,4.960845932787265,4.529166086505606,4.972508973317028,5.509738406078224
96,2,3.2564686110927745,3.5531541770045534,3.905112395836233,3.5985517262675124,3.932489859952553,4.30558739190646
120,2,2.751861000791655,3.011535975423265,3.3148289377430133,3.280359298640449,3.5931008517478475,3.9371104150398377
144,2,2.4227067669680054,2.7053786521128433,3.0055873482824964,2.60179958655666,2.88925847560728,3.2114286854883405
168,2,2.2437672638896817,2.4845199466367305,2.7560627544460257,2.3179038979148325,2.544065105511474,2.7945563955910626
3,5,39.257447220520135,45.53794685089876,52.22011940542767,40.44315433798631,46.6251191492337,53.26034214212371
6,5,26.72844637574296,30.427435712547407,34.15294130621702,25.38974001220032,29.45020502158129,33.61446113308274
9,5,21.26083698974547,23.632764720315052,26.710412676814414,18.931592103117964,21.409249871703928,23.695950938632762
12,5,17.519947004537773,19.63616837236657,22.013030392106984,15.839789582678517,17.467510311117902,19.114404501021554
18,5,13.259426864567569,14.958634225559667,17.025987131042687,12.677539418710111,14.522890155626246,16.933512429283336
24,5,11.137769313935419,12.766811678997595,14.360799651810513,10.681423510561697,12.590381046467428,14.869040136319185
48,5,7.171073886760224,7.880373573565516,8.651275089347042,7.0619301977685165,7.926773139553715,8.907502768396963
72,5,5.1929940853638294,5.715890578601648,6.321319707640418,6.043717404004305,6.6952626076035395,7.4277987078178835
96,5,4.11947997597576,4.5882534995147495,5.087266544361006,4.804674725207427,5.390520809575453,6.060551603775028
120,5,3.488102560030203,3.930462337920575,4.4296947648422895,4.952186372962029,5.557856909208711,6.215108658551003
144,5,3.1327841668911987,3.559180386764319,4.048883436311712,3.6179779368658402,4.20645297875436,4.779575573315622
168,5,2.8917031865708864,3.2864437164693037,3.7536774689793866,3.322908506188776,3.735134131937924,4.20669941018523
3,10,45.46457893473978,54.64818970351382,64.04778667740612,48.310798539254606,56.796377744017974,66.4057758671017
6,10,30.23477539604893,35.41185200106078,40.33793568620224,30.470459030029463,36.273408903400494,42.07691129704026
9,10,23.751046490665182,27.027288884256386,31.032361618253077,22.88314265158279,26.31552003676979,29.41639772615311
12,10,19.717985655543576,22.68714682042676,25.753343693865872,18.347746469365635,20.42433540817551,22.828617249636594
18,10,14.994341241105332,17.669088652825838,20.67077676614543,15.162381963332692,18.22159896375687,21.865039155420256
24,10,12.663269002173557,15.08556791702219,17.44152706713799,13.179476822548423,16.358658670602846,19.789927147753783
48,10,7.970933464676749,8.982892805376089,10.029193303872962,7.984857601163872,9.121007619422853,10.34202915363985
72,10,5.822269491244304,6.461881227276978,7.245320608750386,6.9968726137990584,7.888617670219668,8.762432589031445
96,10,4.627662062455869,5.31892124888096,6.015908008169594,5.553345431198082,6.503054179411841,7.603669725420598
120,10,3.9703407066421534,4.6223000833970405,5.259672016700992,6.387961869395378,7.3492235116063025,8.31576325922584
144,10,3.6200246301264993,4.198356584846287,4.873325466292349,4.407850143962517,5.394134910849603,6.337659399753653
168,10,3.29580602032675,3.877417657449226,4.591339751798904,4.132757691093499,4.736747863098998,5.406269584840418
3,25,52.406977652451644,66.53625582354621,82.60962941180006,57.66888802647702,70.13860721683592,86.40966963928105
6,25,34.14274785274111,41.710586619581456,49.93159922255492,36.87317121248326,45.56237567911556,55.20141343514054
9,25,26.13105314374885,31.10299526382463,37.042906472182295,27.406946001894447,33.14088375387311,38.18500537857213
12,25,22.176606018015562,26.578514306584395,31.860123320882956,20.782443282304875,24.201128750938935,28.354627343448342
18,25,16.875658927843972,21.454769846139403,26.733401230613644,17.884149594488207,24.08343719244819,30.09264019134857
24,25,14.259584293722021,18.248981961208585,22.624365773685646,16.536580516905886,22.755356675748317,28.515512223268203
48,25,8.900132912735366,10.28365304896749,11.957268983247621,8.90461664339605,10.442191133108675,12.125061007221
72,25,6.457380273588934,7.352436263458327,8.52688469959512,7.878600404514795,9.472322435987351,10.792268943992621
96,25,5.15266123510974,6.297207035527375,7.571787479249792,6.338771353723169,8.120134703855399,10.208898433749024
120,25,4.4947512821447875,5.604580956404716,6.8091873657583335,8.799842262958965,10.395110276625404,12.045900086049912
144,25,4.078753980653253,5.1011844732673435,6.331837649876536,5.512770992011481,7.40007232351231,9.196923409867999
168,25,3.781771727900974,4.700270771742841,5.96261829604766,5.2209802039862065,6.319562410075213,7.481643367307672
3,50,56.218705466571336,75.63601361887375,100.94616428692379,62.47894586737961,80.49494414913046,105.62759939746113
6,50,36.729213845422024,46.384005297995195,58.544541616322434,40.51423089564762,53.01715081398257,66.67804612192474
9,50,27.724884984371567,33.97997261878534,41.734350890562034,30.412351605550867,38.73367036820985,46.45659319312491
12,50,23.54626733115287,29.491877996396617,37.197865909320505,22.065567625296765,27.05655194996588,33.48170744938351
18,50,18.016293184062288,24.54934990073628,33.504895028378186,19.580867103927176,29.537288973594507,38.53992788797498
24,50,15.155924294079448,20.77694622181764,27.507016860589417,19.166602669945625,29.096304512692726,38.54094279746833
48,50,9.345154235050732,11.186242193467578,13.54922015554493,9.404007887185653,11.310112381940012,13.497808772085548
72,50,6.746903464587454,7.977544809212093,9.639884070090993,8.436359445245136,10.712577176745219,12.739628545475734
96,50,5.536392935928665,7.064917465995547,8.921729535167888,6.888356685997719,9.506146668327236,12.847481284734666
120,50,4.778041823401761,6.420337701299273,8.376976472399233,10.869839680059943,13.40851435936959,16.183302814632594
144,50,4.408722090899246,5.84723214950189,7.8072327833310915,6.524577129336783,9.377356982589607,12.324901911065572
168,50,4.120144239455625,5.370897004330377,7.325280834158988,6.139539559453556,7.782369113125355,9.69734880882854
