Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.713800927259662,24.338613100369464,27.75889144297296,21.233312728025183,23.83063993209398,26.764095451968046
6,2,16.70282037255955,18.460941572194507,20.594899782315345,15.670817388918632,16.943257040508666,18.58863790788181
9,2,13.947571456554556,15.411635114998926,17.1847695089113,13.238752483188534,14.148097678883119,15.316662242016832
12,2,12.238418355809905,13.204031711445838,14.778388730389029,11.818082422222538,12.50545560514391,13.334965756862005
18,2,9.642890009952291,10.490454837628137,11.429927582039682,9.193759994787849,9.918423550519998,10.706424589199246
24,2,8.174286971583902,8.970159944828108,9.81765519178214,7.553269274777472,8.253493793654249,9.046254926656417
48,2,5.541168016549614,6.056949800163764,6.665913835631619,5.553883476073619,6.146708526735408,6.740010133572971
72,2,4.299979479678861,4.710588798057859,5.218612582345913,4.3388283854101015,4.707328226295235,5.143523548434942
96,2,3.634692223691049,3.9888364101566087,4.331241135531447,3.458002127075745,3.6901525886062325,3.944159868937744
120,2,3.196388802505002,3.534474800048921,3.8772566398895365,3.234602143353807,3.601041789639832,3.9562184706476287
144,2,2.8745060598125827,3.1652495094035897,3.4884507340618747,2.920944345626156,3.1824240208872445,3.510241767815402
168,2,2.677013849025229,2.9325655399041235,3.22854218366777,2.601550193761221,2.8221040601115233,3.05384211627607
3,5,28.884257734122908,34.56509871225671,41.18570498747172,28.793581107910228,33.856738057468185,40.54321432828972
6,5,22.3200585896991,25.725256082697243,30.210535992277727,19.811468573989256,22.66685833355028,25.831225963391894
9,5,17.914315596285835,20.882177143803954,24.3093979160336,16.509403349536555,18.51775767861498,20.82051156480794
12,5,15.205055168900774,17.386221425956663,20.221015825102743,14.070309754933731,15.614103158375858,17.615956335818588
18,5,12.064697659866951,13.564018151359006,15.313393546801354,11.499499760186152,12.821366304787075,14.405950618082883
24,5,10.336751199983537,11.525221112009934,12.834128790640499,9.686399080939097,10.889970091732119,12.366358243305577
48,5,6.879605435513778,7.808255796297468,8.752538913667959,7.551525741311847,8.421823334097219,9.348829996152427
72,5,5.456383346339719,6.054838149333028,6.785745645705628,5.669416074025778,6.36291085266044,7.17174650970871
96,5,4.534926932926347,5.062132460857134,5.610437252836892,4.198302370714711,4.594364149670799,5.007955293188559
120,5,4.020371672781865,4.530932309085571,5.06522230368215,4.232423970180993,4.817558060322276,5.471756136901945
144,5,3.656513590565196,4.090273783368273,4.534707044868042,3.7332971132877706,4.136534705829534,4.577680519956437
168,5,3.394318983851969,3.7911901729027626,4.2253884666759225,3.3187827481949963,3.6278423614146913,3.982220654001482
3,10,34.34332035171773,43.49495743060277,54.18064608674211,34.6543404026882,42.74183545528964,54.23687082425653
