Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,43.912533470880724,50.00110798617622,61.15090631363249,53.082892697878314,69.33019406558284,91.99991233611124
6,2,35.88239431203307,41.1345954311989,49.85122441819638,40.12852939618542,47.6430905538486,57.60706162874094
9,2,31.052615676690372,35.621186560931505,42.973194976483896,35.01625187939813,42.05401854687956,50.09862277832404
12,2,27.455723638952918,31.463110178552043,37.556792910631614,29.366328856517754,34.81001959246251,41.32090934710335
18,2,22.90747242725297,26.563190635209274,31.415158190508045,25.867220352397492,30.193466060491865,35.91959678010168
24,2,19.89592175807296,23.181480571786725,27.351014493090567,21.52271825666341,24.965526144635334,28.911018287754345
48,2,13.405231574874728,15.297165319108544,17.733385771435145,13.735345617928392,15.85581796180447,18.46494757245977
72,2,10.072728115102846,11.652498670556852,13.381742015937306,10.989188447871195,12.485758053088526,14.186732793276185
96,2,8.157859202662072,9.319533219641714,10.441118972698312,9.411691451791407,10.587428221992946,11.928510880673842
120,2,6.878481552512591,7.858965932093248,8.808032033731244,8.063980034636902,9.00025570081048,9.999544717998461
144,2,6.016964593828125,6.834614800840215,7.754348606849306,6.847122439634992,7.6402815657465,8.554195650713423
168,2,5.394931935288448,6.14285860811454,7.0221931117284315,6.616215185014776,7.548241720191865,8.549478099111212
3,5,64.01509332260353,83.79010754166532,109.68505529982758,110.65855730744923,182.95135044604982,293.6459016896719
6,5,51.82265472090829,66.40236303307375,86.6368921930554,66.51408048348642,89.15513134614383,122.80048809157603
9,5,44.32163347407987,56.83739338749518,73.424965931327,54.14787314717604,70.35251902536258,89.41099924032947
12,5,39.465527680503854,50.22311037053419,63.60194836405955,45.168470819280515,57.77477042818445,76.51898225425674
18,5,34.081290005089954,41.50036658372857,51.171242388190315,40.02149329717617,49.31385168974161,63.05896181088078
24,5,28.864199025653946,35.43936022002146,43.57237313230095,31.474514188684815,38.369706242406885,47.61609149269697
48,5,19.061072110599653,22.48120495120763,26.670901665257794,20.427259399869797,24.45763330683313,29.627107081877888
72,5,14.229422467696208,16.845159142413333,19.587606076295824,16.5410946920143,19.258165321024784,22.13795043895943
96,5,11.281428106835694,13.219824746488111,15.227398422113527,14.211850056738967,16.058801387027785,18.075808737129897
120,5,9.468809663358833,10.993527942642947,12.56531296407099,10.847515240465707,12.329332164249514,14.059358240752573
144,5,8.255429649452699,9.4751600926739,10.684780673820773,9.189929282168647,10.525155717588643,11.963931497430938
168,5,7.2656460662552504,8.417137243994215,9.73636832930258,9.51796956670054,10.905722359480368,12.536674732939144
3,10,80.97322856208339,123.09155621973107,173.5541221569456,184.10439730801428,347.7507608405247,585.8821815529739
6,10,66.03587285410039,94.42837264470118,129.84848225614132,90.87659461839974,143.842478278209,217.7380159947469
9,10,55.41003965226065,79.18888914003338,107.89060262258528,70.86571222275198,99.64552884600968,143.0802450687743
12,10,49.3321230989913,69.82783376884393,95.78698637751847,58.31051151554773,83.08378458018363,125.37881933576318
18,10,42.43115082953744,55.590982597973664,73.50357351700166,49.820508751049545,68.68834720694903,93.87396168600264
24,10,34.759782300818756,46.310330797082344,59.23081860153282,39.13440843448845,51.03040368526881,68.75720318068657
48,10,22.399138565131814,28.116512090396427,34.76348863900661,25.318301175993334,32.06688760793776,41.01881637408472
72,10,17.01774298376354,20.66781396999894,24.62279350108946,20.799071664807162,25.000122144139667,29.637860904595215
96,10,13.33045694443038,16.076161403845482,19.403743394407947,17.986051913450034,20.83298409782036,23.74948003992985
120,10,11.201711460883326,13.236722037353271,15.31756586911504,12.582955316942009,14.753385089171825,17.412444720863867
144,10,9.510869031659194,11.343611094396095,13.045661209123129,10.624162974883276,12.609990667714618,14.954807073000342
168,10,8.432965524296371,10.019786477302135,11.71552924336775,11.331774846516428,13.460698759948666,15.8737556470323
3,25,107.60924642260352,206.89170706782585,327.61891498965053,349.4739579721776,784.0897796576933,1373.2066252584511
6,25,86.11968321711575,151.53769333049598,240.59564903350815,129.29555063067562,277.9581490220965,483.3417173115066
9,25,71.2604033579543,122.56345468971179,183.38802942186996,97.75652965673925,156.8258143130534,268.47493493139194
12,25,62.804001512609275,107.58223082119935,165.89190220741503,77.23871171173244,135.78257180379688,241.14153854105734
18,25,52.29788131839362,80.23498946223322,120.51713741885766,63.31074790878981,105.8203840128008,174.65872487675466
24,25,43.544238184333,64.2597486108915,94.4405414287346,48.36560478876734,73.63206615057834,114.26444635460842
48,25,26.311896953278335,36.424027391884685,48.80420801285936,31.524587752397842,44.82005689850903,64.71478276985547
72,25,19.862374209875025,25.98521772177754,33.873325481883484,26.481278551134547,34.161651703838146,41.9533886854629
96,25,15.566404488070333,20.03057171283838,25.94137994506319,22.94542413947896,28.65084265717185,33.48135991504284
120,25,13.097959772583128,16.27773860008846,20.379976418445718,14.341606559762916,18.138870845419778,22.998012831766665
144,25,10.962641634923328,13.850763955717426,16.77852272160023,12.261288580205251,15.496397052390714,19.73127886989097
168,25,9.55159901720248,12.162232443758791,14.862280978868693,13.638619449062096,17.16107845732818,21.07204261196955
3,50,130.56822528679186,309.13479049235013,561.4810966277747,553.275675790387,1435.2995175777999,2556.5329061675657
6,50,102.4435060893862,218.33410871722114,390.35547263889634,164.245621884424,466.6294687752121,898.1762872143554
9,50,84.25574566942016,171.0295406628793,287.37375486131424,118.63657825521497,222.2556631873984,435.86909935552364
12,50,75.74209246284059,149.46701812021627,258.34682768957623,91.63450618235322,200.02440726908776,411.53016906743164
18,50,60.10774900703908,105.20489171998318,175.88736524319344,74.90938076397734,147.63063658859514,283.33748616822623
24,50,49.64388733553403,81.48088614433443,137.87010802645966,55.608118236724124,97.33897427349751,172.56639771771546
48,50,29.181568016524743,43.576914124087594,63.12306062434162,35.69547271636047,57.40058619370789,94.03895384173649
72,50,21.951912527016844,30.314874183587953,42.6863782429992,30.2367384847527,42.718965774334066,56.00189628141074
96,50,16.810116088014745,23.235709010306444,32.642480937994705,27.12250400695639,36.13180086826193,44.30679988724975
120,50,14.204851340091246,18.693075789580707,25.381393294291733,15.616238936594183,20.937249896331032,29.00018324092438
144,50,11.829155903441148,15.822436003438177,20.520681018089075,13.343509106038798,17.85868467524878,23.870096941878217
168,50,10.241485279802056,13.840994258016574,17.951348855055357,14.834390438753035,20.318057822183768,26.105440920011493
3,100,154.6401843198805,464.7437974957394,973.8659291928175,861.1439094332591,2618.9841046387805,4678.267236910258
6,100,121.56814634193134,316.33236604142724,644.6316045591553,202.43623478984193,794.8068271802375,1670.6311949031874
9,100,98.0696171840028,239.37372931666863,448.06548768961636,142.7256861706515,317.9046471082587,748.7945730907375
12,100,89.0255535163481,208.1651169667707,411.34707673498656,106.84075414095994,299.4016739335466,731.9781120571356
18,100,67.76817140264365,137.56214171614974,260.02074789033077,87.0269727250316,207.94109135445467,476.88146993277456
24,100,54.48448248440906,102.77339173870422,204.47023995014916,62.00212456192676,129.38951770545862,258.9899619959988
48,100,31.554053927256916,51.63740022090349,82.74401868501596,39.91861373865366,73.50838806430274,137.93510992333626
72,100,23.356668311884288,34.966732638408025,53.66415314830393,33.99554042677219,53.10666008545739,73.34332722650835
96,100,17.910166424886178,26.66594775008449,40.777196856126785,31.640017522548966,45.39918042954429,58.85988275418433
120,100,15.159035029824308,21.2337781881876,31.773322959242456,16.604287199984288,24.01047620324047,35.555533103542075
144,100,12.565037836686662,17.87901746266049,25.05533582407164,14.417572490939467,20.427920322147685,29.500439688694144
168,100,10.869592866664323,15.586656855421154,22.101165628605038,16.06293406368203,23.8699895814253,32.50513024850895
