Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,11.337844815727838,13.026323995049282,15.140449827853715,12.338431685849628,14.238678350179473,16.31715229796701
6,2,8.641988853003728,9.877309733660775,11.373531251822474,8.839233810790766,10.100724289712096,11.570116117800577
9,2,7.162616154396298,8.171518258180654,9.393936318714355,8.085081074313603,9.111345546345094,10.162574180044896
12,2,5.958404052598828,6.781753595481774,7.739000901826694,6.047270184855381,6.748484349662766,7.660462339075197
18,2,4.445706257226637,5.1298774836129555,6.006777558434604,5.2291474072541515,6.026944423347342,6.849873715788009
24,2,3.47659847199966,4.082670624294745,4.725752681459857,3.6942722854230885,4.223703119725092,4.707899612379592
48,2,1.932688069161995,2.213958235600376,2.5677987449350104,2.041370656476974,2.3408902733223873,2.673029555341963
72,2,1.3818970591042914,1.6090345273411124,1.866003320341283,1.5322371721145926,1.807470542427275,2.1283560254456573
96,2,1.1108435566424264,1.2876535241994507,1.5204531548508982,1.1883479292598835,1.3861479478208178,1.605290603967747
120,2,0.9201537663353968,1.0651364458313364,1.2563747729433388,0.9283865566632279,1.1175191856141278,1.3078577376375111
144,2,0.7680185310409915,0.9075512413751803,1.0633579963445678,0.8323211182661088,0.9965315434195379,1.185054057240443
168,2,0.6983597305059679,0.8185408965609002,0.950282483379036,0.7392499713158804,0.8523700415162873,0.9905047639345254
3,5,16.462851455194134,19.340633269007153,23.35879023781083,17.946731855822904,21.07493567741226,24.499140194131748
6,5,11.994232559578908,14.51270407087555,17.286425693969328,12.621004437172171,14.7482200846785,17.406604682433684
9,5,9.978503721429192,11.98230941019779,14.017093937512637,10.917176269491659,12.562149638815914,14.404063596935085
12,5,8.364199481078264,9.915567905082845,11.741568784595021,8.20259922075996,9.351170994020556,10.825778094416233
18,5,6.3516941675359195,7.601820363437116,9.161842168281995,7.6178192447342,8.813567692529222,9.891862682477395
24,5,5.038642759740169,6.052157565576776,7.255204195240571,5.231891377355756,6.009753966375868,6.918394540929535
48,5,2.7235303026413913,3.2838674352913486,3.9179847847992875,3.0087259375612483,3.5557599361615546,4.175705933553681
72,5,2.0322358326953487,2.417420853651657,2.7970777979713963,2.3935686443690845,2.8104086012198874,3.3456460592640114
96,5,1.61497597662978,1.9437816893132713,2.3202462060153985,1.8291529291858044,2.13419092669108,2.522626414661376
120,5,1.3216794221978123,1.612680016764172,1.923090143832793,1.4763305016245056,1.827287852132725,2.2165498475645995
144,5,1.137694902062489,1.3744627491096786,1.6386049380991605,1.359712048179797,1.7388975699617837,2.1137934292258573
