Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.240831967146036,31.101621522316243,35.63027318392959,28.974400943413308,33.022238299127096,37.80109927580032
6,2,20.67681755505192,23.57660457011118,26.499623353104518,19.41438016350803,22.14516215502508,25.356395910836902
9,2,16.616596988506274,18.78965717404812,21.486833987823623,16.705226201363775,19.04866692988637,21.523817129232928
12,2,13.856619341947386,15.554764748254282,17.872952619458072,13.59360471232252,15.592010981030107,17.765648021792956
18,2,10.457214623060878,11.909892060184482,13.58208758483633,10.946382344082197,12.669312786843777,14.342045536630605
24,2,8.638555284877896,9.796198405452165,11.126970566716587,8.93951913384042,10.424041122341007,12.12317722223736
48,2,4.955292391311077,5.618602373275174,6.476391466135217,4.719258406994633,5.423001788048063,6.279049897934048
72,2,3.7541686581968996,4.263055827788009,4.891355330681641,3.542872437450987,4.122851385710866,4.737640309199973
96,2,2.9902288144838525,3.4193085078788448,3.8874351420746915,2.7013096883936063,3.2265926134917073,3.930714252321768
120,2,2.539134335015541,2.8753982787015233,3.219906183684885,2.3311588647613433,2.6584191185819654,3.0540255258052387
144,2,2.2839170963595006,2.5861675261527064,2.9416436394242638,2.197277382595716,2.515378310777351,2.8488143442935847
168,2,2.02853432892357,2.29594669340632,2.601431339460368,1.929401284354182,2.18278519005305,2.437121061507359
3,5,37.6089079133376,43.82701584487002,50.87269488929215,40.63721328856727,47.39216132807255,55.64066739895935
6,5,28.341417719074116,32.82374746427324,36.87028013234958,26.947187882068746,31.261310962512148,36.55725104889355
9,5,22.67138931623909,26.19314833161375,30.3836207078509,23.459297348547388,27.24359258526985,31.68655720240716
12,5,18.90444291132057,21.665574532360832,25.2141169011037,19.11654898272291,22.4433932600652,26.47529691951796
18,5,14.358276356915216,16.754056896313767,19.288378453390703,15.965374071099266,18.689566783532566,21.816940020025903
24,5,11.971698637701188,13.932084265145352,16.177426990616834,13.439511288716972,15.929808619856235,18.52598393755816
48,5,6.914286485827608,7.972001188941931,9.358402606352513,6.817694506962795,8.463314197421361,10.224204264802168
72,5,5.078722683900967,5.9155190051260576,6.772334703680057,5.265162259407341,6.363285705442975,7.538810108350331
96,5,4.10778849117985,4.721770667287502,5.411109132023471,4.301410753091918,5.236750047867282,6.435416172930422
120,5,3.4334678168284425,3.9367335492210587,4.444457809329632,3.340971305486173,3.9275902174147945,4.649399664546728
144,5,3.090849040266634,3.5246105249387507,3.98097199023837,3.1899684484336035,3.691798126588936,4.214050860360949
168,5,2.709371859598018,3.1377941833990928,3.53402604442445,2.6919207743314275,3.091808003709138,3.467338903725176
3,10,44.410756142037926,53.38393562673686,63.15092087988798,48.0482656394897,58.57355550644726,72.15088714823978
6,10,32.90708014041741,39.40466348676435,45.58555810136833,31.808175206762616,38.042764086069376,45.99744925725665
9,10,26.21649074720566,31.497938704932317,37.74195451108803,27.676221694906587,33.29132822272379,40.23870029609784
12,10,21.85746937164519,26.1406887909405,31.359327534440652,22.803145558938382,27.68408662761454,34.01379192512282
18,10,16.743596150850355,20.353602938684972,24.05029089760317,19.22443080696729,23.644559058559764,28.364645717963775
24,10,14.161157166447147,16.95190300148436,20.27465196656499,16.224775936881038,20.283669500652838,24.397260505541325
48,10,8.147972630632621,9.706633051168787,11.799607539023723,8.433509329314905,11.257437721185557,14.778688023736326
72,10,5.96023037715352,7.036877467092884,8.08414878843787,6.409455514168073,8.069804492636315,9.865893053772114
96,10,4.739323046026945,5.586713592296952,6.577625533646741,5.386000577731792,6.781297218558771,8.491648423343033
120,10,3.9152012432330037,4.653709544011251,5.340672417000115,4.026235151242349,4.890372189484542,5.943821097133819
144,10,3.545393496276418,4.1388035535238945,4.731268307440962,3.8076594699182227,4.534129053878592,5.27361958443089
168,10,3.1157354887861057,3.696512554556661,4.244247231574152,3.141105255511691,3.700100793780975,4.220447176142175
3,25,51.78580173602691,66.92228031039934,84.69950587435018,57.31830271103043,75.20529372854384,103.57339821544778
6,25,38.156446261084426,48.28127708600195,59.528442051659695,37.54307864391639,47.68269855612403,61.45364801917199
9,25,29.99145455412856,38.69760774653949,49.39381259285575,32.46154986082288,41.81582653027149,53.571782302920916
12,25,25.07585192604369,32.336099784993706,42.5630992588922,27.118131520246322,35.33588906759612,46.553647549258436
18,25,19.283564098104183,25.40346308357195,32.0731908098022,23.120129382126397,31.366728087115334,39.92984729995056
24,25,16.313102066671462,21.12125897317084,27.302244519388807,19.694819818875622,26.831308129776865,34.71267128750753
48,25,9.521460425578587,12.12226681254464,16.035460242897724,10.317209814428342,16.113919462312204,23.455210843812967
72,25,6.827560398517257,8.48557740418369,10.453705932056833,7.480834795032092,10.549603820135427,13.791265987208227
96,25,5.346181458468587,6.682541860622967,8.215450942060137,6.662370995400943,9.034696277794806,11.799347210364509
120,25,4.462796187054113,5.5762101816757195,6.735570403877622,4.742012212851509,6.282106729872615,7.964188507620414
144,25,4.011529909187806,4.906799844357946,5.908749003886054,4.512740217664965,5.686285265460503,6.845660353445777
168,25,3.51785348685856,4.403987351521396,5.399748791557139,3.5941438687338314,4.484249792237156,5.396746416380963
3,50,56.90001140616627,78.14100539600483,107.10165933868251,62.87093600438313,89.84707211543147,138.18849957316377
6,50,41.13792770767482,55.297259497061845,73.78760404469807,41.462235853670705,55.77687886107907,76.07637664063189
9,50,32.44217287417042,44.42223641473204,61.1944939792121,35.3572889885263,48.90746711937561,66.46917196526014
12,50,27.367318542125375,37.357547123417675,52.71959235705707,29.589888837128115,41.9346015744285,60.04649813243281
18,50,21.041974580827222,29.549152068541762,40.67621166952916,25.68676752042706,38.44172029744865,51.83084470658141
24,50,17.68601724361334,24.491736115445402,34.36334508350757,22.422447661233534,32.63382965546377,44.45749303093243
48,50,10.411576137910805,14.09131613650396,20.29114145079649,11.925181177790474,21.072536364319195,33.22202898721882
72,50,7.36861365703883,9.583774048434472,12.366490245770564,8.335569792878982,12.676261882416938,17.72351361925483
96,50,5.699433778842091,7.497638105795263,9.680742773383185,7.446334390264276,10.96823678219935,14.773778390495107
120,50,4.768744206872889,6.272754092910143,8.110601767011802,5.232251468456615,7.468221890029759,10.096406769497165
144,50,4.242472563057453,5.470801879814347,6.934842556952354,5.012542772212016,6.615605023429007,8.262318592955767
168,50,3.712203082427965,4.92994036728037,6.4127739909634585,3.8243749454601748,5.082334971575644,6.436196009046396
3,100,61.216713552988054,90.37642673866367,137.68641021988753,68.06397566756695,106.8584769202011,184.46322242240956
6,100,43.65653725785559,62.64682198597069,91.51882872995009,44.80097902888636,64.77707666563191,95.06539581574862
9,100,34.17656766676182,50.44961533522953,75.51660514447974,38.044385086197764,56.72294535650231,82.28651477129122
12,100,29.294456672602095,42.73159346870716,66.39497853047087,32.04620890114603,49.44692481704091,77.4542524138362
18,100,22.37655831891133,34.03462585721855,51.86696842919564,28.36569740834429,46.910648373934066,67.3326936054413
24,100,19.043025245490327,28.090848388432327,42.80811577339327,24.868190871047524,39.38813262225773,58.91719939173518
48,100,11.205585258742463,16.208856936660883,25.270539609344304,13.642322740480587,27.609282662884127,48.15834944200107
72,100,7.886545304202402,10.69404042861359,14.81146858471687,9.076937050931491,15.083571649024783,22.755472975714518
96,100,5.992135630995577,8.30852999402751,11.59303890226355,8.112388387275665,13.151939277522498,18.380761177862077
120,100,4.9787763698764795,6.974588465147452,9.668613669501744,5.63588468482391,8.802381858399833,12.685246286189312
144,100,4.425834080594608,6.025849090066885,8.144178829541794,5.442522787504592,7.611602489496377,10.070648778123886
168,100,3.943410124603478,5.452944892243435,7.6060184796197365,4.030111164354073,5.694169896787145,7.6577867607591354
