Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.24915587864126,24.0133774647963,27.308043844757954,22.71395074174948,25.373738622998452,27.963344622028835
6,2,16.835699097339234,19.01923992550835,21.54717117957854,17.328539900744193,19.01883609550576,20.781738192513984
9,2,13.728489096438759,15.522429898919421,17.475733876405926,14.342094829570916,15.567699085020106,16.89774110098442
12,2,12.103615853954578,13.298756601138738,14.728369526730276,12.202560680298689,13.503648931461877,15.025871503224803
18,2,9.427600744962744,10.661467315867014,12.10955660536008,9.967707106390309,11.120374062796353,12.455219916309192
24,2,7.86535835507452,8.931340506440328,10.116058841946932,8.453404141444654,9.38696486398962,10.44473221435451
48,2,5.1815634525640615,5.791640674595361,6.445788401778664,5.341232957635379,5.887978299375681,6.505850966622961
72,2,3.9408343503459795,4.403765662206561,4.8658488316717765,4.351856723197979,4.8094645579070585,5.3966948769452685
96,2,3.29060887639716,3.691767417750732,4.0634756007830415,3.587278016227488,3.8986100891444098,4.240939778229243
120,2,2.855312884668768,3.1672288001929365,3.4982546227426043,3.017015531437105,3.3752736945681625,3.7629927042604847
144,2,2.5635511264955926,2.8318583145145215,3.092650580768369,2.5595724953884376,2.7939736010748395,3.0354407248332897
168,2,2.285373150063169,2.564592054032871,2.8820626021802505,2.356046825067856,2.573752288352108,2.8008116157322203
3,5,28.666552645097816,33.4971114917605,39.29535238844675,29.750963648667447,33.99612245991879,38.38285529006945
6,5,22.413870688895344,26.169177537577916,30.816899250284372,22.624505429030293,25.248241711252852,28.3059981431569
9,5,18.19292457683663,21.336120376896922,24.823534534813962,18.553322619870844,20.566866988761586,22.88818767184704
12,5,15.965306585989568,18.346977285629755,20.962749781258374,16.005923989841982,18.30716383718854,20.78184517100356
18,5,12.615246505606322,14.811260247376385,17.127055742522312,13.80476273675782,15.426524056655685,17.27724613876998
24,5,10.788272678099357,12.526755687905556,14.462844307463907,11.451054902183117,12.83446121074552,14.443636358846401
48,5,6.86264885553866,7.7837475195539385,8.765931611761108,6.865232184583759,7.620091738802227,8.53409213373001
72,5,5.134286922539765,5.877882424227124,6.581560513868208,5.790144984778967,6.598828461175537,7.381355235819052
96,5,4.2409716309561345,4.838015508153269,5.400725112876762,4.615396910887139,5.06599595673414,5.6148377400107945
120,5,3.6735584330913182,4.1236609746374455,4.5742246810438205,4.161916228546094,4.767593458115976,5.362275914472874
144,5,3.292088428952076,3.666548455940158,4.026243897975851,3.362642926087857,3.707824878954821,4.1567981288596565
