Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.3435357061553,28.856831915768893,31.670500754691652,30.27966697070118,32.66255666783198,34.99439271104198
6,2,19.308161100078905,21.31994835488968,23.680078669547928,20.014366211193032,21.90528140265504,23.749442444214655
9,2,15.617845030344464,17.423347273314207,19.594132135572526,16.36942341406112,17.76688871599888,19.296349525463384
12,2,13.277255013895847,14.878632744643923,16.50886044154024,13.507876721205722,14.814204204272354,16.142660409569846
18,2,10.65233250408953,11.798510906049843,13.102919317103868,11.4658381054859,12.694037610692803,14.004679000745583
24,2,9.070876273850281,10.033397653925089,11.220990469807557,9.719963752047052,10.730925429618653,11.791040189087777
48,2,5.869741852113734,6.553594242918752,7.314117732775188,6.6028282654328265,7.3647988560512925,8.281284538293797
72,2,4.483748490479609,4.971903484962862,5.532504437735613,5.160601255574023,5.626447029022215,6.115784473610608
96,2,3.713763564134024,4.1172002656097195,4.548522807384689,4.132900389979403,4.519814391673535,4.951997192762139
120,2,3.3253926861750758,3.6652079288113386,4.019432854767032,3.5394103291943084,3.8391961969646706,4.134735580593968
144,2,2.969399828769302,3.2655803712226747,3.5546094407465496,3.1011072061971037,3.3676575303011083,3.650250757455847
168,2,2.718465111584199,2.9620975016027673,3.2118787003523126,2.918648856086979,3.173503204544177,3.4618549056118724
3,5,32.94237774851387,36.78518235624265,40.40056147633095,38.135051518596576,40.524302249952996,42.965765556143
6,5,24.894430625219705,28.036986818924923,31.40490251776116,25.269179366788414,27.7593117787924,30.259263772116853
9,5,20.372967014507292,23.404749465427795,26.748129874433385,20.226960249817367,22.23212105644831,24.22624867206185
12,5,17.68798285485078,20.15191549615561,22.933257625266748,16.944659436448227,18.70329053941662,20.60123922013532
18,5,13.836053167299188,15.880680690217613,17.934128438970216,14.971564258273494,16.395384000182222,18.12249124019065
24,5,11.762988844337979,13.337711418734024,15.096890313651578,12.783845051555403,13.841081636882564,14.85067497877726
48,5,7.577524983669205,8.609279664438015,9.687678350802392,8.636713810592983,9.745166355484299,11.076622526486695
72,5,5.79757579003552,6.487570148140389,7.235924044421175,6.665196549805007,7.2896849019837155,7.966855804086249
96,5,4.76235002920076,5.303668332288469,5.889240847646491,5.465463491319106,5.9912636199298195,6.561053605866185
120,5,4.16348206549174,4.5864080491637225,4.992628122948307,4.567360710694219,4.999030114751751,5.39112453087051
