Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.00587620829834,20.443067850366354,23.01048150820415,18.114717586592143,19.590127897307905,21.404019236831033
6,2,13.871689111158355,15.347215347170842,17.206769827086212,13.97468303676889,15.11755886044158,16.64716094147736
9,2,11.308520581785984,12.318354511211137,13.570227046866304,11.245413365264769,12.217236572656944,13.28519815526264
12,2,9.528240322538892,10.276574602464198,11.30641849567165,10.021607055090357,10.789035844717748,11.664135907182516
18,2,7.290055117940689,7.917640597593493,8.699995312573076,7.279509372764343,7.955959507390074,8.66607727028617
24,2,5.95602355358683,6.475003587276654,7.077997971495652,6.07676378013384,6.6269561153001835,7.212710554975271
48,2,3.5756349407776997,3.878099765505315,4.224073613411061,3.660352520785912,3.9507264307654575,4.273496405813668
72,2,2.6089945162647976,2.845724058137275,3.0893540856126327,2.7831112561924862,3.1224265709600436,3.5266012176344406
96,2,2.1259875578928487,2.3585599443260703,2.6153151103258967,2.1122995914520115,2.429259491363424,2.8403148665035047
120,2,1.8495778725579421,2.046232178997678,2.2776466744276735,1.909224851099057,2.1113500776347918,2.3349851094632132
144,2,1.6601468378049598,1.834211925592037,2.027913853546793,1.6745451645114522,1.8396895538747498,2.033389170503599
168,2,1.495817524180465,1.6570358991150294,1.8556551009908528,1.4446663304386305,1.644065906925839,1.8815486476940717
3,5,24.62240902589678,28.783478982824242,33.969650360904396,23.610588707991536,26.770067298493508,30.875028572469624
6,5,17.706241942922126,20.389364717957097,23.612418086725548,18.199780460822026,20.745987319255285,23.662137784561374
9,5,14.159207474796482,15.955454088124574,18.04762315168046,14.938743067149783,16.8095383299941,18.733648925067648
12,5,11.658998949354054,13.114005318183747,14.620908025300299,13.210680490675651,14.68901296971696,16.283860516628245
18,5,9.085511602825855,10.142263811590315,11.396857385268927,9.580528390753752,10.7613932085984,12.026373658340795
24,5,7.459811426164704,8.27829530932882,9.370277579884636,7.716742189487393,8.575223755493202,9.511970041962869
