Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,14.852375932813928,16.399510876631666,18.366213610852533,15.44389818449821,17.519912220438922,19.952366435610255
6,2,11.445986854429782,12.479414793012634,13.6675581208168,12.118599356296524,13.600701862397226,15.470719483181107
9,2,9.350983887762533,10.174573249406718,11.167455029126714,10.296287512463486,11.809345513211525,13.67972967962561
12,2,8.125403586302347,8.800966604763554,9.575809551155615,9.095808092743779,10.425512926357674,11.912465178147468
18,2,6.5985994819024345,7.1149645261172445,7.732033337977124,6.583135683021304,7.205445447403181,7.911859851872107
24,2,5.503634707046074,5.920558418321355,6.418051790629056,5.141834659628609,5.668851838955482,6.353406637092762
48,2,3.4666091460701267,3.7928677309017163,4.13614433316372,3.65416171031074,4.108886679377034,4.622126142681255
72,2,2.7272357390376656,2.960004279793,3.2056819923402173,3.0648642435934352,3.36000868597972,3.6934788453482774
96,2,2.354203013414071,2.553527824751145,2.797372264907259,2.5317278658252933,2.7152673852245424,2.92952292637149
120,2,2.045644296292487,2.2508996020363656,2.4591251494009025,2.2489327420948273,2.4774625919494335,2.736753905899988
144,2,1.8928938934023651,2.073166531800244,2.2433439530035377,2.615583338646528,2.872361696697143,3.111336232765188
168,2,1.7434094383180447,1.9191533829118415,2.1097108079117532,2.0744894770430196,2.284340843411978,2.489777478468578
3,5,19.60918982729035,22.587016369277894,25.904342795198787,21.018318305494468,25.64024052008676,31.238346639696765
6,5,14.424874954747814,16.17489183910949,17.997164756778133,16.22373388812174,19.1536273132604,22.59282110619089
9,5,11.491314836653578,12.906455917062814,14.532090389575114,14.572760387124276,17.172413512712694,20.00702415972926
12,5,9.957613701141497,11.020875403964649,12.343880889492375,12.555159627492518,15.090470836872687,18.151735403579256
18,5,8.108888908123907,8.944535788817882,9.90422319094364,8.308222771677467,9.285986478048734,10.372159973642466
24,5,6.797440662671979,7.406696237764102,8.14127864103071,6.650517570444778,7.487132062613913,8.457362889250001
48,5,4.319203344482158,4.8105600916683615,5.339278271606166,4.834569787333679,5.495956955359701,6.1434117025466115
72,5,3.375066741111482,3.740812598499149,4.140886725483018,3.9077629404044796,4.314926751028142,4.729039676429648
96,5,2.9031670178968723,3.2251251671086374,3.5568391882438,3.087921495689134,3.3781112476541093,3.706072788651521
120,5,2.5482970672081606,2.849257355099147,3.1499372830161407,2.8848769204999045,3.205335276203684,3.5827551780014195
144,5,2.3524730900456325,2.5963465827121213,2.82139318003142,3.6320321237951076,3.8976180469093196,4.166254669426294
168,5,2.1783033343616696,2.3925903480038153,2.615442645289885,2.6615132867813927,2.933719932369805,3.160687503166167
3,10,22.828652242055572,27.915334735751486,34.084324308983554,25.749339478415667,33.337039385932414,43.15713149825892
6,10,16.421018048029936,19.118877238106148,22.223669108290252,19.434931238541637,24.055690359816936,29.766921647470483
9,10,12.943110323795562,14.946599963450378,17.375832077698757,18.15393870692757,21.797105552589805,25.59411841400338
12,10,11.084051165654909,12.610661470072998,14.50321327849489,15.422381984689707,19.166435063151468,23.767358888763308
