Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.975880490061606,28.5547191000894,31.225935536555255,24.97191571410587,27.72751956069652,30.5564118038875
6,2,19.747473108268366,21.904715067805682,24.31656835163517,18.840858342536542,21.14706705614964,23.58679055173235
9,2,16.388618315373037,18.372248661137476,20.32028936699324,15.94813760537661,17.917067628317913,19.97954019931024
12,2,14.040147682593652,15.691823089671356,17.30421654568721,14.266631502522579,15.878835457280896,17.610734289716305
18,2,10.556175898294573,11.714744418411222,12.932100345895075,11.15077787804135,12.494754546005279,14.134352470631658
24,2,8.568814406861929,9.4049008722314,10.34615778602311,8.806408153092896,9.605127849082416,10.595935260450196
48,2,5.067303948834477,5.529531902222245,6.0198624399619725,4.818033019376049,5.258483787653627,5.786868683867546
72,2,3.666687541287775,4.002242413288677,4.374367646967661,3.536313843581264,3.7425141439447143,3.9586694034349295
96,2,2.9849660687065356,3.2834866733473325,3.5701999120028525,3.0375287649470923,3.291207341060451,3.5653709607833095
120,2,2.575741743534678,2.8341520124250534,3.109193342225473,2.6220016000817923,2.885371460448265,3.1869958474616795
144,2,2.3939407363282235,2.615215864591892,2.883021623600007,2.307946000585295,2.52405815681959,2.7588810354633733
168,2,2.1613876325721146,2.37167712177251,2.601954142047185,2.1158231914399486,2.332097454180878,2.5537130881074472
3,5,33.05675135425084,36.9135076287746,40.99073105483717,32.786380837827124,36.67704462665093,41.0044550538353
6,5,25.653469065622062,28.80915347427235,32.26693903874749,25.972048812784607,29.368295470994497,32.96211834806233
9,5,21.38613995539982,23.784388467939397,26.413685518513162,21.480877891680976,24.31487602553332,27.00915237026169
12,5,18.167055942242072,20.25472528470819,22.24556370239011,19.691706696499388,22.17382164419765,24.926742974141142
18,5,13.439948781669385,15.192660974051439,16.682511866769808,16.039293346192668,18.365990513357904,20.78494357529747
24,5,10.953100578681033,12.113615465954702,13.324669346230827,11.503628730289645,13.236099598397416,15.07355790512944
48,5,6.304519936104002,6.952817030777501,7.639830532493706,6.289754955525126,7.088415595749414,8.117672786260929
72,5,4.541573236491993,5.020717282967674,5.563990542259376,4.4946575888832765,4.919911980499977,5.368070353289852
96,5,3.7182721536980026,4.125877464366713,4.508684442569671,3.936261550528214,4.51874741238855,5.121461495867411
120,5,3.2550405743108044,3.579170988903322,3.9515623257477523,3.438880165741918,3.8909710366014227,4.43216475147658
144,5,3.02066707366251,3.2922831256267604,3.6196066823531474,2.999616837077613,3.3295077904751347,3.6696610938798937
168,5,2.699009983921492,2.969071920248809,3.244374628371146,2.7678032616381776,3.030977025832308,3.286321378105191
3,10,37.299314879287024,42.33472002230039,48.06825084401327,37.46739190245076,42.86898056121933,48.259245439423225
6,10,29.188290591150903,33.25065004884161,37.994310928062774,30.035104330512446,34.7968764515251,39.78498056287732
9,10,24.25138313335657,27.149908703724513,30.732351403882,24.412189583059337,28.30375409201052,32.212795967226555
12,10,20.582242188347777,23.080098393739277,25.70156203535614,23.308401862705555,26.891618077497576,30.931363466138325
18,10,15.012145005932283,17.416334169937237,19.32401625909146,19.6650510335351,23.208018280377427,26.225030549021184
24,10,12.341013657183495,13.849490566849724,15.54708786675015,13.719515272151089,16.34944155696597,18.76025181186813
48,10,6.998828434747644,7.865872567614673,8.843425691339352,7.410458763533054,8.745937816084883,10.421331914911049
72,10,5.047498275762492,5.689118943686341,6.427654780631997,5.369006996292985,6.130476374300292,6.900391552445389
96,10,4.115494461039416,4.660827088306094,5.176791498931434,4.726842678060322,5.761805777007385,6.788927097076059
120,10,3.6232253410536925,4.033715776956664,4.514794983680514,3.916450263898695,4.6520845807977445,5.403165590079807
144,10,3.342261886741966,3.6835969090567913,4.08247601158145,3.4245514815213767,3.8801725734902535,4.335100535480208
168,10,2.967373029614177,3.3073536572468134,3.6283065477424055,3.115741564370436,3.4397015333017364,3.7413253555182133
