Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,45.20183439876676,53.01603647835243,61.672819836167776,52.127881062028294,61.87670012040121,72.75360472484459
6,2,35.60951383674933,40.6310473790952,46.91358998624566,36.72826193068687,42.62907168582264,49.266464003407975
9,2,28.551411503110177,33.02100129988534,38.62077710524699,28.889159505760773,33.18296141469498,38.039305406317595
12,2,24.465838161846435,28.31009240075113,32.92168953375446,24.81705770950594,28.610137339305663,32.76457780925336
18,2,19.78137212166829,22.683291669987156,26.146598566941066,17.625139299436558,20.46707162958552,23.533803707058205
24,2,16.245812828482933,18.983769418627627,21.59937911182817,14.494460669922354,16.503641653290078,18.784162985026448
48,2,10.331938603974034,11.70427268960026,13.610735368123127,9.46239014422759,10.522487911098278,11.700009935650964
72,2,7.669396424709463,8.711348773900472,9.88292880862952,6.0326089337246165,6.645870554333294,7.374100167011574
96,2,6.246224069875613,7.122015450391666,8.061530117135646,5.769395484385985,6.293570491589705,6.881915189504355
120,2,5.367006312280005,6.079164769914861,6.941686412806595,4.745223230868529,5.366746243123129,5.997605916629174
144,2,4.876887468287933,5.4365973788612845,6.1256562945427095,4.4961712129837625,4.98496954397798,5.5810392894617395
168,2,4.376574515204476,4.940641808944811,5.538423856446452,3.68225953120999,4.108530421356457,4.600563600186058
3,5,65.39700377887067,77.88089090102598,92.39859154405531,82.24395719675672,97.5245211130989,113.56703499099164
6,5,50.24146719788104,58.94097820365893,68.29382206768368,58.7896740680839,69.09287183182558,80.51885418382028
9,5,40.43475851229518,47.36979361505742,56.70661929471164,44.72591721612779,51.974182006945966,59.77863451418257
12,5,34.73124589418688,41.00142539742549,48.25821135326596,40.136906484450755,46.70983873859728,53.56407465147143
18,5,27.96240566439344,32.727499384755376,38.65903621683467,27.93360808903323,32.23350893482283,37.00039021269243
24,5,22.686121844998333,27.39013033451521,31.920461355440047,22.858656326260345,26.850990239999852,31.18074019405025
48,5,14.347887811048833,16.86427259097723,20.003753808166174,15.357483692610668,17.818458010672813,21.01498383665072
72,5,10.769412888766372,12.541994463081654,14.47431714257596,8.970792768311403,10.729782482617258,13.160653914485223
96,5,8.520914103110709,10.053889997659498,11.697724092205995,7.541790967841477,8.557254851922536,9.785236535445012
120,5,7.244654811131278,8.481074042999452,9.964922074839265,6.664009419990604,7.91103559530118,9.493897285077606
144,5,6.462825901373362,7.519732878066192,8.621912224313633,6.072794267076878,6.927849597873399,7.854830856779223
168,5,5.878185050568337,6.775024997841609,7.6625504131559365,5.312311850143942,6.070242922390643,7.011388400926116
3,10,78.71371682265536,96.29090814364943,118.82897839459002,101.40422348944125,124.19850000782228,146.69176665388983
6,10,59.67913419244964,72.65175786085551,87.31298526925339,75.61152878152436,91.61244114322513,109.2903203060319
9,10,48.562368558188055,57.92635659571965,70.86558745910861,56.045053625110995,67.07699664642428,77.65670222379079
12,10,40.93129431822612,50.559975519804595,61.682012401335996,52.378826385312934,62.54460791271191,71.83641735913794
18,10,32.9008531420437,40.162498141043265,48.247772458000256,34.82551077618413,41.79932301583427,48.842607052567985
24,10,26.772749531390126,33.56219817527386,40.54640672092241,29.73269903447361,35.774000244367606,42.138851253112264
48,10,17.10807974430569,20.942198792555033,25.38717181909861,22.01548869130754,26.360561323554887,31.875127440816733
72,10,12.851040158492449,15.619970500611451,19.22710498567317,11.859216066748498,15.560847537955013,20.038638094604778
96,10,10.023908013261753,12.334585622718777,14.895958212731628,8.613201135051549,10.295423806971188,12.3336524602177
120,10,8.55340066968648,10.304204631143378,12.576871076818128,7.904900434696801,10.229759162949108,13.17641596810937
144,10,7.412939224733021,9.068400483598126,10.74750371605171,7.043397002858101,8.385981379803802,9.849174437521098
168,10,6.796523707879798,8.093900071590195,9.402973580191649,6.287672389234373,7.774408579014445,9.43683864568487
3,25,93.1753909474402,122.03408397505738,162.22710966274053,125.17042205585392,162.15113240376274,197.71264855262416
6,25,69.7615580088267,92.02260870633715,118.77331690913405,97.43064106838054,127.68460150883332,155.67473391244164
9,25,57.69241639819112,72.60252986947351,95.33327093561527,69.84876554112216,90.01721460456972,108.8721350444662
12,25,48.10212951533839,64.13594296209016,83.03653699458768,70.88980939554816,88.48065289859865,105.22967591275281
18,25,38.81181990297292,50.55678803999142,64.59872050925651,42.677531989781244,56.52259982987002,69.89411688151432
24,25,31.85631769320571,42.126950007247636,53.60454218928189,38.57150673299856,50.232598848505475,62.635677585413646
48,25,20.262715523874625,26.99516050321369,34.944046703787464,35.013820702256325,44.73857018380239,55.908426695462595
72,25,15.248312477658121,20.258869180100742,27.15722634339908,16.009168085627167,26.11843901693709,36.56578952715515
96,25,11.966716085703123,15.671108945864063,20.63233316263237,9.834021901369542,12.848698074781922,16.79923320354501
120,25,9.92475367516159,12.912056857434239,17.160375365488978,9.416898804798684,14.243097830566914,20.319928891246114
144,25,8.497944638264444,11.242018201538997,14.450963068196632,8.184248997761456,10.478799241059491,13.27687341057082
