Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,14.314310030817126,15.948920843715726,18.014483723970798,13.10242748360463,15.035135425075351,17.199137970640088
6,2,10.422068132717488,11.742680530292414,13.303927654550396,9.582053383931168,10.932746963064586,12.468857765017788
9,2,8.326864582245229,9.36431713558521,10.454742556410453,7.73200198821573,8.762142383185749,10.052086186023057
12,2,7.0693749445615275,7.885421718186345,8.858376850373016,6.298943325119785,7.111363057302416,8.01888114569331
18,2,5.344179303421616,5.949171240803448,6.668423724835796,4.372224815735389,4.932840113647755,5.496100649396528
24,2,4.248399531292204,4.753607298235117,5.301809162474887,3.597064885370278,4.012571148370261,4.4847294891351766
48,2,2.4248235874256903,2.6794903762881925,3.009540976736976,1.945409188954959,2.1570506309472965,2.4025632334614437
72,2,1.7487223928776792,1.952827726156375,2.1391881010812583,1.4106613803978347,1.56841453322499,1.7341498615074904
96,2,1.4301050367180634,1.6003150626795,1.7966975021609568,1.0891564288174476,1.2471838424511532,1.4163656879051065
120,2,1.26907917514727,1.4197230851521079,1.5795188671687286,1.0322887801487857,1.159613898274787,1.3041137693929172
144,2,1.1052762032059826,1.2388630034500345,1.3879313885889908,0.947367664329229,1.0845620085032934,1.2474820859684255
168,2,0.9890374503122893,1.1092863588713915,1.2380209577733747,0.8317078443324994,0.9448310122405891,1.0714821045042981
3,5,19.185891510827894,22.81660868621676,26.87692905979023,18.760176268261905,23.031331621549,28.034832488055102
6,5,13.84264298190119,16.303434961063864,18.91238474253824,13.184875818758396,15.83644389510863,18.849737537174818
9,5,11.046767174795459,12.864057804235005,14.797683450672666,10.926357107329551,12.891015911586376,15.423844239704001
12,5,9.390258580914793,10.75461566547226,12.23814496796912,8.679548936370105,10.037390770234298,11.527864752411231
18,5,7.095163253134016,8.05843628849784,9.132457110559121,6.104402193530165,7.061299803126724,8.09489310229849
24,5,5.570161721767017,6.3510308418836985,7.17385783299463,4.845909422696772,5.614798957068723,6.405101279600505
48,5,3.144395087045707,3.5205663333127246,3.993116479980352,2.6644136895191775,3.0226659423189846,3.407729461245456
72,5,2.2803500863347836,2.582962149996896,2.8582048176854733,1.9777510590684546,2.21827364127484,2.529938438185006
96,5,1.8689477334114515,2.1233021716186107,2.4179126115233136,1.6349335754591001,1.9251884412129652,2.237905713777361
120,5,1.6680218669685876,1.8888455891062839,2.130753534397452,1.4459215881020495,1.644826325562871,1.880036706059165
144,5,1.4712675085265512,1.691767173839811,1.916242753163302,1.3639119525325507,1.6253767810407949,1.9588184723654583
168,5,1.2963987906176277,1.4984310319178538,1.702254594374371,1.155460871021678,1.33793132654076,1.5380738166315837
3,10,22.60992160000107,29.213994150879017,36.468127888730635,23.26100789901793,30.91452247655301,40.48369327389511
6,10,16.300652522729052,20.02843824201512,24.558402666531762,16.044906034705757,20.073258952060723,25.26003115812629
