Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.59958485797113,29.554250532962435,33.66499267455133,30.113823850311697,33.62261042952035,37.584050473808205
6,2,21.293390695726295,23.613616826680982,26.4488672049751,23.378992606121876,25.651090711681135,28.31763876711922
9,2,17.88972539638903,19.975028892930208,22.3995525358364,19.905758972360353,22.295410648603035,25.153806841198474
12,2,15.533757230195782,17.237958055469814,19.393981556489813,16.738630737542262,18.623244177135916,20.811317380500697
18,2,12.190503297626256,13.824886981103234,15.650171714818658,12.783456903750249,14.581535664346625,16.60995987714158
24,2,10.487470543999637,11.759275139314166,13.420062034114158,11.019369767010236,12.29521233929805,13.812992901389002
48,2,6.647585995050964,7.499342176068357,8.390519511406854,6.874646005564944,7.776732458146721,8.70315384971116
72,2,4.984504006289468,5.614137499927407,6.390531645373679,5.498991215515683,6.018962402157005,6.642722591143395
96,2,3.9912002157781874,4.503697265563793,5.145070123905704,4.212476616295281,4.718625882769166,5.278787678842679
120,2,3.4039084703982168,3.8265273215288516,4.312496786126612,3.7913218803503717,4.163334835430076,4.6444495248293425
144,2,2.963448919503556,3.367753660107355,3.781725042414366,3.2325262532832437,3.6566880334869305,4.133222899174816
168,2,2.6676399703279228,3.052407770710375,3.454661738970149,2.7670340200981896,3.090877402255061,3.495034924292508
3,5,34.98896735458001,40.63651731089131,48.01265759229106,39.720109384863264,45.992060276915474,52.980749512378196
6,5,27.438522574855725,31.71592430205513,35.912378555499096,30.121952841228357,33.503332738888176,37.866148014509065
9,5,23.58661358823626,27.1590333387488,30.809873920801056,26.535349106371978,29.934692257890664,33.881723704682756
12,5,20.73935415855817,23.996011138629015,27.638287687550815,22.501611679140872,25.8671746132493,29.59841282949084
18,5,16.46897136275513,19.237086430595987,22.13618319120033,17.540660983731037,20.44093447670371,23.859938300629516
24,5,14.246315131043069,16.373216967474157,18.784251544057234,14.862903483866567,16.91150860501045,19.340725538353837
48,5,8.871647564510678,10.393004386924234,11.880527470916817,9.527702433718474,11.057967298105742,12.728309666968531
72,5,6.741945208651212,7.752820925030655,9.041189966868211,7.0868946814531295,7.9548102132131415,8.94272802819037
96,5,5.43902517024113,6.204819284833661,7.218789823957922,5.699739914867418,6.570235077791409,7.6096135701828125
120,5,4.600454752580742,5.247980819870195,6.015041845549276,4.956735986816747,5.538705649593665,6.229830181807026
144,5,4.003730058364735,4.610322517067039,5.213728972111698,4.479445286891444,5.1265183765261115,5.9431445005094234
168,5,3.6239932422139116,4.199024819713099,4.788309384424023,3.8159113401042895,4.346925642560202,4.993050374630162
3,10,41.11022372976264,49.518472334951355,60.717839504435105,46.80537896122077,55.639832424412525,67.12443877077092
6,10,31.812000453606714,37.84239666012662,44.447538919652914,34.28395912121486,39.17667749726675,45.96277776871738
9,10,27.32267748774109,32.55549211458455,38.720367755104775,30.66658843299681,35.32368244197379,40.6205553639893
12,10,24.072233967049776,29.338945176035097,34.918305916552136,26.133492594042004,31.346059460781213,36.96947999786754
18,10,19.444083231502514,23.401766294851665,27.780252776483927,20.478079080169497,24.81783180035007,29.72259877667699
24,10,16.532152332415496,19.824868644464818,23.29354817588083,17.169178857169026,20.442202076305154,24.35290412299819
48,10,10.35799074894124,12.456604302165406,14.712675725082772,11.136223096194524,13.498757273224008,16.26364620260993
72,10,7.776838879574765,9.27871043593373,11.184791502265245,8.157601803849946,9.416421702652675,10.919194801392784
96,10,6.281992947382891,7.427003571555721,8.647432249997268,6.70205471803898,7.988076370946173,9.658706690506897
120,10,5.314291750222967,6.248137737630652,7.3697554926341855,5.651472882291813,6.56582776466159,7.653623030730966
144,10,4.613805522741082,5.4689254512528915,6.312656454837401,5.288624900434109,6.270299202559704,7.542982731225862
168,10,4.187849986731105,4.994966838220727,5.813693025847894,4.412414897065109,5.301436496424842,6.315587467485446
3,25,47.226195025686,62.87317471628003,86.38464214677849,54.68989797723013,69.95361468494939,88.99263483588936
6,25,36.53534398662032,46.57529603685203,59.216720485519915,38.57260051238808,47.03854497093876,58.325703818028344
9,25,31.276539065362556,40.201659498734166,51.25002978938952,34.827237916956406,42.6088533105527,51.33544708836483
12,25,27.83526603076165,37.272414785884166,48.22365488124356,30.53506240476154,39.25221018214667,49.17458654474219
18,25,22.875126150594525,29.434148585126263,38.16996172374376,24.07255926624392,31.061199912120408,39.02879153683427
24,25,19.054327865588668,24.697117183604433,31.01968103009539,19.939038343628397,25.59418394010251,32.60039080686428
48,25,11.843886078999414,15.245312697818608,19.190743147325207,13.033840335736567,16.96708557002148,21.92889011723824
72,25,8.873683341303867,11.341625883096974,14.806988868027226,9.373398148300561,11.529518640402333,14.607579426342273
96,25,7.211298994025494,9.089820086079616,11.466182550599035,7.80446261435147,10.065970080427244,13.323898551701195
120,25,6.103551941079359,7.583322204417416,9.585730217281883,6.441124096393159,8.031835964269202,10.001354125292561
144,25,5.3210415876200114,6.5964793233737185,7.99770459342991,6.2263192433174055,7.970979311560411,10.446723288054011
168,25,4.797071440397722,6.044581844310452,7.5169852816552485,5.089250763582211,6.68862201184098,8.698152742534683
3,50,51.21133668324465,74.59139496413154,114.04506808037772,59.69116367170507,82.46740744018153,111.37633309677378
6,50,39.79423294026924,53.8553634264366,74.63821525978076,41.21967611660041,53.48491700678052,71.19925234382956
9,50,33.832235106878315,46.53898181367126,65.29369229106891,37.36228221729505,48.42703971492517,60.97886495393423
12,50,30.03090162131032,44.15062135852772,64.43577684838908,33.526192184874674,45.985857819110095,62.579581048739044
18,50,25.196103789229603,34.54104954297969,49.03857085611317,26.53720928679732,36.31790031093727,48.50986541238781
24,50,20.67707658826545,28.720761483290183,38.85328807579757,21.822919385576935,30.032961903877286,41.063490691111014
48,50,12.668055453082946,17.453489058443978,23.431279352861118,14.229407491228802,19.87690104530689,27.11923553687457
72,50,9.704268002337967,12.975756582612949,18.500284465802572,10.053926608420076,13.33794392048896,18.549458329787658
96,50,7.835020469653189,10.415096607077754,13.961216799578878,8.455839122022926,11.868187235968199,17.186544362908812
120,50,6.716846413099799,8.628142435312405,11.63512504999877,6.9788097965856535,9.267915598992184,12.155365305233087
144,50,5.667254999714733,7.464909364723231,9.560863022542003,6.818538378233619,9.46612154084864,13.634348457050223
168,50,5.102636415548804,6.8562436732542125,9.079497092950454,5.587162931805971,7.8807912642973195,11.177055124835508
3,100,55.00648749660631,88.01190912187941,148.89741676960853,64.9860421091578,96.85978459279359,141.23564283266458
6,100,42.846742440979355,61.83583767180777,94.69310936659099,43.42514422918866,60.51324372878993,88.11967205727342
9,100,36.091684648925344,53.45176505105667,82.52983398323151,39.84184830956858,54.61738984643438,73.72518806825464
12,100,32.26599041496405,51.94751505301625,87.66450600695148,36.2172252279898,53.56344062358119,78.1519758431712
18,100,27.382441070410284,40.21341328109589,63.56256358344689,28.74906534851206,42.172929781638004,61.1466114716495
24,100,22.19143904375127,33.0962412468805,49.23574951691741,23.69391226472546,35.08097400238934,52.10619285436701
48,100,13.474698060154314,19.770237270166447,28.705418848116423,15.281236615357482,23.108526128153265,33.94109181587692
72,100,10.287853477597995,14.69082167562224,22.765198454856602,10.754261491285158,15.386726311277144,23.89100229074498
96,100,8.364220881151063,11.813274925633312,17.251297426949613,9.035428644032413,13.933477352044008,21.856142389054664
120,100,7.102704342366139,9.713368511720708,13.832733039310984,7.331266049213767,10.647473344350528,14.753550558186351
144,100,5.95317477313084,8.354812030016177,11.306090704993409,7.364059310766825,11.198874694286218,17.823722511173653
168,100,5.461832450877932,7.690825074527906,11.039091345519108,6.017560736962288,9.235150920215817,14.36721778821035
