Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,34.19200385417062,38.13250067984046,43.69572948298294,52.500603329010005,59.001100967123925,65.74899580712633
6,2,25.9101039129796,29.410526837200223,34.038699553501786,37.253022778726105,42.955260185092435,48.89947582848896
9,2,21.331025505862357,24.280146093762248,27.617155866530613,28.066775460072044,32.10582753863519,36.561847451121984
12,2,18.60904210175007,21.12443968258034,24.02578987395534,22.574191263363517,26.575836110289174,30.583956727539082
18,2,14.484213870983684,16.562464785022076,18.869102786169353,20.661258970289115,24.819800179114562,29.331047724506526
24,2,12.276190868330517,14.067618073290397,16.167741629338362,17.399566307024298,20.15568149384158,23.469471786203556
48,2,8.247719994306067,9.316765291195175,10.397469059647278,12.938270087117855,14.767148815780082,16.776056218518217
72,2,6.210772600785037,7.0018015071469595,7.760604356506685,9.922268663119528,11.161192244998684,12.397889817480692
96,2,5.229655945012945,5.879590907680214,6.544483513148702,7.934173181340564,8.79233925270617,9.647054878415144
120,2,4.48446718166611,5.087607585325605,5.659156686585498,5.613506181758135,6.393055230269124,7.219985466120627
144,2,4.028716177537807,4.484127202772101,4.953389115580996,5.442810928761204,5.935210035558967,6.497631530952219
168,2,3.6678465502266455,4.081002420451144,4.489587927472052,3.9874131290599797,4.4465535709474135,4.918264443955906
3,5,45.578460971787706,52.4925509816526,60.6636461672927,73.50736128268608,80.93212265349166,88.90985768292774
6,5,35.787698095402774,41.92814823112852,48.89976006032569,54.03437272581493,61.53632227827721,69.93689113821134
9,5,29.455343953083307,34.440532608202616,40.06822487201218,39.64841628831604,45.31083804117421,52.11805440775747
12,5,25.785298519335086,30.035163150234183,34.737195769729624,33.192349429684,38.61829571054582,44.20830241211083
18,5,20.283184296882098,23.628098300355184,27.205010221709635,32.91380454939703,39.451969083576685,46.60258352953448
24,5,16.867701759049282,19.745940689459825,22.62887474574177,25.810635611083427,29.75917549346339,34.17766135311636
48,5,11.252529054272102,12.771933791100754,14.39904076118286,19.056335114073796,21.823705577998187,24.731929126173394
72,5,8.268923950258753,9.312473492662901,10.481579218192302,14.820407944393402,16.82461958421809,18.822833743898766
96,5,6.883375442666404,7.704996031726381,8.494212072750067,11.26450028948047,12.356308617318987,13.488663792545974
120,5,5.833067245439038,6.606647021975155,7.298352322729821,8.023466882009258,9.050781649953404,10.01409694065018
144,5,5.225945525980902,5.813478418990067,6.423317834942,7.693912359988282,8.437767422459148,9.175326212446905
168,5,4.756307535987702,5.289878639437719,5.81117136603247,5.282153299488777,5.903031201732959,6.5866693871185875
3,10,53.27862094859893,63.035737360804205,74.48710591008464,84.25777291279718,94.17933780453546,104.1361683929949
6,10,41.94091366130668,51.38602698703646,61.224697598671725,64.21877802288088,73.62964447889607,84.77467716819822
9,10,34.839106933861224,42.10386986786929,50.59274544433665,46.23261684313612,54.313204828303085,63.82040117195011
12,10,30.068918856157204,36.5904921264396,43.439447327175785,38.900790889434894,46.529171359211176,54.982977642166944
18,10,24.138476714901195,28.76408164433483,34.563283538432515,42.52189282465894,50.889984270653144,59.971689534810494
24,10,19.494717650794705,23.66541537787247,27.594777547516667,30.926040171717034,36.45902130507054,42.39341936064753
48,10,12.966465613059611,15.098048269952493,17.436259860212353,23.066253602778243,27.124720257372005,31.178741094013134
72,10,9.421523598316007,10.827865758014992,12.468126043259279,18.70606462273411,21.337126791303564,23.978143423024267
