Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.299406987717703,29.926729517817932,32.762322565605594,26.969942427854676,29.90397828762552,33.515049007942814
6,2,20.159237282608537,22.11808135585982,24.306782226962568,19.386075810831542,21.179006665815493,23.259288133390385
9,2,16.68700564999123,18.21702780326716,19.91479754100143,15.60805400481604,16.744803010570642,18.180383273213543
12,2,14.227112796367493,15.682305712972973,17.11833929453437,13.201380462901913,14.285342108920492,15.645638478890051
18,2,11.636396882527574,12.577246747491962,13.88425347198842,10.784151127699646,11.562151837354152,12.380342958592347
24,2,9.798090345313923,10.625136003213157,11.635402953813985,8.718094032505025,9.570890979897461,10.5487008186223
48,2,6.453980506463834,7.018343496437394,7.658331448409937,6.044853581826313,6.554611962990034,7.089726656664777
72,2,5.094353793979781,5.552731347068797,6.028189425382547,6.137084412402297,6.918414483946071,7.644566093999401
96,2,4.367065769995381,4.732796858097068,5.091186876183398,5.0449211048878615,5.32633986843865,5.596409198613404
120,2,3.880275282088506,4.175514316319888,4.449872680321277,4.89673318789564,5.123576918589166,5.3156846929695245
144,2,3.501768412156012,3.75429692772094,4.021061987997841,3.9970269483699163,4.264501786405092,4.480105146903883
168,2,3.236670437555108,3.4251079483655245,3.611180250060298,3.4778476527821205,3.620189310900598,3.762355162829145
3,5,34.542982040611236,38.47890397172152,42.90110719991006,39.80879256230551,46.16345832358409,54.21529842116607
6,5,25.185323070046906,28.188684729105695,31.39149977167189,26.780333930570045,30.777259637338048,35.3940918878833
9,5,20.92874440065733,22.982081752304005,25.25423855499326,19.73590340111646,22.068008487737146,24.509652945426552
12,5,17.743827847658245,19.728703786703612,21.63715700899859,16.607374154880645,18.66494543254142,21.335909003944806
18,5,14.279524031104,15.945192348192306,18.009235373872254,13.125422065143916,14.454178735279854,15.96205812202571
24,5,12.030688732411528,13.492436284196467,15.059956896475466,11.53208208224159,13.543696017564425,15.907759498480324
48,5,8.037554943195005,8.809622315947392,9.695621850094003,7.486293482515999,8.144286648503682,8.933255359481459
72,5,6.229786585034171,6.805131033919645,7.337584710984045,8.193060335509387,8.869899063956904,9.387184381159965
96,5,5.282662933341189,5.711871858665857,6.128089144398247,6.1433559169563505,6.346445071350022,6.52522560152242
120,5,4.678926850085359,4.98811748007725,5.31092774507028,5.822512975771868,5.941092311155476,6.031195053328933
144,5,4.1237894052160255,4.446400045324846,4.756413615051415,5.024182149919767,5.261416891824457,5.466258179582692
168,5,3.744692170131989,3.9873464974714836,4.2533233262035095,4.144408267457569,4.298545320284756,4.441736657885903
3,10,39.14295347454493,44.514199802228994,50.68613888117406,51.750561548947786,62.03811404581215,74.33973035040914
6,10,28.384684455964454,32.511136874759146,36.895792585744914,33.1180818433149,39.69105497083186,46.89998973616409
9,10,23.10783146480723,26.15794935771614,29.18819366891525,22.67836189599669,26.4331572890504,29.96326089060438
12,10,19.929808845509175,22.475182806283563,24.977279867952383,19.18790893562777,22.592620655647195,26.44106022840326
18,10,16.01330721771566,18.39734471825302,21.572007655156824,14.75449633456746,16.797562909424833,19.190678885521855
24,10,13.38906780609884,15.62744816724038,17.79870941986362,13.981068347359198,17.509714615184404,21.798765016392235
48,10,8.942323305824267,9.982359926150558,11.154087800307689,8.271067639372673,9.190392310429797,10.37435081424773
72,10,6.8414581862909145,7.526828065647116,8.203336100831805,9.342084888178176,9.795322946300194,10.112606553096095
96,10,5.757222622541269,6.238341017831691,6.751050172387519,6.634272223832408,6.799823091126423,6.913738932015555
120,10,5.06621200701403,5.438328056531347,5.821663010174738,6.179252949888783,6.241210422016657,6.296902076786212
144,10,4.481497345934482,4.842481388127709,5.202104662728956,5.60875670798107,5.816016932253628,5.999149434396107
168,10,4.020760270282579,4.31366512839658,4.632211940697736,4.516177930222135,4.674211258781735,4.817133637348247
3,25,44.56731054114982,52.59285684751568,63.7410139717293,70.09946641999582,90.81884838305928,110.9394893145078
6,25,31.542021534542776,38.34411850574706,46.18039619271748,42.74414849529653,55.12640626928878,67.51209195973145
9,25,25.364859627656784,30.194735638941353,35.38798898301524,26.49989912853284,33.19997766725295,39.540820919920556
12,25,21.970471167968896,26.02410227221762,30.44499337549015,22.698704251323797,29.203699091206758,36.07636658318824
18,25,18.098013065600618,21.774223458240474,27.218092477083225,16.637422495910048,20.40388144190427,25.43589389600051
24,25,15.034757190174805,18.628349216012836,22.482564073829835,17.70440530071188,24.891857040803238,33.38047290821778
48,25,9.72958676810979,11.449196699387567,13.3193851425652,9.024585710257675,10.521216909433962,12.32031159233427
72,25,7.3441090539104845,8.332099732459435,9.408388748512865,10.227270572945704,10.673465541151481,11.090030683755169
96,25,6.158404985890323,6.790844687109363,7.4469048482938565,7.012411516421809,7.205696188130039,7.386285817198311
120,25,5.403534315205341,5.923453597414734,6.44460805337683,6.353094457977554,6.469186182822977,6.601556821888559
144,25,4.772962755136501,5.281726873945795,5.824366681668588,6.136030528767187,6.418596857532755,6.679530680054152
168,25,4.288096142601058,4.68009803109871,5.138233390478015,4.872795883753399,5.0809026850508925,5.27664597572978
3,50,47.52790879334137,58.93110294114425,75.89619461296957,86.68866202442025,121.07206336624611,150.65075830597272
6,50,33.60757861390904,42.956493530908446,54.32176091505265,51.26564043583495,70.67491691918887,90.01582982143469
9,50,26.776539467287602,33.20691400435606,40.376524868824546,29.072745557058614,39.35809478010508,49.645858051865694
12,50,23.050944954011214,28.714900653893626,35.23312716090088,25.738778858888097,35.7088340058747,47.000784904605
