Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.54337186720238,27.87425839089753,31.25445152164162,27.057602725883633,30.547955760159525,34.22160708045132
6,2,18.60595036348557,20.782868305967302,23.29359440617954,24.29528993144232,26.928837521207956,29.140836004223843
9,2,15.267337877376928,16.949052763425016,19.036210764429207,17.297181976096564,19.30637667719598,21.216213256716713
12,2,12.796149366231521,14.362590553478075,15.960110401764823,14.691175855865442,16.30422280933479,17.955752044172492
18,2,9.94271344399066,11.119447797525716,12.351304191880939,11.420232776574078,12.438770620019444,13.648715392696072
24,2,8.084651106549073,9.09409220529951,10.200956270499088,9.847751020678672,10.835421460045731,11.811463438845482
48,2,4.760170786143588,5.382500723644749,6.0234525925041105,5.908075225109844,6.630335496978734,7.364892200572607
72,2,3.3635725124163676,3.835296172498004,4.3134686324200295,4.100657753001679,4.582341811067498,5.059573187528074
96,2,2.754130884218216,3.0831819351827656,3.469357223318954,3.2193245972908313,3.665392498152075,4.147173383200702
120,2,2.3269331093163323,2.606172942323475,2.8996935796011933,3.054892438311649,3.3808842546576496,3.6949446699537196
144,2,2.0282671707144946,2.2664180146555974,2.5374679459383187,2.531059688998974,2.8437240610460153,3.1975165784147865
168,2,1.803036098552661,2.0005489093540114,2.2276234325074418,2.048402498832745,2.308353326642547,2.5634095001192585
3,5,32.61604781041643,36.856893949066624,41.22406947110138,36.84921041038896,41.483777832329054,46.08405424810972
6,5,24.363461954740316,27.473805690285413,30.67253099032265,33.2652727141332,35.41167929377709,37.24060698446958
9,5,20.160887516820686,22.307948839371743,24.95319635457931,22.778524219337296,24.710893815361253,26.780413951309335
12,5,16.721041014161422,18.809722114117687,20.840719860920757,19.516140266015306,21.32306546063294,23.154619264315627
18,5,13.019913218654654,14.45240809738938,15.910068664221384,14.427507720759428,15.870737914331178,17.35356882652293
24,5,10.667078728001053,11.894000792101695,13.243390168887355,13.058138259936031,14.106221543326704,15.254247307113546
48,5,6.328646171018095,7.083730942678663,7.813689031944084,8.279258754619406,8.92233564761086,9.54418130334306
72,5,4.56851072815005,5.170238825674662,5.764825288200197,5.720755543857578,6.343913137675093,6.983387622264456
96,5,3.6985275139414844,4.140604803584951,4.641442404653494,4.768282609878147,5.442219461292763,6.072636774993843
120,5,3.0797411585495613,3.485459728544729,3.8635762782829417,4.299951659891065,4.675209060911343,5.029880462081454
144,5,2.6812198075875293,3.009944609863343,3.3694320359413523,3.8830102770281796,4.389961454078058,4.864382869225769
168,5,2.3382428035752323,2.6912739254489297,3.0253469284664374,3.1586010630679597,3.63442455368325,4.079593942722305
3,10,36.65253636272047,42.29589807509612,47.470398130668585,42.2691242333849,48.147174586933815,53.76148721437569
6,10,27.55527280209975,31.499346912622492,35.70522590080115,37.98734454807921,39.8775610912387,41.348290765835515
9,10,22.611709763764246,25.48529049979849,28.849615868237358,25.128628429960834,27.312493919960637,29.41124811569528
12,10,19.113412159161257,21.436332401758662,24.08750219429526,22.07654039857632,24.131838464178955,25.994904755719247
18,10,14.551169600157312,16.40687477443659,18.13088015115524,15.909096118691604,17.74791156220808,19.500747409566866
24,10,12.148071561491403,13.556060225310446,15.24820545343999,14.694006075994828,15.917957525849634,17.181431743267236
48,10,7.110547616517141,8.013841198957024,8.881279170263653,9.200157097464835,9.918073370459213,10.559010100224178
72,10,5.2668752631363684,5.966083565800128,6.716054945115113,6.469461616430012,7.307924405361928,8.057312912745584
96,10,4.163917156974644,4.787053785888928,5.431546858419531,5.8348166800138515,6.675388899579214,7.4664546165531185
120,10,3.505603281522596,4.023171163896102,4.488243550824926,5.020032917975343,5.424549842237865,5.8293594838785605
144,10,3.0296273365004396,3.48061638318525,3.9582943217948103,4.9382116686807676,5.551864243677815,6.088147497292666
168,10,2.6534513786076936,3.1628570347553073,3.6453131524828564,4.107201526563214,4.75534513222893,5.403729254461595
3,25,40.485891206146135,48.63855553878419,57.024317757000034,48.06037680595054,56.02570092897318,63.77033794032583
6,25,30.497501309224234,36.166958021885904,42.45097405709687,42.41670102335129,44.500976203475346,46.329536443257794
9,25,24.876256511952526,29.121675675439512,34.032581172616176,26.742034387890946,29.811877278502422,32.35910931622606
12,25,21.476483715548753,24.43211573690992,28.291653149414344,24.622912346303288,27.210585677667787,29.48069469306084
18,25,15.975579881910921,18.62183374270576,21.33627207291611,17.20828325011022,19.766362563005018,22.39153846772905
24,25,13.326882938251721,15.460252936926047,17.917778877468237,16.1092733067678,17.884515071457663,19.57594971754829
48,25,7.878950144805918,9.004378568736788,10.192666929631685,9.854632987635009,10.794268181152738,11.713209002958656
72,25,5.868272330255664,6.8813641721045204,8.00912744957487,7.210344443449763,8.345065628644102,9.43859512947488
96,25,4.670632147577269,5.547403911423229,6.441607681189737,7.135383240446586,8.310744786885913,9.410229576281573
120,25,3.920511735336526,4.655798183813654,5.4485172866581415,5.712027276734798,6.268909888614635,6.86347985723601
144,25,3.366606572793832,4.051777062262266,4.814187702815746,6.451240039668568,7.204146326956733,7.927604970749707
168,25,2.993539378224562,3.7754608980518167,4.582631358412131,5.458800107457486,6.53207499342566,7.474575301755794
3,50,42.649512774646425,52.98979572966546,64.92223545246821,51.19687553038345,61.540601995211006,72.32904744324887
6,50,32.40870071394917,39.35120098341414,48.572772944837595,44.4747361069635,47.33419843773341,50.07589526078421
9,50,26.16722180677897,31.57090453617974,38.08660665948378,27.580592697826354,31.238377405337822,34.43764239965797
12,50,22.652396904962487,26.443093303773423,31.913362823117538,25.702308519806188,29.211595612010356,32.27394748070652
18,50,16.684508287515857,20.09936661455415,23.721269861335212,17.929376092730728,21.05472834385087,24.35472296437223
24,50,13.996452667853319,16.744119581098822,20.10500396706028,16.904364315033686,19.149704735913804,21.355817350372227
48,50,8.255747638631398,9.625916361867194,11.219508287871815,10.082950855961744,11.252920415522627,12.386048203259627
72,50,6.212780365195906,7.500794373807267,9.081762063952894,7.522882476680779,9.007463827765129,10.493145259047527
96,50,4.965166632166232,6.073425677469382,7.334163716427554,8.003636094182356,9.588191761908185,11.138880636318845
120,50,4.160365787669253,5.093576607337684,6.2731910766770405,6.090169531932837,6.831619944417207,7.607345633851182
144,50,3.580744209252029,4.4591555413574735,5.566663259904919,7.533671001761633,8.582094600216783,9.572362190490116
168,50,3.1899807876584854,4.24233285814371,5.370297168555672,6.526218941303156,8.176399462777013,9.591304226110825
3,100,44.30953997305657,57.03194836586056,73.29486907585343,53.67487533824206,66.78002027906163,81.15582389724725
6,100,33.539101101278526,42.295293283302044,54.761826829636746,45.94159370086468,49.73573072459767,54.03269884222445
9,100,27.198115152156397,33.81108617896804,42.29812420470312,28.02914497041727,32.38027964872361,36.497660609061
12,100,23.52120721433382,28.27720444521735,35.808442604294775,26.586746736183365,30.997472879199016,35.22672033493244
18,100,17.26365967094872,21.439827436321067,26.45387788470859,18.463435243866492,22.18790477858969,26.481055107534775
24,100,14.56220674789327,17.91943251583256,22.29050235120193,17.555995661902976,20.268655412033706,23.324641477289756
48,100,8.53605165409903,10.161440800529393,12.30350223116901,10.229628998116066,11.594841591052083,13.012827787742523
72,100,6.489503346154278,8.069650318813023,10.136181891428087,7.776923080299078,9.590388232567529,11.524595600441033
96,100,5.170497259075441,6.565565478915799,8.298706153101058,8.669225437053818,10.91807201514305,13.116162451414194
120,100,4.314926017223205,5.503249929780411,7.113924148558345,6.380289315966049,7.343678092991248,8.336318172780457
144,100,3.754249645226074,4.850264466115415,6.353729972145327,8.607389739357794,10.09647737671825,11.58123480533345
168,100,3.343161519829985,4.7164798452410945,6.3419985507410015,7.659096294284573,10.152066324541178,12.17056361798658
