Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.912138821444717,24.654900556827357,26.765927714566853,26.7411272662166,30.31576155292694,34.363698239670754
6,2,17.273168074288556,18.559396671301297,20.055140064510432,16.942301179515184,18.160221227604158,19.6811824105832
9,2,14.414687920708264,15.463158910097786,16.69041952149073,14.060289528845683,15.18826393828534,16.59828491621892
12,2,12.294477580171264,13.406561222199752,14.70027521085009,12.191597831165513,13.231460627779434,14.504067380139656
18,2,9.75423386604992,10.739686283114404,11.696498738028799,9.302204324282476,10.41610993510357,11.664661619705926
24,2,8.24146984632987,9.091022765120519,9.899991424095653,8.025428179118075,8.801316875283632,9.599691056905444
48,2,5.3498091372091485,5.924199771787706,6.492351587614985,5.748014431261446,6.63348422504788,7.526996717784714
72,2,3.9373219828584887,4.371386175376933,4.810117958191978,3.8792727587294626,4.365857189823119,4.91771641312473
96,2,3.1896935745433694,3.483233919893738,3.8043986541643635,3.031328899328061,3.3564076170746917,3.7255721154024064
120,2,2.767111571688036,3.057276197113165,3.387771570591375,2.53332204878124,2.82449859716855,3.1500623238072656
144,2,2.398654260805766,2.6557739003460585,2.96224426557979,2.15057514625154,2.4122125584415564,2.671908678288658
168,2,2.189694336197536,2.4337779588157584,2.7048516659341004,2.1726048708433887,2.4319405228756574,2.6749861256859546
3,5,27.70316322758562,30.240454846869525,33.13700660209634,40.48681235611741,49.32321684485173,59.10072145308639
6,5,20.573286005499078,22.732633577470537,25.15264623484329,20.60475918395175,22.971869087685402,26.349791372377986
9,5,17.39706758656365,19.104653498036974,21.038550146919945,17.585253103616974,19.484536008581454,21.65690919577088
12,5,15.137600589733456,16.803379996774524,18.642229952213626,15.279201951212368,16.9710060406366,18.875763539519745
18,5,12.30848858737346,13.673581362824393,15.148800186913842,12.506686142697905,14.403298219289514,16.429749215559937
24,5,10.347464579399835,11.500734841056131,12.69840848780105,10.267152395295442,11.28394263127955,12.503050304608195
48,5,6.885071248951281,7.591241780967994,8.338289733347231,8.417368287329387,9.36217918313546,10.301415701322407
72,5,5.014326316822759,5.611629552451361,6.207201930258851,5.39379178947485,6.143109468716803,6.879717024127723
96,5,4.070208010589882,4.503934511213352,4.99160981717953,4.080067850116381,4.680772157365851,5.299244238634041
120,5,3.538868052438798,3.961663111737285,4.435673415636129,3.405191456440079,3.8293134760291423,4.3324016666865415
144,5,3.0902998450580554,3.5118638781147467,3.9349699099891913,2.8876852970232636,3.338956949850611,3.8246076298673097
168,5,2.841389144900127,3.212845603124084,3.682785105659832,2.90491368149908,3.319599893351006,3.7297301008925636
3,10,30.435823681388655,33.79312720857652,37.61935695672336,54.62672137543187,68.13683489521277,82.11413744504185
6,10,22.534495764073945,25.70406535412431,29.059194147792965,23.191900948090634,27.157688369952037,32.36034764212961
9,10,19.300462720849787,21.666605401262323,24.410946888817428,19.72897824872925,22.88906972644433,26.287440029599622
12,10,16.82439483026336,19.131649980659454,21.94318705521226,17.409817888651627,19.81832690431292,22.73369939391663
18,10,13.837438661847244,15.61883920033102,17.66477413779652,14.754991970138855,17.414036756362012,20.140000269478257
24,10,11.562702217452227,13.100707364085785,14.861343931549726,11.500691241331918,12.889363677857988,14.621745359253305
48,10,7.681739466967809,8.60131852528782,9.573658415087897,9.974523316017784,10.929438125656569,11.765849415240702
72,10,5.583311374646616,6.383153631169521,7.172677520497448,6.298611709952256,7.353322207559252,8.256061858849872
96,10,4.579326363375603,5.2028120373926985,5.9352255016139415,4.823916757632652,5.793774316753657,6.758906526841626
120,10,4.016761786042238,4.556878822167686,5.189326777400151,3.934008583833318,4.569345418980502,5.301848925048066
144,10,3.508119299566195,4.114557863286339,4.72619668519198,3.3552509434474254,4.060408341557386,4.834513482210427
168,10,3.254904655909993,3.75880784329782,4.410010840968987,3.4164586674905717,3.983788438733887,4.6094942071465415
