Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,34.70380242560866,38.35903389835689,42.147348739304405,32.78098847363699,35.7060144361812,38.670652342977874
6,2,26.733630770967483,29.828600255037387,33.022571753392434,25.903315661372936,28.405765907348435,31.206748559746487
9,2,22.204487311800058,24.897388477404085,27.657070184443334,20.83454449237153,22.98982398380237,25.59750971620547
12,2,19.39993469606592,21.65301558292128,24.288506579127407,17.03202148302183,18.546331661260712,20.14085390124534
18,2,15.814484579974025,17.735807793843968,19.650404385506988,12.980994764212436,14.52127762522148,16.36788795381892
24,2,13.989288385609559,15.342910533302295,17.158649102170358,11.03197286009579,12.244406518636378,13.637612577224168
48,2,9.28978831310671,10.177388494995737,11.23680076916453,7.874502222641926,8.52924002344186,9.286836984293883
72,2,6.986613830750595,7.851218889443825,8.798204190712129,5.664377007815151,6.247395796042007,6.872839698724859
96,2,5.933782375359691,6.61042460208548,7.31410937825992,5.276498751541013,5.952044431130444,6.648731977014872
120,2,5.126160053487389,5.663150560168031,6.296232460033325,4.452272749313106,4.944769424275787,5.478018920658706
144,2,4.537514005522871,4.997009560396682,5.575143473488109,3.6158035902722094,4.030890685849333,4.484030244038004
168,2,4.116663346116449,4.575519601648741,5.057472194457244,3.5227402497747713,3.896121423493765,4.345831738314189
3,5,44.19830037940485,48.28593530400241,52.959960950987266,41.3873792142073,44.926206777988305,48.39670985816042
6,5,34.250500255648305,37.92537346135314,41.45271654749631,35.379835526796754,39.23000618696369,42.6243099400877
9,5,28.61560339592434,32.30617264386549,35.71571444194285,30.40531843102425,34.30583737523764,38.38650330984086
12,5,25.063543337537503,28.3377005097027,31.90152608955011,21.702220655693722,24.00207840934045,26.397057577968788
18,5,20.497551782372675,22.99531355126449,25.426373320595154,18.739280055225375,20.936330335002143,23.669617532726647
24,5,17.9903333511839,19.983404418179013,22.400664457423787,15.568966155727878,17.78584409396692,20.259144153014308
48,5,12.057353590648304,13.457860513910106,15.023091762700982,10.792301880411223,11.803580828110947,13.184331650231552
72,5,9.077652718190144,10.370806664799634,11.693849646627884,7.582792429407599,8.649865253834601,9.832092950037726
96,5,7.785980930558896,8.692556790231773,9.67783850721275,7.428558956558524,8.594916417290666,9.933883642050061
120,5,6.556647672078844,7.382506698084422,8.230130958804878,5.942601786931738,6.6538587352972876,7.468638557094482
144,5,5.868059440257139,6.491554344187743,7.249530058528738,4.847801988651576,5.471872694964155,6.232970572981815
168,5,5.2853114700707575,5.88169323236669,6.499745361680526,4.585966461337624,5.119277534585855,5.784894821256535
3,10,48.93209892127692,53.94090121564757,59.1847662322412,45.60812453691574,50.10889317327273,54.06976097259604
6,10,38.039041243574545,42.58983823607839,46.565701637075534,42.33723319759176,46.762398557081156,50.47871359489224
9,10,32.29756731501164,36.810597085353095,41.200721355754496,38.87809633873523,44.09331022893851,49.25785717701137
12,10,28.41768033960757,32.50014829834328,36.776354438061915,24.583580159040466,27.62348738628411,31.1039608499701
18,10,23.081122123842288,26.19445253452348,29.43948750800822,22.11917382112968,25.582227525611902,29.689129420264983
24,10,20.226462701303106,22.84538972830539,25.911469480112373,18.91853620904986,22.33270010016339,25.6414473232835
48,10,13.728210632838016,15.688894991968514,17.65122104112678,12.46433111352144,14.249890469747234,16.38440948866973
72,10,10.311338208719054,12.08134107884823,13.682611291061662,9.075681855891057,10.624847057842416,12.523661613709887
96,10,8.809210014030132,10.013956966659457,11.28280759343234,8.80257084617364,10.597885832168854,12.638843242287521
120,10,7.34383121658776,8.469136445371126,9.528657030232122,6.76872054979998,7.812958258983437,8.995299913890308
144,10,6.5702775786813135,7.432401164388172,8.446849965678737,5.528147918707892,6.439602656911587,7.421759458253263
168,10,5.92819571208528,6.700533437207836,7.482445905943427,5.126994480272907,5.901919104871236,6.744561167886458
3,25,53.291995212028326,60.186570809767005,67.10692671606029,49.42575305030803,55.822491726826605,62.425643931703576
6,25,41.64642996387536,47.793160825956,53.886173279662884,50.93908196414088,56.761261552457185,61.99619393568702
9,25,35.745340635384984,42.08264031247209,49.21121539802613,53.16921602206047,59.91902821569592,65.75096039181942
12,25,31.728763677559407,37.477217544940856,44.05511812127126,27.401938501714483,32.2585169774193,38.28028547277789
18,25,25.808485921034034,29.940280165618468,35.073374046677905,25.609112089653856,32.0084938661805,38.47395572269622
24,25,22.489021031184528,26.238223104908222,30.729177646992817,23.364191138524532,29.374648215456702,35.06273174369416
48,25,15.716023305481514,18.576951444191245,21.95263065590831,14.506540986027677,17.73021298479756,21.507660755424457
72,25,11.604934906702402,14.292078841690033,17.03593664589873,10.47938354421426,13.717115810016903,17.154438574924765
96,25,9.816604928558672,11.621141969892065,13.48578448523584,10.25773520566981,13.491956837523405,17.13915763827952
120,25,8.155977745894209,9.785840676106341,11.595227500862025,7.721129803099158,9.325040343525465,11.203702139988948
144,25,7.303781603042658,8.568445218526593,10.116513073037062,6.297897441961943,7.689959722417241,9.159140553875947
168,25,6.571716205715042,7.685566041090544,8.994978033966678,5.690137600967915,6.872494029672427,8.210061221796256
3,50,55.55600286657432,64.24872231907264,73.44854131342056,51.44499687715769,59.562129722335634,69.21886358173865
6,50,43.678591712309014,51.21071660183502,58.93478763138526,56.833825399375584,64.5705417934232,71.43320860873538
9,50,37.64614592715996,45.712377190137204,55.53591930213086,66.4788042638369,74.83143899961281,81.91589403402423
12,50,33.754889583491156,40.976265183135574,49.75917912873723,28.828863156747204,35.769881570763935,44.85899477346482
18,50,27.477910227682962,32.520253887318255,39.694940728040095,28.086350629178632,37.250812140437404,46.1975910056894
24,50,23.79419376410423,28.603562259711985,34.919070251848055,26.116701966269325,35.769705823109966,44.27845176437876
48,50,16.928574076223683,20.770499309044084,26.000946197245057,15.930052282086411,20.647060147538255,26.87621113085833
72,50,12.472918114715508,15.968585441733921,20.12979220631216,11.456759411987738,16.57392936824248,21.952953552185303
96,50,10.360120489226047,12.770017192727632,15.560255086468295,11.124622266762941,15.957667692842222,21.899768233224762
120,50,8.589433629037948,10.72363983657161,13.139751350047273,8.226484959643244,10.491665815432725,13.239546660361373
144,50,7.713103118613594,9.374794328620148,11.58027182078204,6.754634710594173,8.6452145440663,10.810356193114453
168,50,6.9472163574982995,8.38218007998522,10.210352414293176,5.987295319907516,7.58643086533711,9.318322249927958
3,100,56.96961671308182,67.85613498961376,80.15343274377469,52.86844112749739,62.92278378862875,75.45437918003424
6,100,45.01856438690396,54.27089514978918,64.40875965940961,62.476931579120574,72.6920303895346,81.9984801466403
9,100,39.15166950352492,49.09449773474289,62.65520834124257,81.98998608828548,93.01470675262959,102.58798325801475
12,100,34.89535931215363,44.294795372272496,55.764215545306286,30.004888440858586,39.34206181232946,51.81979140668241
18,100,28.4651825234099,34.92502687971051,44.313543490889515,30.312854751289724,42.925452932929865,56.50210764119497
24,100,24.765035888547686,30.830993873462994,39.07536858796929,29.083790229436914,43.348658505920916,56.697214872256595
48,100,18.03419770193932,22.991801493202,30.473027630417818,17.22780413501771,23.87800098767327,33.39494383840456
72,100,13.131522945856261,17.66406938570238,23.605042085425264,12.392180672186441,20.027371972234846,28.377177439073268
96,100,10.785832160434826,13.875092369616446,17.91304477145546,12.0259839223923,18.730266324619237,27.120563458233825
120,100,8.965295907698499,11.622901088421237,15.029289136432833,8.703195113392788,11.696886418732483,15.748660331482046
144,100,8.043761476301928,10.145758392290631,13.140735055568095,7.148545189335097,9.623508184028573,12.72271761530013
168,100,7.22210069178632,9.046167714953835,11.538431058268177,6.260858883611235,8.29553538805071,10.888530975854662
