Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.77667402042689,24.25830872242653,27.153115006453724,22.41974907472804,25.737144032989335,29.48642253033197
6,2,17.14753341962753,19.159617948507698,20.954563645890325,17.178108132826495,19.15051596457363,21.104930473490807
9,2,14.337625247164762,15.920055452981195,17.43107601503336,14.954437003061546,16.651866785217567,18.52518620630822
12,2,12.454519878410963,13.899664018882035,15.42394641060286,12.3890488380529,14.174066021120066,16.254443524557118
18,2,9.947405058551471,11.279912336620727,12.616242468062865,11.318596006823746,12.590739431127178,13.783375108170134
24,2,8.481853743207648,9.610743369889956,10.76095255025346,8.968722785050971,10.291487565858457,11.68389247981115
48,2,5.2586190393994245,5.856722127397245,6.506453442229493,6.395887908036424,7.199032170247311,8.00384729624728
72,2,3.803202751678125,4.3019129234561255,4.813527034398396,4.139441676785378,4.604311294556022,5.131407453109872
96,2,3.186387103815701,3.5449675545190056,3.97913521454438,3.0801333268006488,3.665592073411337,4.218068395820593
120,2,2.647019529985584,2.978744440663321,3.3256135894582783,2.6856001962032714,3.0751827707184205,3.4792035136439696
144,2,2.3748547595554617,2.649305050913222,2.9922320906964663,2.6086892628891416,2.897358551532537,3.202890061334268
168,2,2.1275039965497564,2.38040163179049,2.686286546345573,2.2476738242764194,2.5834025158109784,2.9147606224597817
3,5,28.622578311359625,33.08526174362382,37.75317152767583,31.3206144094029,37.216050077004475,43.442262441294716
6,5,22.381374902172716,25.330985579778286,28.031036226704416,22.584987347452376,25.328414111825268,27.909202318350545
9,5,18.40382108081751,20.850642102761814,23.227911010046448,19.793906531019005,22.21666834842712,24.915253922862526
12,5,16.159899860162056,18.415834769485716,20.627392700835166,17.49727142002004,19.95357423635475,22.612924507554027
18,5,13.264033448388876,15.027578506211356,16.952524762554788,14.957921272959673,16.43659437972824,17.87418589925535
24,5,11.244082435495267,12.7695699590255,14.303326031956127,12.534777765412993,13.949325397984609,15.532692038650353
48,5,6.878464926199397,7.70374641217707,8.562775055427817,8.974348452809682,9.99569970910527,11.190233761809298
72,5,5.037586113041252,5.694860230835974,6.428428840438862,5.435952235166757,6.017386052972217,6.593756303039482
96,5,4.1541036214898135,4.685816628142479,5.210863633765891,4.5474274329260815,5.174567918821852,5.756730990097945
