Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,37.45612647036718,42.001704434197734,47.06290195553323,36.64178919280137,41.79810291913195,47.49148892214819
6,2,28.625912074660043,32.40613626370516,36.17100682624896,25.594566414967467,28.119623803863156,30.705263983777833
9,2,24.21737037954619,27.25198788131071,30.85900184576483,21.091447161831123,23.73567619231232,26.560876422077115
12,2,21.271416788924753,23.97450693260224,26.968045300461547,18.617021112126366,20.731413387821952,22.956787170800247
18,2,17.563576631374502,19.85245972429,22.662445962291713,14.68025654213209,16.4743842309823,18.475442734803096
24,2,15.176756587097266,17.11205437159457,19.166160796730118,12.411627390368388,13.846273320697719,15.34749658792868
48,2,10.10172549230202,11.23967619483569,12.714709081027046,8.836473039432565,9.731191287384405,10.77847268152458
72,2,7.868092609326691,8.772761052551,9.854224170802393,7.214042576277903,8.134236137197568,9.21535720990878
96,2,6.6724784803354265,7.381833924291085,8.251205386899773,6.107560762076876,7.537448688816648,9.434235543882858
120,2,5.625358014712705,6.318157483594417,7.062653331259946,5.550244247440775,6.414880754762542,7.369522992229254
144,2,5.000026543651479,5.566587502142588,6.139109705564475,5.078963206342375,5.598734624252334,6.1330492307965585
168,2,4.559965854981531,5.031165282136551,5.549392463509098,4.570544861372145,5.235707509363094,5.9220504988939755
3,5,48.72564621119895,55.02448931267662,60.986026533472284,53.874296159343075,61.381156529297755,68.33443920782054
6,5,37.86921900007444,42.930644998501855,47.86718143441044,33.620490925896185,37.58506836272168,41.715600055375205
9,5,32.25164632150479,36.48227746645745,41.28306325874934,28.402593878887632,32.240963164290235,36.14297560747334
12,5,28.707979131741,32.18612617876254,36.21192101595787,24.51520929993581,27.633411834624617,30.316680206217477
18,5,23.395122673172597,26.18414288665527,29.300121455879264,19.726574999861217,21.941511095726284,24.299705829198246
24,5,19.921099870555793,22.571336635082034,25.106013241489983,16.784302352206687,18.448441880665673,20.53098968223958
48,5,13.29380941372752,15.10066617258239,17.40700048286905,11.516818903636942,12.78273354911926,14.371707279590707
72,5,10.33171208051192,11.754835058597411,13.294827637563149,10.113793783698526,11.571736140898247,13.263708110818708
96,5,8.745995553276877,9.78523802140718,10.98715989103594,10.8799922218066,13.654324687532299,17.177843492987968
120,5,7.343444311979094,8.353612283059311,9.372658491561847,8.56545493299395,10.204552454444743,11.865859123031232
144,5,6.491766552853058,7.32539234057462,8.130042352146267,7.042194688783977,7.852815562342467,8.674602585410693
168,5,5.772954087631585,6.5632452335461196,7.235986418181607,6.987747133867636,8.184060731729616,9.256321490560602
3,10,55.540001447901474,63.09857602014877,70.00760334313267,66.06803454162058,75.574001059333,83.04787991263922
6,10,43.25113352354005,49.63349282486884,55.857079540417715,39.07257061217182,44.557383293177814,50.544246603687014
9,10,36.83156461901694,42.44372233103944,48.69963961993376,32.90906481660668,38.33748557548791,43.9011871881205
12,10,32.6854105680583,37.44515432372427,42.86421071053387,28.108182765941883,32.06146848131843,35.918439889066946
18,10,26.34024497124193,30.000466039633835,33.59735054926801,22.374783282419607,25.1457286259269,27.86702924395393
24,10,22.354453736317808,25.943807285414195,29.16424533420132,19.048061165693944,21.142814762088484,23.578889680746578
48,10,15.348987883246938,17.871002073866862,21.381177951422035,13.028078781030754,14.959807434814223,17.551015712435778
72,10,11.893325378655925,13.894012417063667,16.04938729657064,11.986313118608916,14.211496168782915,16.684374542386845
96,10,9.88200603501889,11.41575182469889,13.208115990379925,15.03700320454482,19.013513439027196,23.2549080638237
120,10,8.365402999042951,9.725608425567511,11.20590178450384,11.142485248370987,13.302921167881177,15.76828401253843
144,10,7.37964584645443,8.492264825625561,9.740454336615972,8.536694412515436,9.70992106991254,10.881810181493075
168,10,6.567468933100425,7.588790422161497,8.613760938338496,9.08061662194984,10.687876243678051,12.089284954510436
3,25,61.57370991959387,72.71548877544443,82.92891451778274,81.69076636273704,95.1130924349165,103.6379647419345
6,25,48.2721265642989,57.811848527382026,67.80484894282884,45.37486875928331,54.349331274478146,64.77789325681205
9,25,41.58169817706112,49.80954402920253,59.62317302750942,37.784945740871954,46.69365797086007,56.010597738517546
12,25,36.990319454835316,43.89404991684414,52.33467151570899,31.965201964412564,37.55571746177193,43.36222684672667
18,25,28.898585917325203,34.43267028486443,40.10049115640133,24.94745997399633,28.8106202340551,32.98428185230697
24,25,24.896830566864807,29.947662840988436,34.53151942692003,21.18666843046332,24.22141842039813,27.450170863153268
48,25,17.453782892734505,21.635647681412227,26.968963332149144,14.770610825962862,17.95206437588166,23.106291231635833
72,25,13.414836494314173,16.800327231783655,20.57271621784581,14.304288074492916,18.065004317839136,22.487503699903485
96,25,11.070516705062573,13.52173312957364,16.575269287802815,22.40215783975995,27.79001870309275,32.55834389779331
120,25,9.281398116625924,11.487369985231258,13.982053180440678,14.239508993559028,18.0728822078856,21.87689406735357
144,25,8.39190669303318,9.96934044462899,12.14928025389295,10.368598367891728,12.596456455783368,14.646602175015328
168,25,7.35731402737656,8.89744112405114,10.593503548545357,11.967144504199192,14.67740155375703,16.86254402939987
3,50,64.94706623573097,79.45095519761671,93.98979071893561,94.81508156783673,110.91391850729481,122.31511927426908
6,50,51.30967503524782,63.6761230450675,78.99118818314835,49.1837130560463,62.453502322498764,77.96800611606011
9,50,44.31557575076074,55.15635129838207,69.20988748163353,41.07957566398442,53.45204426989734,67.74495085202393
12,50,39.095975823629075,48.54083575125219,59.861828556448756,34.09495968674656,41.59311435489739,50.26590933768648
18,50,30.070860379051727,37.461125268445194,45.15465538025501,26.33861596510121,31.296920372735507,37.24610068954543
24,50,26.44346770195964,32.742974208402515,39.25802927433423,22.16054157097173,26.307989630731527,30.658935433244487
48,50,18.78443558086053,24.63265481513344,32.72034287185744,15.71826641946027,20.393117039166018,28.687796727112396
72,50,14.523957732054267,19.113530323378548,25.100436935019825,15.836481159007146,21.377035047831864,28.353793300569805
96,50,11.762251634708697,15.117815531827285,19.73305409276013,29.533056295864775,36.16570749420517,40.71838769540795
120,50,9.885634572378303,12.815028591019665,16.593842998936243,16.56406205119967,22.37162875913571,27.757063008355512
144,50,8.956528129450803,11.067091536646718,14.313258192832205,11.75188317843137,15.226827649654442,18.559140303774896
168,50,7.877025514528976,9.877644443372951,12.46400670428572,14.399365822645612,18.390892304337225,21.956553778443393
3,100,68.12063258906018,85.81849979179694,106.23984492567698,107.17274889159535,127.83535461488472,146.4826362823892
6,100,54.220560937474716,69.33160480646131,91.91128105504633,52.658100659653684,71.33314024888729,93.74675866710405
9,100,46.850448720714645,60.36665310610503,79.41420269973486,44.133901149146396,60.71570530215429,80.35938028922126
12,100,41.0758810320722,53.040742816974515,67.88205254196856,35.93039330326025,45.59473181877246,57.974133466420895
18,100,31.219580434735235,40.26494077932075,50.564465720155724,27.24335199500564,33.599398239635754,41.17761936335744
24,100,27.59819927338622,35.37849545280671,44.0353490052276,22.853136774605282,28.238947047071797,34.46404637908593
48,100,19.814856004572917,27.79143438886023,40.014991248735356,16.408183273722162,23.049472773062487,35.42620703309398
72,100,15.397226403186183,21.551152993274908,30.98909601594511,17.237543599212497,25.126769610439418,35.441653283249785
96,100,12.408833214278099,16.731121314166014,23.185083252325214,37.282015064847904,46.495157577946586,52.27369086429604
120,100,10.405147145194313,14.150568730599094,19.628192662707804,18.6871985761793,27.425448658555666,35.109372871821776
144,100,9.41437854736193,12.15840104951628,16.72175291876264,13.174760381643805,18.353553536930708,23.628034584086425
168,100,8.295724647571124,10.858576782705736,14.57278419935384,16.848900443438627,22.87754031513839,28.48364391770677
