Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.13453956195348,27.91556265850719,31.48117368137914,25.264481688306667,28.735801490751918,32.41216526755561
6,2,18.999553188916217,21.824296870734095,25.170515024757343,18.751684035810847,21.227275191485692,23.965621636230896
9,2,15.541655538814847,17.72650173654246,20.429312277761586,16.567048883200727,18.54247229063194,20.947419240248003
12,2,13.295486806102879,15.290878465422395,17.349652777656317,15.370616921371152,17.408770905059388,19.571383004302326
18,2,10.695384747323342,12.002990267990153,13.483048094738106,12.441085781552474,13.887317361982937,15.36293457477802
24,2,8.885008932428356,10.087831099302926,11.618881687334154,10.20854516541383,11.527329086815431,12.904442732240788
48,2,5.296010019598369,6.140788770610946,6.967611302574914,5.1952962713667885,6.16832914667851,7.338554116008641
72,2,3.9973514682648075,4.60618744078687,5.377726462796934,3.5478582215446908,4.388746504206789,5.415718498008372
96,2,3.3253162764405664,3.810196912939861,4.345847376579714,3.316954690044623,4.014899805580734,4.83413487071334
120,2,2.794333880638747,3.1926506356064674,3.6412280087361104,2.7705544481030944,3.304749303103769,3.835281586593763
144,2,2.5332431367374317,2.8928376189241036,3.28000751164085,2.1183019439598567,2.5198754611940988,3.0161229324147785
168,2,2.233728715586837,2.5609797552029336,2.871158134955943,1.8287984438140255,2.14210088709921,2.489822699198121
3,5,33.27984845738384,40.007989183806274,46.01443942637483,33.97178667772337,39.2995959724808,44.552076501418185
6,5,26.791435875388945,31.32475079095625,36.46126227872547,26.159876928633835,30.500345092101647,35.90231977599311
9,5,21.469385109509133,24.83433780062606,28.715534741292362,22.427287135752724,25.739540233145785,29.75801919344331
12,5,18.11171455714583,21.09100372312562,24.236107448038688,20.6844148435014,23.66841086954525,27.159214910325005
18,5,14.417636116873865,16.476247844234205,18.734168046642637,16.385601975893444,18.616705462755068,20.701651969188816
24,5,12.27791385616634,14.021327389535582,16.147889820488544,13.719762465699784,15.743672286302017,17.836397413118064
48,5,7.4679523929583205,8.779953759208565,10.117503812667438,8.171257881843989,9.904846403132684,11.855710553456706
72,5,5.614813714001455,6.533580236549105,7.544665070492854,6.263872340125921,7.64030053082435,9.332826250995383
96,5,4.615293558068334,5.342987353176304,6.091374482387464,5.310354079904629,6.331011905260204,7.53604987986288
120,5,3.8654732631985724,4.449506507994693,5.064912404775365,4.13228230904944,4.83159185616989,5.546063861143934
144,5,3.5089640846814243,3.9843585251671056,4.46653402754558,3.432653223491785,4.009842053981407,4.654672928388084
168,5,3.1170472475094506,3.5328355696129385,3.9471087603747566,2.9805045470400953,3.489575958758555,3.981963514464982
3,10,39.29023973442524,49.104596430848886,58.3836663509409,39.524860106194176,46.875964617332,54.17061740909911
6,10,31.977240736233078,38.33204761576844,45.56036753728738,31.196718172162317,38.458327979929024,46.859265694679436
9,10,25.11465323376795,30.04505320186251,35.72937504837517,26.19356884085125,31.381861036653298,37.572261920561296
12,10,20.893496960958515,25.177808913875836,29.746851836809398,23.766270221104435,28.02777113674763,32.850335238692516
18,10,16.565008917755804,19.44907443674698,22.59113935731189,18.762049515553613,21.662413815543616,24.323448155829198
24,10,14.011046294448064,16.61237836057108,19.39336945995269,15.861692637432913,18.542598025335362,21.547066586880078
48,10,8.850082862180864,10.62013194589725,12.776611571165596,10.245901714317965,13.046937177987562,16.127423351372734
72,10,6.5854325562651415,7.804897932592816,9.173326549792874,7.909567814114352,10.128261455167092,12.361782252950809
96,10,5.426843056401516,6.341595327732861,7.4373869629414715,6.6389540912855995,8.013650809364265,9.658295699454575
120,10,4.475770049108813,5.2438057009726275,6.053931799555015,4.930413046939427,5.854986201810555,6.808623870254726
144,10,4.033195282888958,4.63938096894139,5.264401796794289,4.243187379467813,5.014719131869858,5.830194906715979
168,10,3.5707379464970144,4.12535019940807,4.678450697931061,3.7857588925702474,4.461255275127383,5.1753081265983525
3,25,46.49754067060472,62.01037439778235,80.52951475889448,45.91603641574453,57.279061373053096,70.17175968164757
6,25,37.30966749737893,48.09638267654893,61.95396237826189,36.45725200531318,51.47230970941702,67.46668698967852
9,25,29.030720801208,37.265723957646884,47.56919421139346,30.660854504763,39.80252881396286,51.74649758194532
12,25,23.666026987248607,30.640561777753092,38.56332150580138,27.41115292366024,33.85042623300318,41.13058770869043
18,25,18.684517458870673,23.217988762170787,28.190719460169802,21.129693268086786,25.44966812673494,30.16809985090145
24,25,15.817961483082318,19.871142190395467,24.14033492495082,18.104308565505306,22.12256495521312,26.586091916096052
48,25,10.259560136488764,13.05658390802354,17.089319575285316,12.799294537817502,18.04102187917064,23.53647901886088
72,25,7.60313704114078,9.405781474353512,11.614855667120999,9.91162417370611,13.740752485127345,17.32570035779478
96,25,6.248793719211577,7.5851424729592924,9.533040994923365,8.162757262414974,10.346456716392003,12.68590134925396
120,25,5.057465788752081,6.2062495776705395,7.4294888094021445,5.737492743816198,7.176211613382913,8.670685810410845
144,25,4.484830002736605,5.3971428519554685,6.3042532412463785,5.177655335823893,6.315758462431747,7.607753932492112
168,25,4.023979646592281,4.820559929975058,5.654701013628461,4.725119161458873,5.796391866137634,6.913595998319448
3,50,51.8168433651508,72.7205036742724,103.53114388627068,49.281258099883104,65.7162480192211,85.9179851750715
6,50,40.84286176996465,56.0603035790356,76.42585265160439,40.02808011336617,64.03544165199287,90.79162788274249
9,50,31.76402282495391,43.12354186415261,59.2101318431088,33.974674398201195,47.2139249523716,67.50246411555524
12,50,25.818362127790255,34.92060738673772,46.474831472677494,29.335500159498608,38.44526192391245,49.85059251994106
18,50,19.939164564664303,26.02320373871607,33.37746801140594,22.541463087611866,28.23619912512161,34.75646378050179
24,50,17.059906405262254,22.277880605865093,28.469118822592115,19.345539892744146,24.831821966038966,31.76743705330745
48,50,11.223993890959045,14.94804449006201,20.95290173365491,14.806255444796166,22.70203966715578,31.321324241603854
72,50,8.188274564203347,10.589504242494893,13.878064709504628,11.225105840360566,16.82392319021323,21.685610276604514
96,50,6.696484330017668,8.494729749360536,11.164742108492366,9.080260980011708,12.252941616370725,15.618050151678037
120,50,5.35689474374999,6.891709463596509,8.639035054766886,6.225996002141515,8.185589722872692,10.251586815576186
144,50,4.7601477212547705,5.912930157532422,7.208568573394899,5.694974233604498,7.310305881925741,9.177039199974587
168,50,4.284982263063653,5.300366498707479,6.468738994219582,5.270998465387706,6.87625704241716,8.490192211043954
3,100,56.25114148124953,84.415764113853,134.08486451069422,52.76139275207498,74.81361145322002,104.08449158744395
6,100,43.842497407921755,64.62915747015019,94.98048315981393,43.220955022369026,79.8337844060811,125.33699519434683
9,100,34.28195749481724,49.39760517725772,74.41241589738195,36.722258171584706,55.79525460866115,86.92748975667814
12,100,27.490396570447913,39.370848858593355,56.1986227609423,31.042462751911778,43.28318572337765,59.814909051099264
18,100,20.863246968809047,28.81549574220289,39.425870914979846,23.808690751219103,30.99933125033959,39.93470613469345
24,100,17.795716841208638,24.657789836929773,33.558047783715956,20.630667499790114,27.58504030769687,37.23765720348045
48,100,11.826950098215544,16.899379450788697,25.571483511753996,16.736634560348115,28.369072651899756,41.41005806874919
72,100,8.661669608629104,11.7612080760079,16.53409602001024,12.28488635507054,20.287963661936796,27.344220893763595
96,100,7.051747685398913,9.386839570397173,13.221578522870008,9.800142150522312,14.319235480953717,18.899124987796817
120,100,5.653343016076536,7.548981868441504,9.85546110812681,6.560147939905962,9.219915166887018,12.151564468042682
144,100,4.94232524184528,6.3889148225192045,8.208408074879618,6.138472082653019,8.328148195599612,11.026591634884518
168,100,4.489923605910873,5.748359874474962,7.306482295536835,5.86331893304833,8.03467145449978,10.452734401673865
