Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.697350027155316,26.92061695437438,29.250235327564972,25.77870970988004,31.025042622350547,35.52728728629438
6,2,18.274538016996676,19.6991449378108,21.247993480925842,19.570623416352895,20.962950185534496,22.325044530267846
9,2,14.720018424741099,15.830160900769613,17.112535476418913,15.269000633602806,16.664148900327444,18.25461880701388
12,2,12.549678338822314,13.674378169197247,14.986842404560633,14.102000877518783,15.33099705477285,16.852396228753438
18,2,10.09198532304961,10.992479244375936,12.024618946747786,11.792200217867508,13.001314190359743,14.296936554113476
24,2,8.47910645484714,9.249122066975396,10.060902661880625,9.615900894332745,10.592117096838107,11.679982943340327
48,2,5.457323504087572,5.97465951799027,6.770591485340457,5.696766298752897,6.176388028452207,6.701047784446235
72,2,4.188842460583029,4.554524987613887,4.993422460416307,4.297795352923331,4.582401939562723,4.895801038239288
96,2,3.45220990707151,3.7518648829972854,4.0966213920390615,3.9391508361989995,4.165166627392871,4.42576126291416
120,2,3.0692926699732315,3.354257858908557,3.649702586618619,3.41288089875743,3.6596065146022525,3.928367166545075
144,2,2.7580624900931623,2.9695692175677695,3.2546766545668486,2.8118864882779313,3.072213106398962,3.3490537975511883
168,2,2.485927810518693,2.703035337791352,2.9539687710169513,2.4545199374882456,2.724654265499055,3.0180141385339416
3,5,30.59815767938366,33.74874975052442,37.02063134010551,37.35560190461954,42.0001973150236,45.50829271181171
6,5,22.139158773942604,24.339824416794933,26.71494071916451,23.497956677252127,25.11224688280994,26.7782200916541
9,5,17.936400580344447,19.787055016649486,21.656554389819743,19.4790199606835,22.199755349475886,25.38489096474212
12,5,15.559460614756901,17.428146160917834,19.61704552002761,18.07998816931832,20.24959159167467,22.384742000008426
18,5,12.58944003087208,14.102646415738452,15.865849396145418,17.0157883902808,20.00817811757245,22.966734183892267
24,5,10.51067051718302,11.976277259077934,13.679875582887474,13.396491345786806,15.806579112444503,18.569859077617956
48,5,6.94375145211948,7.884559878232093,9.123514227184646,7.3276999632524795,8.170358502900694,9.093125842865009
72,5,5.273490903134885,5.8886215367015025,6.705132178689658,6.119558119913492,6.7322704370652025,7.412939678143347
96,5,4.260362284674862,4.872850077925846,5.5093803142988005,6.0832106192300275,6.563260988476051,7.085006993484343
120,5,3.843918550161713,4.308281849303492,4.814908447365574,4.692295631716644,5.13797254779689,5.557231270841672
144,5,3.418173458451416,3.8337525873141205,4.346276806459127,3.5867058771412914,3.9924164409996967,4.4097338511813025
168,5,3.092496738396931,3.492101176980482,3.920764802285413,3.25207804604689,3.6493212409341123,4.087036355112245
3,10,33.866847120388435,38.117688128637305,42.249679421219426,43.46570324199277,47.27070577425387,49.50386094838392
6,10,24.526749161562442,27.53936094902674,30.82883739080821,25.47814347606031,27.55436503198834,29.749221406131205
9,10,19.901528499676232,22.63197529620347,25.452624322576007,22.552996957882073,26.788425398166662,31.630768880851463
12,10,17.462090506149302,20.191795214903905,23.352447640028522,21.000774019480676,24.005561651003028,27.39230606653763
18,10,14.109521495743712,16.609528048826597,19.474861979674138,22.485544327992468,27.511808496883546,32.559742030251314
24,10,11.92453563064926,14.260765772968078,16.883339866652815,17.04822101273384,21.42575294324601,26.16415419044958
48,10,7.8902257736772246,9.496928106329754,11.495107094565348,8.502518569281722,9.808646001529178,11.32693446474893
