Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.959177244902634,27.68912913615378,31.147648839128784,25.44749804160756,28.034477196962346,30.43963950740374
6,2,17.989282308192518,19.795146877666898,22.108184341123547,19.604400634599628,21.25324122516687,23.009948357535684
9,2,14.233038424339705,15.79541014897066,17.410759727307667,14.511627310596236,16.158166792036308,17.796068339228455
12,2,11.956421688794292,13.165008804815383,14.661512057794837,11.903297967167507,13.232979600886388,14.410926013485017
18,2,9.139747887190326,10.04483570549363,11.005842593609074,8.662729887515791,9.723076819180292,11.021565534048046
24,2,7.476110402557266,8.292155891823267,9.282706795612562,7.6203243210478835,8.33563443208386,9.152150298407008
48,2,4.813827946831359,5.269235450434272,5.798843515307967,5.118951642749245,5.548424164730867,6.009838532859526
72,2,3.560784679695927,3.8832293472612025,4.230630556127357,3.775899437026093,4.057593705430801,4.337298589022899
96,2,2.970685016336084,3.213027937914182,3.537509669331598,3.1288137109410377,3.382615691112716,3.6402558808983274
120,2,2.562542262737816,2.7780473576018343,3.052484879196531,2.676385781443123,2.868635588477011,3.0633725684213893
144,2,2.2480196189112887,2.4910994999620537,2.7380412230555873,2.284218144066332,2.47839465346531,2.680284532640815
168,2,2.072637765513438,2.271541670549291,2.497103870934613,2.1229619377073075,2.312534948287638,2.5126237723160023
3,5,32.1350829678649,37.02812277453788,41.952428510291135,32.35241539159051,34.996500515334425,37.53116756942396
6,5,23.28740089352005,26.311200322163053,29.584499492194702,23.774104703936345,25.312863785018997,26.69983356722827
9,5,18.142379528806448,20.98548397317879,23.7305329318291,18.4986662178138,20.095401759943606,21.703297201452084
12,5,15.396479749476704,17.599752748936172,19.95314197212612,15.412692120128725,16.933534640858586,18.58570493620628
18,5,11.839882269302086,13.4796915583118,15.180033039228922,11.46400961592642,13.287239189600266,15.194415858410457
24,5,9.570834413800084,11.038185667238599,12.644155859769658,9.534211030378852,10.530629968053717,11.677395276275119
48,5,6.044681932816272,6.903026626894574,7.77096369584331,6.308555456983429,6.856234968427279,7.433605054639605
72,5,4.3914044209611065,4.964807529609317,5.551709386668647,4.562394089035249,4.913089194730045,5.26389014786931
96,5,3.630881150545692,4.034540185313387,4.481973005294179,3.838010451253548,4.071775925244482,4.309238108965667
120,5,3.187372657198387,3.5024598863905956,3.859640481244439,3.1888607546149546,3.4028701946486724,3.6179277902101328
