Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.792321964700413,28.224824615322753,31.34067037484045,34.05306928455318,37.27668752641391,40.609745555221366
6,2,19.37403263478261,21.987157002412374,24.493378766693787,25.329307617441007,27.398495550917858,29.717524017541123
9,2,16.13722235459053,17.88420794792931,20.622726580898398,19.15528023271554,21.377492754221656,23.485506535712137
12,2,13.164995280101468,14.940314340821583,16.752790316014746,18.202162691727416,20.31873730143259,22.556544945173187
18,2,9.977473252575157,11.224244649333215,12.605185386355018,12.324186664981223,13.57554576145849,14.875479788154909
24,2,8.08762917082705,9.112949046302782,10.161407898418245,9.934791958298215,11.030111280885505,12.277854354162587
48,2,4.933953157806027,5.513171367785634,6.20138338245151,5.850427218480817,6.508711264953279,7.3704975746622186
72,2,3.792911773193154,4.22768550526026,4.630423268906725,4.34052090274587,4.843286246707273,5.437656071502704
96,2,3.1634764502067743,3.457662374958838,3.7873740081992864,3.6982743641629185,4.238935451153825,4.791893030677931
120,2,2.7752697858806847,3.0473187056548054,3.341285182128826,3.1343396758386985,3.4691191706906723,3.882864342778494
144,2,2.4597542361251636,2.6746554454299964,2.9869948098476407,2.624932546939736,2.8382705094440377,3.079952082782276
168,2,2.2297715905754103,2.415502290864768,2.6435842713084376,2.245038248846264,2.413635578052643,2.6098798725176127
3,5,33.48765513426741,38.177929295664285,42.68509582330724,42.851421530432575,46.81311292962776,50.58780621773231
6,5,26.23103297472258,29.43272276233077,32.731053431422,31.425047020594874,33.88768728824329,36.765410319380564
9,5,21.49444168071097,24.411196441191365,28.05403042446868,25.325636894306882,28.55158645606649,31.862555759617873
12,5,17.872596178725054,20.490127880052693,23.28100755127248,25.120961792907423,28.21375326301166,31.409164312136525
18,5,13.4976820756102,15.502525712193677,17.68751689718395,16.1309371844987,18.41285989432501,20.835891808367837
24,5,10.720562908351138,12.670225417905034,14.55141125673204,13.160917740063702,14.955551684818108,17.257043274967053
48,5,6.584894818460814,7.5867490494191525,8.671064540567414,7.730493858881589,8.888773206660728,10.307000677610285
72,5,4.8830262395317,5.668745398141708,6.472734995055417,6.028304226283966,7.16999094026216,8.472869076989673
96,5,3.9967083151886955,4.566842949654515,5.107711675598518,5.390390851361194,6.63207571746425,8.107819655738966
120,5,3.512729779483202,3.9852471556362703,4.558494145116586,4.191872099435118,4.833172455850831,5.594308689976627
144,5,3.0575759543543564,3.4620789650028945,3.9957483175736663,3.2631143054718823,3.6497278633497547,4.1038317629368
168,5,2.758848381285036,3.1245032410372744,3.5217347099788583,2.815010504294081,3.1261761023362338,3.4651096338563514
3,10,38.63558127771279,44.554070033160805,50.740811782215104,46.90301629597218,52.21092588293247,57.04377664781103
6,10,29.850583726473644,33.955685804693445,38.42067189997034,34.19700528340717,37.42741131486243,40.92111916061543
9,10,24.522708997689858,28.72717192737838,33.731296895494154,29.195158624771942,33.49579479304452,38.051267133219
12,10,20.582753880845004,24.306619120456887,28.429424002714516,29.62285731743635,33.67563058688514,38.084606994832
18,10,15.782947882795744,18.713958002085587,22.18482059109639,18.69161707086495,22.17414898762916,26.308694582793947
24,10,12.559018119223747,15.491697362815017,18.522927966606055,15.28088416986817,18.018196952586756,21.673986480942975
48,10,7.680112341990325,9.251830084112756,10.95669487269867,8.983570091782337,10.708177404784506,12.896158450521469
72,10,5.661406761588097,6.843700210802406,8.201079854554541,7.516497314281493,9.508106436755936,11.740080084708254
96,10,4.559159668479466,5.491314782861691,6.423415161632317,6.882141044965177,9.147952383960547,11.654430356438443
