ID,Peak,Volume,Duration,start_time,end_time
1,4680,7350,2,2/26/1949,2/27/1949
2,3470,6770,2,5/27/1952,5/28/1952
3,44600,58600,3,9/10/1952,9/12/1952
4,4080,4080,1,3/21/1957,3/21/1957
5,15900,33490,6,4/24/1957,4/29/1957
6,3310,9690,4,5/31/1957,6/3/1957
7,11300,27040,5,10/14/1957,10/18/1957
8,4410,20940,10,2/22/1958,3/3/1958
9,15000,37410,6,5/2/1958,5/7/1958
10,4380,6520,2,6/17/1958,6/18/1958
11,5620,11150,3,9/19/1958,9/21/1958
12,8620,13870,3,6/26/1959,6/28/1959
13,23900,32620,3,10/4/1959,10/6/1959
14,7140,16670,5,8/15/1960,8/19/1960
15,7550,16090,4,10/29/1960,11/1/1960
16,5720,19770,9,2/16/1961,2/24/1961
17,6180,17830,6,9/23/1964,9/28/1964
18,10300,28220,7,5/16/1965,5/22/1965
19,3830,5270,2,6/5/1965,6/6/1965
20,3480,3480,1,6/24/1965,6/24/1965
21,8250,10960,2,8/14/1966,8/15/1966
22,11100,47680,13,1/18/1968,1/30/1968
23,9560,12200,2,10/13/1969,10/14/1969
24,29700,52190,6,8/12/1971,8/17/1971
25,5250,5250,1,9/23/1971,9/23/1971
26,6050,15590,6,10/19/1971,10/24/1971
27,5400,33510,12,5/7/1972,5/18/1972
28,19700,46550,10,7/15/1973,7/24/1973
29,8670,31120,10,10/14/1973,10/23/1973
30,8930,11900,3,5/1/1974,5/3/1974
31,8490,18500,4,8/29/1974,9/1/1974
32,6680,8180,2,11/1/1974,11/2/1974
33,5900,39950,16,2/2/1975,2/17/1975
34,10500,51120,18,5/20/1975,6/6/1975
35,7600,10120,3,4/18/1976,4/20/1976
36,29900,69970,17,4/15/1977,5/1/1977
37,5000,9130,4,5/11/1977,5/14/1977
38,76500,143410,9,8/2/1978,8/10/1978
39,3650,8660,4,9/8/1978,9/11/1978
40,6380,45960,22,3/21/1979,4/11/1979
41,5200,49220,22,6/1/1979,6/22/1979
42,3570,8220,3,9/8/1980,9/10/1980
43,3940,6570,2,10/16/1980,10/17/1980
44,4970,10100,4,4/23/1981,4/26/1981
45,17400,80560,20,6/13/1981,7/2/1981
46,15400,23220,5,10/14/1981,10/18/1981
47,5700,12780,3,5/13/1982,5/15/1982
48,17000,24170,4,12/31/1984,1/3/1985
49,3980,5300,2,5/18/1985,5/19/1985
50,17400,23030,3,6/5/1985,6/7/1985
51,27600,31900,3,10/20/1985,10/22/1985
52,4990,7670,2,9/6/1986,9/7/1986
53,4620,4620,1,9/27/1986,9/27/1986
54,7090,18370,5,10/12/1986,10/16/1986
55,6530,58860,28,12/15/1986,1/11/1987
56,23700,212210,32,5/29/1987,6/29/1987
57,32000,58460,12,7/17/1987,7/28/1987
58,17000,21170,3,7/12/1988,7/14/1988
59,10900,24680,5,5/2/1990,5/6/1990
60,56000,179240,28,12/19/1991,1/15/1992
61,24400,159480,51,1/10/1992,2/29/1992
62,16700,160820,51,2/8/1992,3/29/1992
63,4720,137240,51,3/3/1992,4/22/1992
64,15700,90230,31,5/17/1992,6/16/1992
65,3290,3290,1,10/20/1993,10/20/1993
66,5590,13200,4,5/14/1994,5/17/1994
67,3970,8480,3,5/30/1995,6/1/1995
68,13600,18980,3,10/28/1996,10/30/1996
69,8020,9990,2,2/21/1997,2/22/1997
70,8550,26850,9,4/4/1997,4/12/1997
71,4370,17710,8,6/6/1997,6/13/1997
72,69400,175960,22,6/21/1997,7/12/1997
73,11000,26770,8,3/16/1998,3/23/1998
74,4130,5570,2,8/24/1998,8/25/1998
75,15600,22710,3,10/17/1998,10/19/1998
76,12400,16160,2,10/24/2000,10/25/2000
77,3510,3510,1,9/1/2001,9/1/2001
78,17000,41270,7,11/15/2001,11/21/2001
79,60000,328880,31,6/30/2002,7/30/2002
80,17300,39820,13,4/6/2004,4/18/2004
81,13300,26860,7,6/9/2004,6/15/2004
82,4930,48090,20,6/23/2004,7/12/2004
83,9940,17930,5,10/23/2004,10/27/2004
84,23000,90280,27,11/14/2004,12/10/2004
85,9200,12330,3,3/12/2007,3/14/2007
86,9250,31210,9,3/26/2007,4/3/2007
87,16200,44250,12,5/25/2007,6/5/2007
88,15400,80830,23,7/20/2007,8/11/2007
89,40600,107750,27,8/16/2007,9/11/2007
90,5280,114320,32,8/16/2007,9/16/2007
91,6810,11740,4,4/16/2010,4/19/2010
92,3420,5440,2,9/8/2010,9/9/2010
93,39200,118780,26,5/14/2015,6/8/2015
94,9690,11760,2,10/30/2015,10/31/2015
95,11400,103230,30,5/18/2016,6/16/2016
