year,month,day,discharge_ft3s
1948,1,1,85
1948,1,2,84
1948,1,3,85
1948,1,4,85
1948,1,5,85
1948,1,6,85
1948,1,7,84
1948,1,8,84
1948,1,9,85
1948,1,10,85
1948,1,11,84
1948,1,12,85
1948,1,13,84
1948,1,14,82
1948,1,15,82
1948,1,16,84
1948,1,17,82
1948,1,18,81
1948,1,19,82
1948,1,20,84
1948,1,21,85
1948,1,22,85
1948,1,23,87
1948,1,24,85
1948,1,25,85
1948,1,26,85
1948,1,27,84
1948,1,28,82
1948,1,29,82
1948,1,30,82
1948,1,31,82
1948,2,1,84
1948,2,2,91
1948,2,3,94
1948,2,4,96
1948,2,5,98
1948,2,6,98
1948,2,7,100
1948,2,8,109
1948,2,9,103
1948,2,10,100
1948,2,11,98
1948,2,12,94
1948,2,13,91
1948,2,14,87
1948,2,15,87
1948,2,16,85
1948,2,17,84
1948,2,18,84
1948,2,19,84
1948,2,20,85
1948,2,21,89
1948,2,22,85
1948,2,23,84
1948,2,24,84
1948,2,25,87
1948,2,26,91
1948,2,27,123
1948,2,28,148
1948,2,29,134
1948,3,1,119
1948,3,2,109
1948,3,3,101
1948,3,4,96
1948,3,5,92
1948,3,6,89
1948,3,7,87
1948,3,8,87
1948,3,9,87
1948,3,10,87
1948,3,11,85
1948,3,12,92
1948,3,13,96
1948,3,14,94
1948,3,15,91
1948,3,16,87
1948,3,17,84
1948,3,18,84
1948,3,19,82
1948,3,20,82
1948,3,21,81
1948,3,22,89
1948,3,23,85
1948,3,24,81
1948,3,25,81
1948,3,26,81
1948,3,27,79
1948,3,28,77
1948,3,29,87
1948,3,30,91
1948,3,31,85
1948,4,1,82
1948,4,2,77
1948,4,3,76
1948,4,4,74
1948,4,5,74
1948,4,6,74
1948,4,7,74
1948,4,8,74
1948,4,9,73
1948,4,10,71
1948,4,11,70
1948,4,12,70
1948,4,13,106
1948,4,14,115
1948,4,15,89
1948,4,16,117
1948,4,17,100
1948,4,18,89
1948,4,19,81
1948,4,20,74
1948,4,21,71
1948,4,22,67
1948,4,23,70
1948,4,24,71
1948,4,25,87
1948,4,26,166
1948,4,27,156
1948,4,28,125
1948,4,29,107
1948,4,30,96
1948,5,1,89
1948,5,2,82
1948,5,3,79
1948,5,4,74
1948,5,5,70
1948,5,6,70
1948,5,7,65
1948,5,8,61
1948,5,9,61
1948,5,10,61
1948,5,11,112
1948,5,12,95
1948,5,13,124
1948,5,14,151
1948,5,15,113
1948,5,16,98
1948,5,17,87
1948,5,18,79
1948,5,19,71
1948,5,20,65
1948,5,21,60
1948,5,22,57
1948,5,23,56
1948,5,24,53
1948,5,25,50
1948,5,26,49
1948,5,27,89
1948,5,28,60
1948,5,29,47
1948,5,30,44
1948,5,31,45
1948,6,1,44
1948,6,2,39
1948,6,3,36
1948,6,4,34
1948,6,5,32
1948,6,6,30
1948,6,7,28
1948,6,8,24
1948,6,9,23
1948,6,10,21
1948,6,11,24
1948,6,12,33
1948,6,13,23
1948,6,14,26
1948,6,15,22
1948,6,16,20
1948,6,17,18
1948,6,18,20
1948,6,19,19
1948,6,20,16
1948,6,21,15
1948,6,22,16
1948,6,23,15
1948,6,24,2740
1948,6,25,649
1948,6,26,249
1948,6,27,236
1948,6,28,190
1948,6,29,241
1948,6,30,111
1948,7,1,85
1948,7,2,76
1948,7,3,84
1948,7,4,95
1948,7,5,151
1948,7,6,107
1948,7,7,85
1948,7,8,115
1948,7,9,98
1948,7,10,84
1948,7,11,76
1948,7,12,168
1948,7,13,484
1948,7,14,176
1948,7,15,92
1948,7,16,79
1948,7,17,71
1948,7,18,64
1948,7,19,58
1948,7,20,54
1948,7,21,52
1948,7,22,50
1948,7,23,48
1948,7,24,47
1948,7,25,44
1948,7,26,43
1948,7,27,40
1948,7,28,38
1948,7,29,37
1948,7,30,36
1948,7,31,34
1948,8,1,34
1948,8,2,48
1948,8,3,65
1948,8,4,76
1948,8,5,71
1948,8,6,57
1948,8,7,52
1948,8,8,45
1948,8,9,42
1948,8,10,38
1948,8,11,34
1948,8,12,32
1948,8,13,30
1948,8,14,28
1948,8,15,25
1948,8,16,25
1948,8,17,23
1948,8,18,22
1948,8,19,21
1948,8,20,20
1948,8,21,19
1948,8,22,17
1948,8,23,15
1948,8,24,13
1948,8,25,24
1948,8,26,26
1948,8,27,22
1948,8,28,68
1948,8,29,42
1948,8,30,28
1948,8,31,22
1948,9,1,21
1948,9,2,20
1948,9,3,21
1948,9,4,21
1948,9,5,20
1948,9,6,19
1948,9,7,18
1948,9,8,17
1948,9,9,23
1948,9,10,26
1948,9,11,44
1948,9,12,48
1948,9,13,40
1948,9,14,47
1948,9,15,44
1948,9,16,42
1948,9,17,43
1948,9,18,49
1948,9,19,45
1948,9,20,43
1948,9,21,40
1948,9,22,40
1948,9,23,106
1948,9,24,73
1948,9,25,61
1948,9,26,48
1948,9,27,39
1948,9,28,40
1948,9,29,40
1948,9,30,39
1948,10,1,36
1948,10,2,33
1948,10,3,31
1948,10,4,30
1948,10,5,28
1948,10,6,31
1948,10,7,31
1948,10,8,28
1948,10,9,27
1948,10,10,26
1948,10,11,26
1948,10,12,25
1948,10,13,25
1948,10,14,25
1948,10,15,27
1948,10,16,30
1948,10,17,372
1948,10,18,287
1948,10,19,93
1948,10,20,62
1948,10,21,52
1948,10,22,49
1948,10,23,48
1948,10,24,46
1948,10,25,43
1948,10,26,42
1948,10,27,42
1948,10,28,42
1948,10,29,42
1948,10,30,42
1948,10,31,42
1948,11,1,42
1948,11,2,40
1948,11,3,40
1948,11,4,42
1948,11,5,42
1948,11,6,42
1948,11,7,39
1948,11,8,39
1948,11,9,39
1948,11,10,39
1948,11,11,39
1948,11,12,39
1948,11,13,42
1948,11,14,43
1948,11,15,45
1948,11,16,49
1948,11,17,51
1948,11,18,51
1948,11,19,49
1948,11,20,49
1948,11,21,49
1948,11,22,48
1948,11,23,45
1948,11,24,45
1948,11,25,46
1948,11,26,48
1948,11,27,49
1948,11,28,48
1948,11,29,45
1948,11,30,48
1948,12,1,49
1948,12,2,49
1948,12,3,48
1948,12,4,48
1948,12,5,49
1948,12,6,49
1948,12,7,49
1948,12,8,49
1948,12,9,49
1948,12,10,48
1948,12,11,49
1948,12,12,49
1948,12,13,49
1948,12,14,51
1948,12,15,57
1948,12,16,60
1948,12,17,69
1948,12,18,59
1948,12,19,56
1948,12,20,59
1948,12,21,57
1948,12,22,54
1948,12,23,56
1948,12,24,57
1948,12,25,54
1948,12,26,51
1948,12,27,51
1948,12,28,52
1948,12,29,51
1948,12,30,49
1948,12,31,46
1949,1,1,46
1949,1,2,48
1949,1,3,48
1949,1,4,48
1949,1,5,46
1949,1,6,46
1949,1,7,48
1949,1,8,49
1949,1,9,51
1949,1,10,51
1949,1,11,49
1949,1,12,54
1949,1,13,59
1949,1,14,64
1949,1,15,67
1949,1,16,88
1949,1,17,119
1949,1,18,142
1949,1,19,97
1949,1,20,86
1949,1,21,82
1949,1,22,76
1949,1,23,75
1949,1,24,73
1949,1,25,73
1949,1,26,76
1949,1,27,80
1949,1,28,75
1949,1,29,73
1949,1,30,75
1949,1,31,75
1949,2,1,71
1949,2,2,69
1949,2,3,73
1949,2,4,73
1949,2,5,73
1949,2,6,73
1949,2,7,71
1949,2,8,69
1949,2,9,66
1949,2,10,66
1949,2,11,66
1949,2,12,60
1949,2,13,60
1949,2,14,60
1949,2,15,59
1949,2,16,59
1949,2,17,60
1949,2,18,62
1949,2,19,62
1949,2,20,62
1949,2,21,62
1949,2,22,69
1949,2,23,69
1949,2,24,73
1949,2,25,871
1949,2,26,4680
1949,2,27,2670
1949,2,28,756
1949,3,1,506
1949,3,2,396
1949,3,3,329
1949,3,4,286
1949,3,5,253
1949,3,6,234
1949,3,7,219
1949,3,8,201
1949,3,9,190
1949,3,10,178
1949,3,11,167
1949,3,12,158
1949,3,13,190
1949,3,14,156
1949,3,15,192
1949,3,16,167
1949,3,17,153
1949,3,18,150
1949,3,19,147
1949,3,20,137
1949,3,21,153
1949,3,22,164
1949,3,23,145
1949,3,24,134
1949,3,25,132
1949,3,26,184
1949,3,27,565
1949,3,28,250
1949,3,29,192
1949,3,30,170
1949,3,31,156
1949,4,1,147
1949,4,2,150
1949,4,3,145
1949,4,4,161
1949,4,5,164
1949,4,6,158
1949,4,7,147
1949,4,8,140
1949,4,9,134
1949,4,10,129
1949,4,11,122
1949,4,12,119
1949,4,13,122
1949,4,14,122
1949,4,15,115
1949,4,16,110
1949,4,17,112
1949,4,18,110
1949,4,19,119
1949,4,20,216
1949,4,21,228
1949,4,22,187
1949,4,23,195
1949,4,24,1380
1949,4,25,2590
1949,4,26,1700
1949,4,27,858
1949,4,28,794
1949,4,29,775
1949,4,30,610
1949,5,1,510
1949,5,2,442
1949,5,3,392
1949,5,4,352
1949,5,5,333
1949,5,6,310
1949,5,7,303
1949,5,8,283
1949,5,9,269
1949,5,10,1050
1949,5,11,408
1949,5,12,310
1949,5,13,283
1949,5,14,259
1949,5,15,243
1949,5,16,231
1949,5,17,228
1949,5,18,231
1949,5,19,225
1949,5,20,222
1949,5,21,216
1949,5,22,204
1949,5,23,192
1949,5,24,181
1949,5,25,172
1949,5,26,167
1949,5,27,204
1949,5,28,216
1949,5,29,382
1949,5,30,253
1949,5,31,216
1949,6,1,195
1949,6,2,170
1949,6,3,147
1949,6,4,137
1949,6,5,129
1949,6,6,124
1949,6,7,151
1949,6,8,504
1949,6,9,250
1949,6,10,219
1949,6,11,210
1949,6,12,192
1949,6,13,184
1949,6,14,213
1949,6,15,181
1949,6,16,195
1949,6,17,175
1949,6,18,187
1949,6,19,167
1949,6,20,153
1949,6,21,142
1949,6,22,132
1949,6,23,124
1949,6,24,119
1949,6,25,117
1949,6,26,150
1949,6,27,117
1949,6,28,117
1949,6,29,108
1949,6,30,103
1949,7,1,97
1949,7,2,97
1949,7,3,103
1949,7,4,90
1949,7,5,86
1949,7,6,99
1949,7,7,93
1949,7,8,88
1949,7,9,82
1949,7,10,78
1949,7,11,73
1949,7,12,69
1949,7,13,66
1949,7,14,64
1949,7,15,71
1949,7,16,106
1949,7,17,137
1949,7,18,99
1949,7,19,84
1949,7,20,76
1949,7,21,69
1949,7,22,66
1949,7,23,62
1949,7,24,59
1949,7,25,64
1949,7,26,67
1949,7,27,62
1949,7,28,62
1949,7,29,60
1949,7,30,57
1949,7,31,54
1949,8,1,52
1949,8,2,51
1949,8,3,48
1949,8,4,46
1949,8,5,46
1949,8,6,221
1949,8,7,144
1949,8,8,228
1949,8,9,171
1949,8,10,428
1949,8,11,272
1949,8,12,219
1949,8,13,172
1949,8,14,150
1949,8,15,132
1949,8,16,122
1949,8,17,115
1949,8,18,177
1949,8,19,117
1949,8,20,108
1949,8,21,110
1949,8,22,99
1949,8,23,106
1949,8,24,97
1949,8,25,88
1949,8,26,80
1949,8,27,78
1949,8,28,78
1949,8,29,75
1949,8,30,71
1949,8,31,71
1949,9,1,67
1949,9,2,69
1949,9,3,82
1949,9,4,93
1949,9,5,82
1949,9,6,75
1949,9,7,71
1949,9,8,67
1949,9,9,66
1949,9,10,66
1949,9,11,64
1949,9,12,62
1949,9,13,71
1949,9,14,76
1949,9,15,66
1949,9,16,75
1949,9,17,768
1949,9,18,266
1949,9,19,184
1949,9,20,145
1949,9,21,119
1949,9,22,103
1949,9,23,93
1949,9,24,86
1949,9,25,80
1949,9,26,78
1949,9,27,76
1949,9,28,73
1949,9,29,71
1949,9,30,67
1949,10,1,64
1949,10,2,62
1949,10,3,64
1949,10,4,66
1949,10,5,66
1949,10,6,67
1949,10,7,75
1949,10,8,88
1949,10,9,88
1949,10,10,82
1949,10,11,78
1949,10,12,75
1949,10,13,71
1949,10,14,69
1949,10,15,66
1949,10,16,64
1949,10,17,62
1949,10,18,60
1949,10,19,60
1949,10,20,60
1949,10,21,62
1949,10,22,75
1949,10,23,80
1949,10,24,117
1949,10,25,117
1949,10,26,106
1949,10,27,101
1949,10,28,99
1949,10,29,93
1949,10,30,88
1949,10,31,80
1949,11,1,76
1949,11,2,73
1949,11,3,71
1949,11,4,71
1949,11,5,71
1949,11,6,71
1949,11,7,71
1949,11,8,71
1949,11,9,73
1949,11,10,73
1949,11,11,73
1949,11,12,73
1949,11,13,69
1949,11,14,69
1949,11,15,69
1949,11,16,69
1949,11,17,69
1949,11,18,69
1949,11,19,69
1949,11,20,69
1949,11,21,71
1949,11,22,69
1949,11,23,69
1949,11,24,69
1949,11,25,69
1949,11,26,69
1949,11,27,69
1949,11,28,69
1949,11,29,69
1949,11,30,69
1949,12,1,69
1949,12,2,71
1949,12,3,73
1949,12,4,76
1949,12,5,75
1949,12,6,76
1949,12,7,76
1949,12,8,75
1949,12,9,76
1949,12,10,76
1949,12,11,76
1949,12,12,76
1949,12,13,75
1949,12,14,84
1949,12,15,82
1949,12,16,80
1949,12,17,88
1949,12,18,93
1949,12,19,93
1949,12,20,93
1949,12,21,88
1949,12,22,84
1949,12,23,80
1949,12,24,78
1949,12,25,76
1949,12,26,76
1949,12,27,75
1949,12,28,75
1949,12,29,75
1949,12,30,75
1949,12,31,80
1950,1,1,84
1950,1,2,101
1950,1,3,117
1950,1,4,115
1950,1,5,106
1950,1,6,99
1950,1,7,93
1950,1,8,90
1950,1,9,88
1950,1,10,86
1950,1,11,86
1950,1,12,84
1950,1,13,86
1950,1,14,84
1950,1,15,86
1950,1,16,84
1950,1,17,84
1950,1,18,82
1950,1,19,82
1950,1,20,80
1950,1,21,78
1950,1,22,78
1950,1,23,78
1950,1,24,78
1950,1,25,80
1950,1,26,78
1950,1,27,75
