"P","V","D","start","end"
3680,5730,3,481,483
4380,7919,3,1353,1355
4380,7535,3,1610,1612
14400,24534,8,1715,1722
3470,8552,5,3406,3410
3200,8978,5,3658,3662
17600,29659,6,3705,3710
5760,12580,5,4560,4564
7140,18762,7,4673,4679
3130,11497,7,4747,4753
3410,7047,3,5268,5270
7730,22764,6,6700,6705
49500,155451,9,7203,7211
6970,15258,6,7228,7233
9160,32917,10,7434,7443
3970,8688,4,7716,7719
67200,125738,15,8654,8668
5290,13683,6,8691,8696
7950,41153,13,8894,8906
9440,27252,7,9295,9301
9830,26271,7,9308,9314
3190,7549,4,9402,9405
20700,54233,11,9416,9426
8660,23710,6,9753,9758
3590,6731,3,10221,10223
3210,5808,4,10337,10340
4200,9936,5,10368,10372
9270,29285,10,10418,10427
3790,8632,5,10530,10534
4160,10084,6,10581,10586
4160,9077,5,10759,10763
3850,12759,10,11110,11119
5740,15457,6,11585,11590
4230,7996,4,11709,11712
9240,21270,6,11911,11916
5160,14310,5,12177,12181
6550,35107,11,12216,12226
5140,15949,7,12241,12247
16600,40794,6,12358,12363
6570,16511,6,12475,12480
4620,11635,6,12563,12568
9340,26578,8,12980,12987
5720,22582,9,13074,13082
4840,13975,6,13616,13621
3090,6561,4,14302,14305
4650,21316,13,14400,14412
26300,65560,11,15539,15549
3530,6423,4,16009,16012
11500,25563,8,16062,16069
4050,8271,5,16098,16102
4270,13802,8,16124,16131
4140,9643,4,16159,16162
5710,12175,5,16180,16184
4610,20280,13,16223,16235
5750,13039,4,16478,16481
3370,7318,6,16508,16513
3340,9361,9,16581,16589
6420,29846,11,16607,16617
4330,8382,4,16877,16880
3450,8367,4,16937,16940
7020,15952,5,17094,17098
3430,8066,5,17709,17713
4820,13236,6,17974,17979
7320,19223,5,17992,17996
10300,41828,9,18181,18189
4740,11144,5,18497,18501
4170,12289,5,18522,18526
12500,37205,8,18554,18561
5790,17022,8,18580,18587
6440,13248,4,19485,19488
32100,83913,10,19601,19610
13000,32475,7,19679,19685
3100,6584,4,19921,19924
3340,8869,7,19983,19989
6010,17146,8,20021,20028
3980,14735,7,20351,20357
9340,47132,12,20548,20559
9810,35416,11,20584,20594
7480,25045,9,20882,20890
3980,7197,4,21446,21449
3360,12561,6,21575,21580
3970,9323,4,21623,21626
3710,7179,4,21641,21644
12600,51335,11,21733,21743
3800,12328,9,21756,21764
3260,6151,4,22558,22561
5950,17361,7,22605,22611
4090,11556,6,22661,22666
4640,11008,5,22681,22685
3330,6987,4,22753,22756
5840,19018,8,22908,22915
4010,9915,4,23888,23891
3940,17180,12,24576,24587
5200,25356,19,24606,24624
3690,7836,5,24641,24645
4380,16602,7,25441,25447
