year,month,PRCP_10,SM_100,RO
1988,1,1.397999954,2.844414673,0.201779
1988,2,1.311999989,2.774658813,0.178573
1988,3,4.458000183,2.666224976,0.163857
1988,4,2.413999939,2.450102234,0.130746
1988,5,3.393999863,2.159547424,0.6226
1988,6,3.813999939,1.989972382,0.085183
1988,7,5.290000153,1.932269592,0.043299
1988,8,4.184999847,1.905369568,0.0161593
1988,9,11.90899963,2.015639801,1.4999
1988,10,2.687999916,2.347141266,0.085466
1988,11,0.594000006,2.185057068,0.054902
1988,12,1.95,2.165513306,0.066505
1989,1,5.702999878,2.351952362,0.077825
1989,2,0.811999989,2.714243774,0.077542
1989,3,1.573999977,2.502387543,0.06226
1989,4,8.670999908,2.402198181,0.110653
1989,5,0.969999981,2.331492767,0.0129048
1989,6,12.5,2.072119141,0.03113
1989,7,2.315999985,2.138516998,0.01132
1989,8,2.645000076,1.919259796,0.0027168
1989,9,5.572999954,1.889984283,0.0007641
1989,10,0.994999981,1.768480225,0.0014433
1989,11,6.455000305,1.967156219,0.0179705
1989,12,3.959000015,2.035123138,0.0176309
1990,1,2.553000069,2.123944397,0.0187629
1990,2,5.356000137,2.163014984,0.0185931
1990,3,10.43099976,2.308116608,0.38771
1990,4,9.327999878,2.227498016,2.92622
1990,5,2.914999962,2.384116821,0.191025
1990,6,0.678999996,1.952075806,0.0183101
1990,7,36.70100098,2.115706635,60.4205
1990,8,4.811000061,1.856040649,1.20275
1990,9,7.066000366,2.025450592,0.65939
1990,10,2.987000084,1.941773987,0.45846
1990,11,4.777999878,2.078722992,0.41035
1990,12,1.375,2.034252777,0.32828
1991,1,8.772000122,2.410014801,0.50091
1991,2,8.726999664,2.630532532,3.2828
1991,3,5.252999878,2.601460571,0.41035
1991,4,8.598999786,2.838662415,7.41743
1991,5,6.508999634,3.181483765,0.36507
1991,6,19.96499939,3.213278809,2.22438
1991,7,2.279000092,2.871418762,1.16596
1991,8,3.518999863,2.383824768,0.266586
1991,9,11.05599976,2.883450623,0.83202
1991,10,11.23899994,2.769043579,5.02891
1991,11,3.743999863,3.014232788,2.39418
1991,12,15.29900055,3.034857178,24.03802
1992,1,9.413999939,3.560449829,11.79261
1992,2,15.50599976,3.730331421,23.56258
1992,3,13.95299988,3.436922302,10.67759
1992,4,8.066999817,3.546771851,24.08896
